name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Можно я с тобой,0.8,0.753,0,-8.884,1,0.0362,0.353,0.75,0.373,0.63,126.977,audio_features,4CvrZAA0I1rG4tlvwYydi4,spotify:track:4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/tracks/4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/audio-analysis/4CvrZAA0I1rG4tlvwYydi4,132336,4
Последняя Любовь,0.765,0.675,1,-4.551,0,0.0298,0.00599,9.95e-05,0.0942,0.735,120.034,audio_features,527D034h8WFtVDOBO6GAN5,spotify:track:527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/tracks/527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/audio-analysis/527D034h8WFtVDOBO6GAN5,162527,4
ПОДАРОК,0.826,0.627,11,-6.323,0,0.0339,0.103,0.0,0.099,0.864,131.0,audio_features,1Mm9DXmUXT2xiCQAZPEEaK,spotify:track:1Mm9DXmUXT2xiCQAZPEEaK,https://api.spotify.com/v1/tracks/1Mm9DXmUXT2xiCQAZPEEaK,https://api.spotify.com/v1/audio-analysis/1Mm9DXmUXT2xiCQAZPEEaK,159171,4
juice,0.861,0.441,6,-6.249,1,0.18,0.108,0.0,0.1,0.693,130.069,audio_features,2PXxdh7WHZAlONZW8P3H2h,spotify:track:2PXxdh7WHZAlONZW8P3H2h,https://api.spotify.com/v1/tracks/2PXxdh7WHZAlONZW8P3H2h,https://api.spotify.com/v1/audio-analysis/2PXxdh7WHZAlONZW8P3H2h,107538,4
Кисти,0.782,0.644,1,-6.341,0,0.115,0.00676,0.0,0.327,0.774,120.03,audio_features,3WIWqQMBUBQgmJERv3xTMV,spotify:track:3WIWqQMBUBQgmJERv3xTMV,https://api.spotify.com/v1/tracks/3WIWqQMBUBQgmJERv3xTMV,https://api.spotify.com/v1/audio-analysis/3WIWqQMBUBQgmJERv3xTMV,171500,4
FRI(END)S,0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4
ЧСВ,0.695,0.813,11,-4.628,1,0.0325,0.0456,0.0,0.135,0.629,99.996,audio_features,05wSx129HwVCEpXpjAXn6X,spotify:track:05wSx129HwVCEpXpjAXn6X,https://api.spotify.com/v1/tracks/05wSx129HwVCEpXpjAXn6X,https://api.spotify.com/v1/audio-analysis/05wSx129HwVCEpXpjAXn6X,200100,4
Дымок,0.864,0.586,7,-8.007,1,0.0676,0.394,0.255,0.142,0.663,133.976,audio_features,3cHHxlwvB16a1PllSM97jX,spotify:track:3cHHxlwvB16a1PllSM97jX,https://api.spotify.com/v1/tracks/3cHHxlwvB16a1PllSM97jX,https://api.spotify.com/v1/audio-analysis/3cHHxlwvB16a1PllSM97jX,139925,4
Самый лучший день,0.7,0.749,0,-6.288,0,0.14,0.0179,0.0,0.155,0.515,175.111,audio_features,6aZw4hMz6ZZqjALf0GAbKy,spotify:track:6aZw4hMz6ZZqjALf0GAbKy,https://api.spotify.com/v1/tracks/6aZw4hMz6ZZqjALf0GAbKy,https://api.spotify.com/v1/audio-analysis/6aZw4hMz6ZZqjALf0GAbKy,93257,4
Разноцветные таблетки,0.912,0.878,2,-4.517,1,0.343,0.0565,0.000222,0.255,0.677,134.951,audio_features,1Za23uNH9LP4gcflnvAGCE,spotify:track:1Za23uNH9LP4gcflnvAGCE,https://api.spotify.com/v1/tracks/1Za23uNH9LP4gcflnvAGCE,https://api.spotify.com/v1/audio-analysis/1Za23uNH9LP4gcflnvAGCE,117740,4
