name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Diz Aí Qual é o Plano?,0.599,0.584,4,-3.077,0,0.487,0.343,0.0,0.0804,0.596,72.846,audio_features,5tsKgj1Xbk5bL7t3QiPWOR,spotify:track:5tsKgj1Xbk5bL7t3QiPWOR,https://api.spotify.com/v1/tracks/5tsKgj1Xbk5bL7t3QiPWOR,https://api.spotify.com/v1/audio-analysis/5tsKgj1Xbk5bL7t3QiPWOR,724211,5
Qual é seu desejo?,0.843,0.539,5,-4.376,0,0.0405,0.476,0.0,0.115,0.729,133.014,audio_features,2HzLEPWKXcfpwfmEIUURHo,spotify:track:2HzLEPWKXcfpwfmEIUURHo,https://api.spotify.com/v1/tracks/2HzLEPWKXcfpwfmEIUURHo,https://api.spotify.com/v1/audio-analysis/2HzLEPWKXcfpwfmEIUURHo,153429,4
Aquariano Nato,0.664,0.704,0,0.005,1,0.349,0.778,0.00105,0.069,0.744,80.599,audio_features,3hfCle1QRfbwIpQ1B746lV,spotify:track:3hfCle1QRfbwIpQ1B746lV,https://api.spotify.com/v1/tracks/3hfCle1QRfbwIpQ1B746lV,https://api.spotify.com/v1/audio-analysis/3hfCle1QRfbwIpQ1B746lV,116308,5
Péssima Hora - Ao Vivo,0.57,0.872,4,-3.976,1,0.0749,0.527,0.0,0.583,0.369,146.016,audio_features,2BPZCE8hyWgaURPxQNA7pq,spotify:track:2BPZCE8hyWgaURPxQNA7pq,https://api.spotify.com/v1/tracks/2BPZCE8hyWgaURPxQNA7pq,https://api.spotify.com/v1/audio-analysis/2BPZCE8hyWgaURPxQNA7pq,177237,4
RAM TCHUM,0.844,0.782,2,-2.754,1,0.0487,0.14,1.28e-05,0.343,0.525,133.088,audio_features,6mJCx80Wc91GPi9ew9bkmD,spotify:track:6mJCx80Wc91GPi9ew9bkmD,https://api.spotify.com/v1/tracks/6mJCx80Wc91GPi9ew9bkmD,https://api.spotify.com/v1/audio-analysis/6mJCx80Wc91GPi9ew9bkmD,129419,4
Anestesiado - Ao Vivo,0.53,0.855,2,-3.972,0,0.0807,0.418,0.0,0.48,0.38,159.966,audio_features,7vCtJ5u7dFM4tAWtgFf4l8,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,https://api.spotify.com/v1/tracks/7vCtJ5u7dFM4tAWtgFf4l8,https://api.spotify.com/v1/audio-analysis/7vCtJ5u7dFM4tAWtgFf4l8,172549,4
Passada de Mão - Ao Vivo,0.739,0.707,11,-8.051,0,0.0699,0.627,0.0,0.912,0.816,136.083,audio_features,0I0WaeHgXRRA9sP2LOLoE4,spotify:track:0I0WaeHgXRRA9sP2LOLoE4,https://api.spotify.com/v1/tracks/0I0WaeHgXRRA9sP2LOLoE4,https://api.spotify.com/v1/audio-analysis/0I0WaeHgXRRA9sP2LOLoE4,163575,4
POCPOC,0.837,0.636,10,-4.206,0,0.0521,0.239,0.0,0.0683,0.857,129.891,audio_features,0oQCRjrWGvkqkdf82UlXI3,spotify:track:0oQCRjrWGvkqkdf82UlXI3,https://api.spotify.com/v1/tracks/0oQCRjrWGvkqkdf82UlXI3,https://api.spotify.com/v1/audio-analysis/0oQCRjrWGvkqkdf82UlXI3,127385,4
Baby Eu Tava na Rua da Água,0.637,0.703,7,3.233,1,0.201,0.271,0.0,0.312,0.721,84.295,audio_features,4sAoshwHCmh4IHMQxZHwRD,spotify:track:4sAoshwHCmh4IHMQxZHwRD,https://api.spotify.com/v1/tracks/4sAoshwHCmh4IHMQxZHwRD,https://api.spotify.com/v1/audio-analysis/4sAoshwHCmh4IHMQxZHwRD,116308,5
Barulho Do Foguete - Ao Vivo,0.646,0.871,4,-6.195,1,0.219,0.172,0.0,0.765,0.624,79.994,audio_features,42JNab8NPeCADJ9D3Cl5wS,spotify:track:42JNab8NPeCADJ9D3Cl5wS,https://api.spotify.com/v1/tracks/42JNab8NPeCADJ9D3Cl5wS,https://api.spotify.com/v1/audio-analysis/42JNab8NPeCADJ9D3Cl5wS,133547,4
