name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Къртиш,0.687,0.87,2,-3.49,1,0.0689,0.0174,1.35e-05,0.0484,0.639,171.92,audio_features,53ScG8sq3K6H9hN2aLCuwY,spotify:track:53ScG8sq3K6H9hN2aLCuwY,https://api.spotify.com/v1/tracks/53ScG8sq3K6H9hN2aLCuwY,https://api.spotify.com/v1/audio-analysis/53ScG8sq3K6H9hN2aLCuwY,207907,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
ТАКА ТАКА,0.663,0.947,2,-4.451,1,0.143,0.0654,0.0,0.106,0.773,181.984,audio_features,2mA1BVYwzbhRqqkkkFQx83,spotify:track:2mA1BVYwzbhRqqkkkFQx83,https://api.spotify.com/v1/tracks/2mA1BVYwzbhRqqkkkFQx83,https://api.spotify.com/v1/audio-analysis/2mA1BVYwzbhRqqkkkFQx83,184890,4
К'ъв съм як,0.739,0.908,0,-4.727,0,0.0903,0.0713,0.0,0.0458,0.887,171.972,audio_features,6z6PaDoMisMAHCB2OKwsrf,spotify:track:6z6PaDoMisMAHCB2OKwsrf,https://api.spotify.com/v1/tracks/6z6PaDoMisMAHCB2OKwsrf,https://api.spotify.com/v1/audio-analysis/6z6PaDoMisMAHCB2OKwsrf,195349,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Tishinata im,0.834,0.453,0,-10.016,1,0.657,0.155,0.0,0.0959,0.35,170.231,audio_features,5WGCguQHGcGbVrUsUsubqJ,spotify:track:5WGCguQHGcGbVrUsUsubqJ,https://api.spotify.com/v1/tracks/5WGCguQHGcGbVrUsUsubqJ,https://api.spotify.com/v1/audio-analysis/5WGCguQHGcGbVrUsUsubqJ,146824,4
ONE CALL,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,audio_features,69phA1R4gmQsBFRQ3INW8C,spotify:track:69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/audio-analysis/69phA1R4gmQsBFRQ3INW8C,121399,4
FE!N (feat. Playboi Carti),0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
Centrofuga,0.743,0.937,10,-5.449,0,0.135,0.015,3.72e-06,0.568,0.89,162.038,audio_features,1lKpsuiY1GKU0Tj7QE8EWX,spotify:track:1lKpsuiY1GKU0Tj7QE8EWX,https://api.spotify.com/v1/tracks/1lKpsuiY1GKU0Tj7QE8EWX,https://api.spotify.com/v1/audio-analysis/1lKpsuiY1GKU0Tj7QE8EWX,217817,4
Лудница,0.804,0.963,5,-2.471,0,0.0837,0.0346,1.01e-06,0.0947,0.816,139.986,audio_features,7bvH7KJOT6tYkUKiNhWRrs,spotify:track:7bvH7KJOT6tYkUKiNhWRrs,https://api.spotify.com/v1/tracks/7bvH7KJOT6tYkUKiNhWRrs,https://api.spotify.com/v1/audio-analysis/7bvH7KJOT6tYkUKiNhWRrs,190278,4
Звънни ми,0.752,0.805,7,-3.534,0,0.0938,0.0861,0.0,0.166,0.725,155.957,audio_features,0dwB1Vbr7CuhOiXPAuZFkZ,spotify:track:0dwB1Vbr7CuhOiXPAuZFkZ,https://api.spotify.com/v1/tracks/0dwB1Vbr7CuhOiXPAuZFkZ,https://api.spotify.com/v1/audio-analysis/0dwB1Vbr7CuhOiXPAuZFkZ,199133,4
Бавария,0.69,0.954,5,-2.936,0,0.0852,0.306,2.32e-05,0.103,0.89,172.086,audio_features,0FQVI0C86ASSO1TW4YIoUG,spotify:track:0FQVI0C86ASSO1TW4YIoUG,https://api.spotify.com/v1/tracks/0FQVI0C86ASSO1TW4YIoUG,https://api.spotify.com/v1/audio-analysis/0FQVI0C86ASSO1TW4YIoUG,197031,4
redrum,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,audio_features,52eIcoLUM25zbQupAZYoFh,spotify:track:52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/audio-analysis/52eIcoLUM25zbQupAZYoFh,270698,4
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
LEAO,0.952,0.57,10,-8.006,0,0.0758,0.0151,5.76e-06,0.092,0.357,104.948,audio_features,1O40GZggJQo7F6dChRSywC,spotify:track:1O40GZggJQo7F6dChRSywC,https://api.spotify.com/v1/tracks/1O40GZggJQo7F6dChRSywC,https://api.spotify.com/v1/audio-analysis/1O40GZggJQo7F6dChRSywC,146403,4
"Казах ""НE""",0.652,0.811,11,-5.535,0,0.146,0.0578,0.0,0.363,0.577,180.001,audio_features,5iqz9iOrbCYHXi23gltzo4,spotify:track:5iqz9iOrbCYHXi23gltzo4,https://api.spotify.com/v1/tracks/5iqz9iOrbCYHXi23gltzo4,https://api.spotify.com/v1/audio-analysis/5iqz9iOrbCYHXi23gltzo4,197333,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Здрасти,0.569,0.918,11,-4.404,0,0.0796,0.0972,2.76e-05,0.283,0.513,169.872,audio_features,5zQJgQMsG2Q8JOmMmiE5Nt,spotify:track:5zQJgQMsG2Q8JOmMmiE5Nt,https://api.spotify.com/v1/tracks/5zQJgQMsG2Q8JOmMmiE5Nt,https://api.spotify.com/v1/audio-analysis/5zQJgQMsG2Q8JOmMmiE5Nt,213976,4
Малката беля,0.743,0.859,11,-4.59,0,0.107,0.0287,0.0,0.0825,0.786,154.086,audio_features,2Fs3HuNZQ2QK0Qcfr19L8Y,spotify:track:2Fs3HuNZQ2QK0Qcfr19L8Y,https://api.spotify.com/v1/tracks/2Fs3HuNZQ2QK0Qcfr19L8Y,https://api.spotify.com/v1/audio-analysis/2Fs3HuNZQ2QK0Qcfr19L8Y,188571,4
"Обичам те, ти мене - не",0.638,0.941,5,-4.075,0,0.0363,0.0218,0.15,0.316,0.961,144.002,audio_features,2R3jE3iK7C1Ok8eCuIFCmy,spotify:track:2R3jE3iK7C1Ok8eCuIFCmy,https://api.spotify.com/v1/tracks/2R3jE3iK7C1Ok8eCuIFCmy,https://api.spotify.com/v1/audio-analysis/2R3jE3iK7C1Ok8eCuIFCmy,168333,4
Ако ти върна,0.711,0.9,6,-4.723,0,0.0655,0.105,0.0,0.0363,0.401,93.002,audio_features,4Xbk3eXJZvRLr1JpbnBtg0,spotify:track:4Xbk3eXJZvRLr1JpbnBtg0,https://api.spotify.com/v1/tracks/4Xbk3eXJZvRLr1JpbnBtg0,https://api.spotify.com/v1/audio-analysis/4Xbk3eXJZvRLr1JpbnBtg0,250506,4
Прощавам ти,0.604,0.858,7,-7.088,0,0.266,0.0445,0.0,0.0746,0.277,175.992,audio_features,1Kgu5BIPXBqB6VEzQmZpMH,spotify:track:1Kgu5BIPXBqB6VEzQmZpMH,https://api.spotify.com/v1/tracks/1Kgu5BIPXBqB6VEzQmZpMH,https://api.spotify.com/v1/audio-analysis/1Kgu5BIPXBqB6VEzQmZpMH,210000,4
