name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Gata Only,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000,4
Coa Xorete,0.952,0.691,9,-4.656,1,0.348,0.176,0.000283,0.0656,0.791,104.001,audio_features,1M8WdBbJ5lRS06RBlINv1G,spotify:track:1M8WdBbJ5lRS06RBlINv1G,https://api.spotify.com/v1/tracks/1M8WdBbJ5lRS06RBlINv1G,https://api.spotify.com/v1/audio-analysis/1M8WdBbJ5lRS06RBlINv1G,130385,4
Daytona,0.776,0.737,1,-5.52,0,0.0636,0.0979,6.46e-05,0.0693,0.547,97.011,audio_features,2kvpHbQHp9QmcG9WhyLwco,spotify:track:2kvpHbQHp9QmcG9WhyLwco,https://api.spotify.com/v1/tracks/2kvpHbQHp9QmcG9WhyLwco,https://api.spotify.com/v1/audio-analysis/2kvpHbQHp9QmcG9WhyLwco,173786,4
Enrolar,0.785,0.567,8,-5.149,0,0.0492,0.256,0.0,0.25,0.481,99.803,audio_features,6kINKNCezsxA0wQFxSP2Aa,spotify:track:6kINKNCezsxA0wQFxSP2Aa,https://api.spotify.com/v1/tracks/6kINKNCezsxA0wQFxSP2Aa,https://api.spotify.com/v1/audio-analysis/6kINKNCezsxA0wQFxSP2Aa,167691,4
Ese Guille,0.77,0.795,4,-2.868,0,0.0441,0.231,0.0,0.111,0.737,98.017,audio_features,1DFLbi4TVAwgYWcV76Rcwa,spotify:track:1DFLbi4TVAwgYWcV76Rcwa,https://api.spotify.com/v1/tracks/1DFLbi4TVAwgYWcV76Rcwa,https://api.spotify.com/v1/audio-analysis/1DFLbi4TVAwgYWcV76Rcwa,154463,4
PRINCESITA DE ...,0.877,0.647,9,-4.63,0,0.15,0.0208,1.14e-06,0.048,0.828,97.973,audio_features,7pNzulQGBP6v2g4A2KnAJ6,spotify:track:7pNzulQGBP6v2g4A2KnAJ6,https://api.spotify.com/v1/tracks/7pNzulQGBP6v2g4A2KnAJ6,https://api.spotify.com/v1/audio-analysis/7pNzulQGBP6v2g4A2KnAJ6,162398,4
LUNA,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
Minnie <3,0.708,0.889,0,-2.883,0,0.045,0.318,0.0,0.294,0.771,98.067,audio_features,4awSm1QqlLxMW58vi428bq,spotify:track:4awSm1QqlLxMW58vi428bq,https://api.spotify.com/v1/tracks/4awSm1QqlLxMW58vi428bq,https://api.spotify.com/v1/audio-analysis/4awSm1QqlLxMW58vi428bq,232653,4
El Amor de tu Vida (feat. Lenny Tavárez & Best) - Remix,0.823,0.864,1,-3.668,1,0.0472,0.118,0.0,0.156,0.89,99.964,audio_features,0e09Q1sQWzAsP2Yo62la9F,spotify:track:0e09Q1sQWzAsP2Yo62la9F,https://api.spotify.com/v1/tracks/0e09Q1sQWzAsP2Yo62la9F,https://api.spotify.com/v1/audio-analysis/0e09Q1sQWzAsP2Yo62la9F,270869,4
LA FALDA,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,audio_features,7iUtQNMRB8ZkKC4AmEuCJC,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,174230,4
