name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bellevue (feat. D1MA),0.712,0.526,8,-7.057,0,0.0973,0.128,0.0,0.116,0.529,100.016,audio_features,6EXV782Zpktyx9NvcwkYN5,spotify:track:6EXV782Zpktyx9NvcwkYN5,https://api.spotify.com/v1/tracks/6EXV782Zpktyx9NvcwkYN5,https://api.spotify.com/v1/audio-analysis/6EXV782Zpktyx9NvcwkYN5,154612,4
Alt Det (feat. Noah Carter),0.726,0.811,2,-3.632,0,0.0432,0.178,2.24e-06,0.288,0.341,99.039,audio_features,1knZ2cJRHNUeEidZvhypRm,spotify:track:1knZ2cJRHNUeEidZvhypRm,https://api.spotify.com/v1/tracks/1knZ2cJRHNUeEidZvhypRm,https://api.spotify.com/v1/audio-analysis/1knZ2cJRHNUeEidZvhypRm,178366,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
Knuser Hjerter,0.684,0.548,5,-8.215,0,0.228,0.424,1.16e-06,0.194,0.437,123.885,audio_features,6KliOBbtUUSwHHFjDzYVPe,spotify:track:6KliOBbtUUSwHHFjDzYVPe,https://api.spotify.com/v1/tracks/6KliOBbtUUSwHHFjDzYVPe,https://api.spotify.com/v1/audio-analysis/6KliOBbtUUSwHHFjDzYVPe,207021,4
555 (feat. KESI),0.529,0.846,1,-4.302,0,0.317,0.0258,0.0,0.303,0.682,189.61,audio_features,742ldXChILBv6QeqaXoOWi,spotify:track:742ldXChILBv6QeqaXoOWi,https://api.spotify.com/v1/tracks/742ldXChILBv6QeqaXoOWi,https://api.spotify.com/v1/audio-analysis/742ldXChILBv6QeqaXoOWi,157631,3
Det Modsatte,0.764,0.581,11,-5.544,0,0.106,0.0171,0.0,0.0866,0.55,118.059,audio_features,6vdsc40TnfCdZsWj7GecQV,spotify:track:6vdsc40TnfCdZsWj7GecQV,https://api.spotify.com/v1/tracks/6vdsc40TnfCdZsWj7GecQV,https://api.spotify.com/v1/audio-analysis/6vdsc40TnfCdZsWj7GecQV,201864,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,7AYmToZ5y67fBjq4RLFbuq,spotify:track:7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,235636,4
I KNOW,0.844,0.674,4,-6.09,0,0.091,0.039,0.0,0.1,0.319,113.973,audio_features,3aQzeklWllLWZSH4xk7Udj,spotify:track:3aQzeklWllLWZSH4xk7Udj,https://api.spotify.com/v1/tracks/3aQzeklWllLWZSH4xk7Udj,https://api.spotify.com/v1/audio-analysis/3aQzeklWllLWZSH4xk7Udj,189474,4
