name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Vamono Lejos,0.425,0.679,7,-5.276,1,0.205,0.236,0.0,0.177,0.503,85.19,audio_features,4xdl8WUxPsgG0gZdIP4yS8,spotify:track:4xdl8WUxPsgG0gZdIP4yS8,https://api.spotify.com/v1/tracks/4xdl8WUxPsgG0gZdIP4yS8,https://api.spotify.com/v1/audio-analysis/4xdl8WUxPsgG0gZdIP4yS8,187694,4
DORA,0.671,0.966,7,-3.413,1,0.0734,0.15,0.108,0.0841,0.818,120.864,audio_features,4ODeRUFrGLtoSdtcSF13eS,spotify:track:4ODeRUFrGLtoSdtcSF13eS,https://api.spotify.com/v1/tracks/4ODeRUFrGLtoSdtcSF13eS,https://api.spotify.com/v1/audio-analysis/4ODeRUFrGLtoSdtcSF13eS,162645,4
A 120,0.77,0.675,7,-6.31,0,0.0646,0.037,0.0,0.111,0.508,89.983,audio_features,4kQujiq5GIgUuQoqGZvnDA,spotify:track:4kQujiq5GIgUuQoqGZvnDA,https://api.spotify.com/v1/tracks/4kQujiq5GIgUuQoqGZvnDA,https://api.spotify.com/v1/audio-analysis/4kQujiq5GIgUuQoqGZvnDA,184216,4
PERRO NEGRO,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4
Tuwi Tuwi,0.87,0.506,2,-8.954,1,0.498,0.0367,2.14e-05,0.048,0.705,129.637,audio_features,4JfRDEkkMYiLp76wepG9Vw,spotify:track:4JfRDEkkMYiLp76wepG9Vw,https://api.spotify.com/v1/tracks/4JfRDEkkMYiLp76wepG9Vw,https://api.spotify.com/v1/audio-analysis/4JfRDEkkMYiLp76wepG9Vw,135231,4
AMARGURA,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,audio_features,505v13epFXodT9fVAJ6h8k,spotify:track:505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k,170480,4
LUNA,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
Culiacan,0.701,0.567,9,-8.747,0,0.0425,0.477,0.0,0.0919,0.97,144.99,audio_features,2XRqTHNmMNds7tz6D1NSHz,spotify:track:2XRqTHNmMNds7tz6D1NSHz,https://api.spotify.com/v1/tracks/2XRqTHNmMNds7tz6D1NSHz,https://api.spotify.com/v1/audio-analysis/2XRqTHNmMNds7tz6D1NSHz,171861,3
QLONA,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK,172798,4
Cupido,0.914,0.601,11,-5.255,1,0.163,0.0888,4.62e-06,0.264,0.648,96.041,audio_features,2lcRmD1OrJq7PKidfQNb1S,spotify:track:2lcRmD1OrJq7PKidfQNb1S,https://api.spotify.com/v1/tracks/2lcRmD1OrJq7PKidfQNb1S,https://api.spotify.com/v1/audio-analysis/2lcRmD1OrJq7PKidfQNb1S,215000,4
La Diabla,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,audio_features,0R6NfOiLzLj4O5VbYSJAjf,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264,3
EN BLUSA,0.61,0.855,1,-4.344,1,0.464,0.0758,0.176,0.0757,0.813,201.79,audio_features,173Nv2ynszhKfmKwHef0Eo,spotify:track:173Nv2ynszhKfmKwHef0Eo,https://api.spotify.com/v1/tracks/173Nv2ynszhKfmKwHef0Eo,https://api.spotify.com/v1/audio-analysis/173Nv2ynszhKfmKwHef0Eo,158797,3
Digitando - Ao Vivo,0.475,0.918,8,-2.989,1,0.0756,0.341,0.0,0.343,0.807,139.973,audio_features,6sQazE95jwum2l642zafzG,spotify:track:6sQazE95jwum2l642zafzG,https://api.spotify.com/v1/tracks/6sQazE95jwum2l642zafzG,https://api.spotify.com/v1/audio-analysis/6sQazE95jwum2l642zafzG,154287,4
Hey Lil Mama,0.458,0.52,1,-6.902,0,0.175,0.58,5.98e-05,0.248,0.38,141.636,audio_features,5QtB74eCS2YzHvEfSlh8MG,spotify:track:5QtB74eCS2YzHvEfSlh8MG,https://api.spotify.com/v1/tracks/5QtB74eCS2YzHvEfSlh8MG,https://api.spotify.com/v1/audio-analysis/5QtB74eCS2YzHvEfSlh8MG,216338,4
Tiki Tiki,0.806,0.609,1,-6.841,0,0.541,0.401,0.0,0.142,0.874,95.976,audio_features,1JnRfqRvQN2sjQJlINz6cl,spotify:track:1JnRfqRvQN2sjQJlINz6cl,https://api.spotify.com/v1/tracks/1JnRfqRvQN2sjQJlINz6cl,https://api.spotify.com/v1/audio-analysis/1JnRfqRvQN2sjQJlINz6cl,121344,4
LA FALDA,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,audio_features,7iUtQNMRB8ZkKC4AmEuCJC,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,174230,4
