name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023,0.883,0.888,0,-1.012,0,0.107,0.331,0.0,0.268,0.827,107.015,audio_features,3uwYsiS1nnYDfVQMBbdX2B,spotify:track:3uwYsiS1nnYDfVQMBbdX2B,https://api.spotify.com/v1/tracks/3uwYsiS1nnYDfVQMBbdX2B,https://api.spotify.com/v1/audio-analysis/3uwYsiS1nnYDfVQMBbdX2B,433935,4
زماني صابني عيار,0.732,0.892,0,-1.202,0,0.121,0.47,0.0,0.102,0.797,109.975,audio_features,0zyAjQxKKcs5UAdctKc0xR,spotify:track:0zyAjQxKKcs5UAdctKc0xR,https://api.spotify.com/v1/tracks/0zyAjQxKKcs5UAdctKc0xR,https://api.spotify.com/v1/audio-analysis/0zyAjQxKKcs5UAdctKc0xR,189818,4
عالعموم,0.719,0.556,10,-11.283,0,0.253,0.276,0.0,0.123,0.406,116.996,audio_features,3tfiVsnpCzewE8rPpsRIL6,spotify:track:3tfiVsnpCzewE8rPpsRIL6,https://api.spotify.com/v1/tracks/3tfiVsnpCzewE8rPpsRIL6,https://api.spotify.com/v1/audio-analysis/3tfiVsnpCzewE8rPpsRIL6,164124,4
هيجيلي موجوع,0.556,0.675,1,-6.85,0,0.0564,0.487,3.53e-05,0.102,0.742,167.826,audio_features,2Heqj9jtxarmecKxycGSWn,spotify:track:2Heqj9jtxarmecKxycGSWn,https://api.spotify.com/v1/tracks/2Heqj9jtxarmecKxycGSWn,https://api.spotify.com/v1/audio-analysis/2Heqj9jtxarmecKxycGSWn,210714,4
اللي نفسه فيا بيتي ميتوهش,0.754,0.843,9,-5.921,0,0.113,0.357,0.0,0.359,0.953,107.99,audio_features,1qhODkCMlYY22JflCKJQnz,spotify:track:1qhODkCMlYY22JflCKJQnz,https://api.spotify.com/v1/tracks/1qhODkCMlYY22JflCKJQnz,https://api.spotify.com/v1/audio-analysis/1qhODkCMlYY22JflCKJQnz,385068,4
سيبك من اللي خلع - من فيلم حمص وحلاوة,0.89,0.917,5,-1.942,1,0.0443,0.12,0.0,0.265,0.771,110.003,audio_features,7ME2ZENU0G5H7IlnPbWvOv,spotify:track:7ME2ZENU0G5H7IlnPbWvOv,https://api.spotify.com/v1/tracks/7ME2ZENU0G5H7IlnPbWvOv,https://api.spotify.com/v1/audio-analysis/7ME2ZENU0G5H7IlnPbWvOv,172364,4
Matafetch,0.596,0.694,6,-7.461,0,0.0345,0.134,0.0,0.105,0.27,160.003,audio_features,0ZGmHDAUSgGV5mCUbtYFe7,spotify:track:0ZGmHDAUSgGV5mCUbtYFe7,https://api.spotify.com/v1/tracks/0ZGmHDAUSgGV5mCUbtYFe7,https://api.spotify.com/v1/audio-analysis/0ZGmHDAUSgGV5mCUbtYFe7,156415,4
YAZMEELY,0.706,0.467,5,-9.396,0,0.0401,0.575,0.0,0.112,0.224,100.045,audio_features,3WOiSsqfXPZAtGTr2PFj6S,spotify:track:3WOiSsqfXPZAtGTr2PFj6S,https://api.spotify.com/v1/tracks/3WOiSsqfXPZAtGTr2PFj6S,https://api.spotify.com/v1/audio-analysis/3WOiSsqfXPZAtGTr2PFj6S,196806,4
منحرفين ( في حضورنا الدنيا بتتشقلب ),0.839,0.922,8,-1.46,1,0.063,0.129,0.0,0.356,0.882,109.988,audio_features,0T61bGOEKCv09tvbbiXb8u,spotify:track:0T61bGOEKCv09tvbbiXb8u,https://api.spotify.com/v1/tracks/0T61bGOEKCv09tvbbiXb8u,https://api.spotify.com/v1/audio-analysis/0T61bGOEKCv09tvbbiXb8u,183197,4
اكشن جاي اتعارك - عيني جت علي سنيورة,0.886,0.937,7,0.447,1,0.0665,0.129,0.0,0.0793,0.841,110.019,audio_features,2uq6KhwXlCogpNTmN1cq7x,spotify:track:2uq6KhwXlCogpNTmN1cq7x,https://api.spotify.com/v1/tracks/2uq6KhwXlCogpNTmN1cq7x,https://api.spotify.com/v1/audio-analysis/2uq6KhwXlCogpNTmN1cq7x,342546,4
سيبك من كرته المواقع ( خد كشاف انا عارف انك ياض بتخاف ),0.819,0.874,2,-3.722,0,0.0462,0.38,0.0,0.0558,0.835,115.995,audio_features,2hVnTuP0zdUEwHhME9ThnC,spotify:track:2hVnTuP0zdUEwHhME9ThnC,https://api.spotify.com/v1/tracks/2hVnTuP0zdUEwHhME9ThnC,https://api.spotify.com/v1/audio-analysis/2hVnTuP0zdUEwHhME9ThnC,248337,4
خوجه في الجنب - وانا علي البحر ازماله بتمشي متجوزيني بنتك يا حماتي,0.882,0.959,5,-0.228,0,0.0819,0.0713,1.57e-06,0.355,0.905,117.012,audio_features,7KWqfXjwdagIi5KuYduDVk,spotify:track:7KWqfXjwdagIi5KuYduDVk,https://api.spotify.com/v1/tracks/7KWqfXjwdagIi5KuYduDVk,https://api.spotify.com/v1/audio-analysis/7KWqfXjwdagIi5KuYduDVk,211282,4
اتنين بمقام ملايين,0.774,0.856,2,-0.977,1,0.0472,0.467,0.0,0.127,0.9,107.991,audio_features,0TchhsYsdtIsY6HCJ0YQWL,spotify:track:0TchhsYsdtIsY6HCJ0YQWL,https://api.spotify.com/v1/tracks/0TchhsYsdtIsY6HCJ0YQWL,https://api.spotify.com/v1/audio-analysis/0TchhsYsdtIsY6HCJ0YQWL,173375,4
El Mabda2,0.797,0.614,9,-6.05,1,0.0616,0.379,0.0,0.122,0.363,111.989,audio_features,6m8vcn1JPflk8xBoFsaPDP,spotify:track:6m8vcn1JPflk8xBoFsaPDP,https://api.spotify.com/v1/tracks/6m8vcn1JPflk8xBoFsaPDP,https://api.spotify.com/v1/audio-analysis/6m8vcn1JPflk8xBoFsaPDP,158586,4
كلام عينيه,0.573,0.759,1,-4.706,0,0.0428,0.0477,1.37e-06,0.193,0.745,131.931,audio_features,6g95dK7o7vVh8ZCnDAseU5,spotify:track:6g95dK7o7vVh8ZCnDAseU5,https://api.spotify.com/v1/tracks/6g95dK7o7vVh8ZCnDAseU5,https://api.spotify.com/v1/audio-analysis/6g95dK7o7vVh8ZCnDAseU5,235833,4
يلا نلعبو جوله,0.84,0.809,10,-2.794,0,0.0918,0.16,0.0,0.0666,0.833,115.134,audio_features,7AVngULvj8UIiF4TvM2zFt,spotify:track:7AVngULvj8UIiF4TvM2zFt,https://api.spotify.com/v1/tracks/7AVngULvj8UIiF4TvM2zFt,https://api.spotify.com/v1/audio-analysis/7AVngULvj8UIiF4TvM2zFt,48000,4
