name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Uuteen eiliseen,0.653,0.655,1,-4.017,0,0.0419,0.326,0.0,0.0752,0.603,119.966,audio_features,7F8qxqsIVThVPpSlxJSXVs,spotify:track:7F8qxqsIVThVPpSlxJSXVs,https://api.spotify.com/v1/tracks/7F8qxqsIVThVPpSlxJSXVs,https://api.spotify.com/v1/audio-analysis/7F8qxqsIVThVPpSlxJSXVs,164597,4
Heikkouteni (feat. TUULI),0.773,0.495,9,-5.42,0,0.0419,0.503,0.0,0.0757,0.759,139.998,audio_features,1NwbEj6H1dRsgPcd7CKJNa,spotify:track:1NwbEj6H1dRsgPcd7CKJNa,https://api.spotify.com/v1/tracks/1NwbEj6H1dRsgPcd7CKJNa,https://api.spotify.com/v1/audio-analysis/1NwbEj6H1dRsgPcd7CKJNa,183482,4
Timanttei,0.663,0.685,2,-5.235,0,0.0413,0.313,0.000322,0.13,0.49,129.881,audio_features,3BZB8nRPdxDmG2X5Mzlq7X,spotify:track:3BZB8nRPdxDmG2X5Mzlq7X,https://api.spotify.com/v1/tracks/3BZB8nRPdxDmG2X5Mzlq7X,https://api.spotify.com/v1/audio-analysis/3BZB8nRPdxDmG2X5Mzlq7X,209075,4
Kissa (feat. Averagekidluke),0.745,0.752,1,-6.146,1,0.234,0.0527,0.324,0.605,0.496,115.027,audio_features,698RPeb6Y12F89u1u5VRWH,spotify:track:698RPeb6Y12F89u1u5VRWH,https://api.spotify.com/v1/tracks/698RPeb6Y12F89u1u5VRWH,https://api.spotify.com/v1/audio-analysis/698RPeb6Y12F89u1u5VRWH,165584,4
Elli,0.552,0.774,9,-6.348,1,0.0401,0.00744,1.11e-05,0.269,0.542,165.151,audio_features,7B5gqyksQo2MTQxW6ZTzp2,spotify:track:7B5gqyksQo2MTQxW6ZTzp2,https://api.spotify.com/v1/tracks/7B5gqyksQo2MTQxW6ZTzp2,https://api.spotify.com/v1/audio-analysis/7B5gqyksQo2MTQxW6ZTzp2,166503,4
Tunnista tuntiin,0.874,0.578,6,-4.564,0,0.0461,0.422,2.41e-06,0.124,0.831,120.047,audio_features,0jooO42vkt1zh74OsLXwfr,spotify:track:0jooO42vkt1zh74OsLXwfr,https://api.spotify.com/v1/tracks/0jooO42vkt1zh74OsLXwfr,https://api.spotify.com/v1/audio-analysis/0jooO42vkt1zh74OsLXwfr,181250,4
Kattomatta takas,0.567,0.752,2,-6.644,1,0.0511,0.123,0.0116,0.12,0.363,83.978,audio_features,32TdIduhRPeevh5v7YjJKV,spotify:track:32TdIduhRPeevh5v7YjJKV,https://api.spotify.com/v1/tracks/32TdIduhRPeevh5v7YjJKV,https://api.spotify.com/v1/audio-analysis/32TdIduhRPeevh5v7YjJKV,150000,4
Virheet (feat. Bee),0.678,0.568,2,-6.282,0,0.0619,0.0289,0.0165,0.291,0.488,139.935,audio_features,1f4EEouaax3HMfIBdNd7IX,spotify:track:1f4EEouaax3HMfIBdNd7IX,https://api.spotify.com/v1/tracks/1f4EEouaax3HMfIBdNd7IX,https://api.spotify.com/v1/audio-analysis/1f4EEouaax3HMfIBdNd7IX,167282,4
Jos puhutaan totta,0.744,0.734,8,-5.623,0,0.0551,0.18,6.93e-05,0.191,0.6,105.002,audio_features,4rjRfdvdlRwyAVAwwdDifd,spotify:track:4rjRfdvdlRwyAVAwwdDifd,https://api.spotify.com/v1/tracks/4rjRfdvdlRwyAVAwwdDifd,https://api.spotify.com/v1/audio-analysis/4rjRfdvdlRwyAVAwwdDifd,174286,4
Vaan sä,0.799,0.588,11,-5.112,0,0.0481,0.176,5.96e-05,0.109,0.707,99.999,audio_features,01yA7KxtfCIonnl9BE7ayr,spotify:track:01yA7KxtfCIonnl9BE7ayr,https://api.spotify.com/v1/tracks/01yA7KxtfCIonnl9BE7ayr,https://api.spotify.com/v1/audio-analysis/01yA7KxtfCIonnl9BE7ayr,162034,4
