name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
Petit génie,0.794,0.578,1,-5.932,0,0.25,0.103,1.24e-05,0.363,0.967,126.032,audio_features,1eldTykrnkEBLX41bk5eMw,spotify:track:1eldTykrnkEBLX41bk5eMw,https://api.spotify.com/v1/tracks/1eldTykrnkEBLX41bk5eMw,https://api.spotify.com/v1/audio-analysis/1eldTykrnkEBLX41bk5eMw,217260,4
MAMI WATA,0.702,0.693,5,-4.941,0,0.191,0.139,0.0,0.0702,0.572,87.973,audio_features,6yqwxY8qifBBhyryjZutxk,spotify:track:6yqwxY8qifBBhyryjZutxk,https://api.spotify.com/v1/tracks/6yqwxY8qifBBhyryjZutxk,https://api.spotify.com/v1/audio-analysis/6yqwxY8qifBBhyryjZutxk,233240,4
Ceux qu'on était,0.545,0.524,1,-10.072,1,0.0322,0.585,0.0,0.0744,0.276,145.876,audio_features,5Pzh42xn3oAXHh4U7tVHMr,spotify:track:5Pzh42xn3oAXHh4U7tVHMr,https://api.spotify.com/v1/tracks/5Pzh42xn3oAXHh4U7tVHMr,https://api.spotify.com/v1/audio-analysis/5Pzh42xn3oAXHh4U7tVHMr,172610,4
I love you,0.447,0.61,1,-6.161,0,0.188,0.316,0.000175,0.0984,0.718,138.266,audio_features,6jDe94y1dbLDU53Q1NPxLH,spotify:track:6jDe94y1dbLDU53Q1NPxLH,https://api.spotify.com/v1/tracks/6jDe94y1dbLDU53Q1NPxLH,https://api.spotify.com/v1/audio-analysis/6jDe94y1dbLDU53Q1NPxLH,237867,5
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Position,0.495,0.871,10,-2.333,0,0.342,0.399,0.0,0.0674,0.877,103.639,audio_features,3Zw66L4FvI9YUUx17OReRD,spotify:track:3Zw66L4FvI9YUUx17OReRD,https://api.spotify.com/v1/tracks/3Zw66L4FvI9YUUx17OReRD,https://api.spotify.com/v1/audio-analysis/3Zw66L4FvI9YUUx17OReRD,141227,4
Pyramide,0.781,0.704,4,-5.78,0,0.0793,0.369,0.0,0.0931,0.795,125.045,audio_features,0y79GClHejq2TTQLaYFLUT,spotify:track:0y79GClHejq2TTQLaYFLUT,https://api.spotify.com/v1/tracks/0y79GClHejq2TTQLaYFLUT,https://api.spotify.com/v1/audio-analysis/0y79GClHejq2TTQLaYFLUT,208478,4
Si No Estás,0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,audio_features,2HafqoJbgXdtjwCOvNEF14,spotify:track:2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/audio-analysis/2HafqoJbgXdtjwCOvNEF14,184061,4
TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,7AYmToZ5y67fBjq4RLFbuq,spotify:track:7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,235636,4
