name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Liebe ist ein Dieb,0.547,0.649,10,-5.483,0,0.188,0.0442,0.0,0.111,0.376,132.772,audio_features,01LYfVauZ0LlK5gok0HdTO,spotify:track:01LYfVauZ0LlK5gok0HdTO,https://api.spotify.com/v1/tracks/01LYfVauZ0LlK5gok0HdTO,https://api.spotify.com/v1/audio-analysis/01LYfVauZ0LlK5gok0HdTO,191640,4
"ZEIT, DASS SICH WAS DREHT",0.692,0.644,0,-6.694,1,0.117,0.0906,0.0,0.13,0.354,140.012,audio_features,1NifMX1JqCz9caJowG8dxq,spotify:track:1NifMX1JqCz9caJowG8dxq,https://api.spotify.com/v1/tracks/1NifMX1JqCz9caJowG8dxq,https://api.spotify.com/v1/audio-analysis/1NifMX1JqCz9caJowG8dxq,153974,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
i like the way you kiss me,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4
Küssen,0.793,0.773,8,-8.306,1,0.124,0.157,0.0353,0.0771,0.8,170.085,audio_features,2FbTZrdW0KGqH7TOdZRHiP,spotify:track:2FbTZrdW0KGqH7TOdZRHiP,https://api.spotify.com/v1/tracks/2FbTZrdW0KGqH7TOdZRHiP,https://api.spotify.com/v1/audio-analysis/2FbTZrdW0KGqH7TOdZRHiP,139920,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
Vois sur ton chemin - Techno Mix,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4
Stumblin' In,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,audio_features,0h3Xy4V4apMraB5NuM8U7Z,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,https://api.spotify.com/v1/tracks/0h3Xy4V4apMraB5NuM8U7Z,https://api.spotify.com/v1/audio-analysis/0h3Xy4V4apMraB5NuM8U7Z,213364,4
Another Vibe (feat. Omah Lay),0.564,0.558,6,-9.0,0,0.388,0.25,9.78e-06,0.143,0.243,63.568,audio_features,1sNQMj0Dq0UHrryEQqP4OY,spotify:track:1sNQMj0Dq0UHrryEQqP4OY,https://api.spotify.com/v1/tracks/1sNQMj0Dq0UHrryEQqP4OY,https://api.spotify.com/v1/audio-analysis/1sNQMj0Dq0UHrryEQqP4OY,163013,5
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
