name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ZARI,0.733,0.675,0,-4.386,1,0.095,0.169,1.39e-06,0.142,0.658,101.887,audio_features,4sDLQ5atDUHhbikD1UQ2mW,spotify:track:4sDLQ5atDUHhbikD1UQ2mW,https://api.spotify.com/v1/tracks/4sDLQ5atDUHhbikD1UQ2mW,https://api.spotify.com/v1/audio-analysis/4sDLQ5atDUHhbikD1UQ2mW,180979,4
Death Before Dishonor,0.802,0.784,4,-5.056,1,0.0858,0.0885,0.0,0.105,0.369,120.003,audio_features,5MdKLXYWrL48gqZjioO0N4,spotify:track:5MdKLXYWrL48gqZjioO0N4,https://api.spotify.com/v1/tracks/5MdKLXYWrL48gqZjioO0N4,https://api.spotify.com/v1/audio-analysis/5MdKLXYWrL48gqZjioO0N4,143767,4
MILLION,0.466,0.716,1,-7.807,1,0.159,0.0319,1.35e-05,0.11,0.703,99.076,audio_features,1dYcj4cAs1MSv5MfGeO9Me,spotify:track:1dYcj4cAs1MSv5MfGeO9Me,https://api.spotify.com/v1/tracks/1dYcj4cAs1MSv5MfGeO9Me,https://api.spotify.com/v1/audio-analysis/1dYcj4cAs1MSv5MfGeO9Me,138182,4
THE DEAL,0.464,0.655,0,-8.589,0,0.181,0.432,1.34e-06,0.168,0.509,96.241,audio_features,28ooJkbDOGToXhO1NRoBhQ,spotify:track:28ooJkbDOGToXhO1NRoBhQ,https://api.spotify.com/v1/tracks/28ooJkbDOGToXhO1NRoBhQ,https://api.spotify.com/v1/audio-analysis/28ooJkbDOGToXhO1NRoBhQ,303333,5
Arga,0.763,0.622,5,-7.394,1,0.0437,0.14,0.0,0.328,0.63,98.028,audio_features,3mzSzoAPvteMqisimpJf4b,spotify:track:3mzSzoAPvteMqisimpJf4b,https://api.spotify.com/v1/tracks/3mzSzoAPvteMqisimpJf4b,https://api.spotify.com/v1/audio-analysis/3mzSzoAPvteMqisimpJf4b,179696,4
Sukarie,0.961,0.947,9,-4.228,0,0.0922,0.0888,0.0,0.234,0.967,125.059,audio_features,3EDocnZVJedQToA6rv8v3p,spotify:track:3EDocnZVJedQToA6rv8v3p,https://api.spotify.com/v1/tracks/3EDocnZVJedQToA6rv8v3p,https://api.spotify.com/v1/audio-analysis/3EDocnZVJedQToA6rv8v3p,182400,4
MAALOX,0.807,0.887,5,-6.922,0,0.437,0.493,8.15e-05,0.12,0.723,124.996,audio_features,1Xbd58mP4fOtkdJrXJttjS,spotify:track:1Xbd58mP4fOtkdJrXJttjS,https://api.spotify.com/v1/tracks/1Xbd58mP4fOtkdJrXJttjS,https://api.spotify.com/v1/audio-analysis/1Xbd58mP4fOtkdJrXJttjS,309167,4
Allou,0.509,0.581,5,-6.37,0,0.102,0.414,0.0,0.0763,0.456,130.762,audio_features,4Fke1kIQz7pzIZYKqyzeNm,spotify:track:4Fke1kIQz7pzIZYKqyzeNm,https://api.spotify.com/v1/tracks/4Fke1kIQz7pzIZYKqyzeNm,https://api.spotify.com/v1/audio-analysis/4Fke1kIQz7pzIZYKqyzeNm,191015,5
PRIN MAFISEIS,0.615,0.766,4,-8.074,0,0.0358,0.0209,0.186,0.176,0.646,99.981,audio_features,2HryglxMYeEZcLHxSgQe4T,spotify:track:2HryglxMYeEZcLHxSgQe4T,https://api.spotify.com/v1/tracks/2HryglxMYeEZcLHxSgQe4T,https://api.spotify.com/v1/audio-analysis/2HryglxMYeEZcLHxSgQe4T,200464,4
Balkan Disco,0.791,0.858,5,-4.412,0,0.0359,0.238,0.0,0.124,0.905,116.977,audio_features,04ALITuonvdzyRx626yYpu,spotify:track:04ALITuonvdzyRx626yYpu,https://api.spotify.com/v1/tracks/04ALITuonvdzyRx626yYpu,https://api.spotify.com/v1/audio-analysis/04ALITuonvdzyRx626yYpu,167180,4
