name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
岩巉,0.52,0.306,7,-9.94,1,0.0302,0.922,9.29e-05,0.212,0.369,141.313,audio_features,4ja627NyIBCz7wO2dYr83g,spotify:track:4ja627NyIBCz7wO2dYr83g,https://api.spotify.com/v1/tracks/4ja627NyIBCz7wO2dYr83g,https://api.spotify.com/v1/audio-analysis/4ja627NyIBCz7wO2dYr83g,224513,4
黑月,0.641,0.704,1,-5.499,1,0.0665,0.0263,0.0,0.344,0.624,123.983,audio_features,60DcGRqdHMk9H3sat9bcHW,spotify:track:60DcGRqdHMk9H3sat9bcHW,https://api.spotify.com/v1/tracks/60DcGRqdHMk9H3sat9bcHW,https://api.spotify.com/v1/audio-analysis/60DcGRqdHMk9H3sat9bcHW,205826,4
隔牆有耳,0.524,0.584,9,-7.09,1,0.0346,0.604,0.0,0.103,0.383,123.552,audio_features,4sguC2oBIqfn8WmMmReOYb,spotify:track:4sguC2oBIqfn8WmMmReOYb,https://api.spotify.com/v1/tracks/4sguC2oBIqfn8WmMmReOYb,https://api.spotify.com/v1/audio-analysis/4sguC2oBIqfn8WmMmReOYb,221733,4
濤,0.493,0.803,6,-6.829,0,0.0898,0.0504,0.0,0.245,0.246,173.901,audio_features,1xRMtDxiU8xxAlaDscHIoT,spotify:track:1xRMtDxiU8xxAlaDscHIoT,https://api.spotify.com/v1/tracks/1xRMtDxiU8xxAlaDscHIoT,https://api.spotify.com/v1/audio-analysis/1xRMtDxiU8xxAlaDscHIoT,232489,4
"Dear My Friend,",0.646,0.452,0,-8.152,1,0.0307,0.723,0.0,0.117,0.266,94.566,audio_features,11IqNbLOD4s4nVYSuEttFR,spotify:track:11IqNbLOD4s4nVYSuEttFR,https://api.spotify.com/v1/tracks/11IqNbLOD4s4nVYSuEttFR,https://api.spotify.com/v1/audio-analysis/11IqNbLOD4s4nVYSuEttFR,232008,4
Dummy,0.631,0.865,3,-4.415,0,0.221,0.11,0.0,0.0866,0.51,172.716,audio_features,2CwGJLH5jTBlVQhMfjCc6e,spotify:track:2CwGJLH5jTBlVQhMfjCc6e,https://api.spotify.com/v1/tracks/2CwGJLH5jTBlVQhMfjCc6e,https://api.spotify.com/v1/audio-analysis/2CwGJLH5jTBlVQhMfjCc6e,246144,4
FRI(END)S,0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4
Love Me Again,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,audio_features,2N0SPREDYqILVEFSsWF5N5,spotify:track:2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/tracks/2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/audio-analysis/2N0SPREDYqILVEFSsWF5N5,182293,4
MY LIFE,0.563,0.811,2,-5.017,1,0.22,0.141,0.0,0.0793,0.326,154.034,audio_features,5GNtunR5AJb8bVoovm8vnz,spotify:track:5GNtunR5AJb8bVoovm8vnz,https://api.spotify.com/v1/tracks/5GNtunR5AJb8bVoovm8vnz,https://api.spotify.com/v1/audio-analysis/5GNtunR5AJb8bVoovm8vnz,208854,4
EASY,0.744,0.7,0,-5.154,1,0.0507,0.189,2.74e-06,0.114,0.602,165.004,audio_features,2O4Bb2WCkjlTPO827OnBMI,spotify:track:2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/tracks/2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/audio-analysis/2O4Bb2WCkjlTPO827OnBMI,164545,4
黑玻璃,0.654,0.714,6,-5.3,1,0.0702,0.265,0.0,0.117,0.51,135.901,audio_features,6eK3D9wcJhv7RDtpsqPBXs,spotify:track:6eK3D9wcJhv7RDtpsqPBXs,https://api.spotify.com/v1/tracks/6eK3D9wcJhv7RDtpsqPBXs,https://api.spotify.com/v1/audio-analysis/6eK3D9wcJhv7RDtpsqPBXs,219386,4
