name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Tiara,0.686,0.67,6,-4.95,1,0.043,0.222,0.00332,0.318,0.436,95.969,audio_features,0nI4wU2023g1mFho21Vddr,spotify:track:0nI4wU2023g1mFho21Vddr,https://api.spotify.com/v1/tracks/0nI4wU2023g1mFho21Vddr,https://api.spotify.com/v1/audio-analysis/0nI4wU2023g1mFho21Vddr,203125,4
Úgy Hiszem,0.812,0.598,5,-10.769,0,0.196,0.177,7.58e-05,0.135,0.534,146.995,audio_features,2zIijzos3rNY6DkvX2ZYDX,spotify:track:2zIijzos3rNY6DkvX2ZYDX,https://api.spotify.com/v1/tracks/2zIijzos3rNY6DkvX2ZYDX,https://api.spotify.com/v1/audio-analysis/2zIijzos3rNY6DkvX2ZYDX,199184,4
Székelykapu,0.769,0.778,7,-7.526,0,0.13,0.257,0.0,0.251,0.623,120.058,audio_features,13EtEH0X61xnyEChVmeb2Q,spotify:track:13EtEH0X61xnyEChVmeb2Q,https://api.spotify.com/v1/tracks/13EtEH0X61xnyEChVmeb2Q,https://api.spotify.com/v1/audio-analysis/13EtEH0X61xnyEChVmeb2Q,170000,4
Mámor,0.704,0.6,10,-9.297,0,0.226,0.553,0.0,0.377,0.235,141.641,audio_features,1zWdoNRmxhBaAJiJI2SI7j,spotify:track:1zWdoNRmxhBaAJiJI2SI7j,https://api.spotify.com/v1/tracks/1zWdoNRmxhBaAJiJI2SI7j,https://api.spotify.com/v1/audio-analysis/1zWdoNRmxhBaAJiJI2SI7j,176396,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
MEGGYFÁN,0.796,0.693,4,-8.047,0,0.259,0.0169,0.00135,0.193,0.584,87.943,audio_features,0Ro1NBqAymTPeQuHVNOekw,spotify:track:0Ro1NBqAymTPeQuHVNOekw,https://api.spotify.com/v1/tracks/0Ro1NBqAymTPeQuHVNOekw,https://api.spotify.com/v1/audio-analysis/0Ro1NBqAymTPeQuHVNOekw,146400,4
introvertált dal,0.652,0.815,1,-4.849,1,0.0606,0.126,0.0,0.109,0.823,151.046,audio_features,2EAvOY1uymm5ZAd0ZbnnPW,spotify:track:2EAvOY1uymm5ZAd0ZbnnPW,https://api.spotify.com/v1/tracks/2EAvOY1uymm5ZAd0ZbnnPW,https://api.spotify.com/v1/audio-analysis/2EAvOY1uymm5ZAd0ZbnnPW,169841,4
Like That,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
Afro Beat,0.858,0.436,8,-12.827,0,0.108,0.0481,0.353,0.0646,0.0988,125.002,audio_features,2KViM7OZzQU9mLWxJxHJWG,spotify:track:2KViM7OZzQU9mLWxJxHJWG,https://api.spotify.com/v1/tracks/2KViM7OZzQU9mLWxJxHJWG,https://api.spotify.com/v1/audio-analysis/2KViM7OZzQU9mLWxJxHJWG,192000,4
