name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hef Verið Verri,0.72,0.339,4,-10.368,1,0.407,0.0912,0.0,0.18,0.698,81.728,audio_features,17ebLDWPOsruloZYxgEqm4,spotify:track:17ebLDWPOsruloZYxgEqm4,https://api.spotify.com/v1/tracks/17ebLDWPOsruloZYxgEqm4,https://api.spotify.com/v1/audio-analysis/17ebLDWPOsruloZYxgEqm4,131017,4
Like That,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Sama um,0.705,0.807,5,-6.234,1,0.064,0.0578,0.000909,0.209,0.612,134.979,audio_features,4yUnGQmxjQFyxQHLf0GjRw,spotify:track:4yUnGQmxjQFyxQHLf0GjRw,https://api.spotify.com/v1/tracks/4yUnGQmxjQFyxQHLf0GjRw,https://api.spotify.com/v1/audio-analysis/4yUnGQmxjQFyxQHLf0GjRw,134027,4
Type Shit,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,28drn6tQo95MRvO0jQEo5C,spotify:track:28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,228267,4
We Don't Trust You,0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,audio_features,1pnDvUuAEd6z8bKEsbAjk1,spotify:track:1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/audio-analysis/1pnDvUuAEd6z8bKEsbAjk1,226213,4
Skína,0.686,0.688,6,-6.76,0,0.038,0.0184,0.0,0.34,0.865,123.027,audio_features,3M9CDeth4DHI7TWkdoMuDv,spotify:track:3M9CDeth4DHI7TWkdoMuDv,https://api.spotify.com/v1/tracks/3M9CDeth4DHI7TWkdoMuDv,https://api.spotify.com/v1/audio-analysis/3M9CDeth4DHI7TWkdoMuDv,179512,4
BOSSED UP,0.874,0.679,2,-6.499,1,0.192,0.161,0.0,0.0744,0.518,99.951,audio_features,2phujKdfkzsl9mpT1iGuB0,spotify:track:2phujKdfkzsl9mpT1iGuB0,https://api.spotify.com/v1/tracks/2phujKdfkzsl9mpT1iGuB0,https://api.spotify.com/v1/audio-analysis/2phujKdfkzsl9mpT1iGuB0,103861,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Hvert ertu að fara?,0.833,0.761,2,-6.471,1,0.197,0.0355,1.32e-05,0.122,0.294,133.967,audio_features,4xd8zI5KcGNtjt7WMNlmJJ,spotify:track:4xd8zI5KcGNtjt7WMNlmJJ,https://api.spotify.com/v1/tracks/4xd8zI5KcGNtjt7WMNlmJJ,https://api.spotify.com/v1/audio-analysis/4xd8zI5KcGNtjt7WMNlmJJ,157611,4
