name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
drunk text,0.614,0.493,0,-5.356,1,0.0314,0.0676,0.0,0.113,0.176,94.784,audio_features,6EIMUjQ7Q8Zr2VtIUik4He,spotify:track:6EIMUjQ7Q8Zr2VtIUik4He,https://api.spotify.com/v1/tracks/6EIMUjQ7Q8Zr2VtIUik4He,https://api.spotify.com/v1/audio-analysis/6EIMUjQ7Q8Zr2VtIUik4He,187263,3
penjaga hati,0.509,0.359,2,-8.993,1,0.0279,0.879,0.0289,0.19,0.329,155.799,audio_features,7F4tV8SiUy6itZTdAzdafO,spotify:track:7F4tV8SiUy6itZTdAzdafO,https://api.spotify.com/v1/tracks/7F4tV8SiUy6itZTdAzdafO,https://api.spotify.com/v1/audio-analysis/7F4tV8SiUy6itZTdAzdafO,260346,4
Tak Dianggap,0.614,0.438,2,-5.737,1,0.0433,0.802,0.0,0.213,0.302,126.0,audio_features,2lMQOAKPam2JVEfNsZtWDe,spotify:track:2lMQOAKPam2JVEfNsZtWDe,https://api.spotify.com/v1/tracks/2lMQOAKPam2JVEfNsZtWDe,https://api.spotify.com/v1/audio-analysis/2lMQOAKPam2JVEfNsZtWDe,179841,4
"Dia Masa Lalumu, Aku Masa Depanmu",0.48,0.418,7,-6.168,1,0.0313,0.609,1.6e-05,0.148,0.207,125.513,audio_features,2sD709AK9zRN6SKUmDhGEa,spotify:track:2sD709AK9zRN6SKUmDhGEa,https://api.spotify.com/v1/tracks/2sD709AK9zRN6SKUmDhGEa,https://api.spotify.com/v1/audio-analysis/2sD709AK9zRN6SKUmDhGEa,242000,4
Tak Segampang Itu,0.506,0.438,5,-7.069,1,0.0268,0.759,8.64e-06,0.109,0.178,129.538,audio_features,26cvTWJq2E1QqN4jyH2OTU,spotify:track:26cvTWJq2E1QqN4jyH2OTU,https://api.spotify.com/v1/tracks/26cvTWJq2E1QqN4jyH2OTU,https://api.spotify.com/v1/audio-analysis/26cvTWJq2E1QqN4jyH2OTU,231100,4
Pesan Terakhir,0.522,0.357,2,-8.579,1,0.0299,0.432,3.31e-06,0.094,0.14,120.049,audio_features,3FwQ3RYYEekzjEeL3jdpUZ,spotify:track:3FwQ3RYYEekzjEeL3jdpUZ,https://api.spotify.com/v1/tracks/3FwQ3RYYEekzjEeL3jdpUZ,https://api.spotify.com/v1/audio-analysis/3FwQ3RYYEekzjEeL3jdpUZ,261300,4
Tapi Tahukah Kamu?,0.5,0.467,1,-7.514,1,0.026,0.734,0.00031,0.104,0.287,143.974,audio_features,4SW9fIXaX6OxJhm9gspkDG,spotify:track:4SW9fIXaX6OxJhm9gspkDG,https://api.spotify.com/v1/tracks/4SW9fIXaX6OxJhm9gspkDG,https://api.spotify.com/v1/audio-analysis/4SW9fIXaX6OxJhm9gspkDG,251600,4
"One Of The Girls (with JENNIE, Lily Rose Depp)",0.531,0.652,8,-6.249,1,0.0325,0.0524,1.39e-06,0.162,0.179,87.521,audio_features,1VNWdmXSbaNrnWod10WIL0,spotify:track:1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/tracks/1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/audio-analysis/1VNWdmXSbaNrnWod10WIL0,244685,4
