name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Red and Yellow,0.465,0.39,2,-12.028,0,0.0396,0.807,0.0216,0.12,0.214,119.652,audio_features,31uCcHsU1IaUXHIfborGJ7,spotify:track:31uCcHsU1IaUXHIfborGJ7,https://api.spotify.com/v1/tracks/31uCcHsU1IaUXHIfborGJ7,https://api.spotify.com/v1/audio-analysis/31uCcHsU1IaUXHIfborGJ7,178408,4
מנגן ושר,0.551,0.633,5,-9.325,0,0.0402,0.391,0.0,0.0954,0.379,148.029,audio_features,2yPnlfwQ1AmhHauqQWDlWZ,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,https://api.spotify.com/v1/tracks/2yPnlfwQ1AmhHauqQWDlWZ,https://api.spotify.com/v1/audio-analysis/2yPnlfwQ1AmhHauqQWDlWZ,201081,4
Hurricane,0.577,0.571,4,-5.557,0,0.0413,0.409,0.0,0.115,0.529,86.992,audio_features,2Ozw7k5CLtM5W9SomrOyjw,spotify:track:2Ozw7k5CLtM5W9SomrOyjw,https://api.spotify.com/v1/tracks/2Ozw7k5CLtM5W9SomrOyjw,https://api.spotify.com/v1/audio-analysis/2Ozw7k5CLtM5W9SomrOyjw,178966,3
משהו אמיתי בעיניים,0.552,0.588,1,-8.669,0,0.0527,0.372,0.0,0.168,0.507,144.058,audio_features,74kYHwU43s49Y5AukKArWQ,spotify:track:74kYHwU43s49Y5AukKArWQ,https://api.spotify.com/v1/tracks/74kYHwU43s49Y5AukKArWQ,https://api.spotify.com/v1/audio-analysis/74kYHwU43s49Y5AukKArWQ,171280,4
פחד אלוהים,0.884,0.657,10,-5.933,0,0.0901,0.568,0.000277,0.0766,0.514,119.967,audio_features,1jCAwxwhHIrtWzGeF6WfJ7,spotify:track:1jCAwxwhHIrtWzGeF6WfJ7,https://api.spotify.com/v1/tracks/1jCAwxwhHIrtWzGeF6WfJ7,https://api.spotify.com/v1/audio-analysis/1jCAwxwhHIrtWzGeF6WfJ7,169000,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
רק שלך,0.614,0.47,7,-10.401,0,0.044,0.49,0.0,0.0856,0.291,124.13,audio_features,4zXfQYhcSboWEOAwIQST9N,spotify:track:4zXfQYhcSboWEOAwIQST9N,https://api.spotify.com/v1/tracks/4zXfQYhcSboWEOAwIQST9N,https://api.spotify.com/v1/audio-analysis/4zXfQYhcSboWEOAwIQST9N,234844,4
צוחקת ובוכה,0.661,0.429,4,-5.633,0,0.0324,0.83,0.0,0.15,0.278,125.92,audio_features,2fewVF6oOGKux69rHGbPMq,spotify:track:2fewVF6oOGKux69rHGbPMq,https://api.spotify.com/v1/tracks/2fewVF6oOGKux69rHGbPMq,https://api.spotify.com/v1/audio-analysis/2fewVF6oOGKux69rHGbPMq,236190,4
אהבה,0.462,0.427,0,-10.983,0,0.0627,0.618,0.0,0.105,0.733,126.799,audio_features,34aKXUhVdHGTzWOt85RjGq,spotify:track:34aKXUhVdHGTzWOt85RjGq,https://api.spotify.com/v1/tracks/34aKXUhVdHGTzWOt85RjGq,https://api.spotify.com/v1/audio-analysis/34aKXUhVdHGTzWOt85RjGq,205205,4
בואי נדבר,0.383,0.551,3,-7.724,0,0.117,0.359,0.0,0.135,0.397,149.738,audio_features,3IiaTxdKgDe9NvmosLM8bM,spotify:track:3IiaTxdKgDe9NvmosLM8bM,https://api.spotify.com/v1/tracks/3IiaTxdKgDe9NvmosLM8bM,https://api.spotify.com/v1/audio-analysis/3IiaTxdKgDe9NvmosLM8bM,172758,4
אין לי מקום אחר,0.446,0.403,8,-7.585,0,0.0278,0.715,0.0,0.506,0.372,180.069,audio_features,2CUwpTA4gOSouCTyRN1vnE,spotify:track:2CUwpTA4gOSouCTyRN1vnE,https://api.spotify.com/v1/tracks/2CUwpTA4gOSouCTyRN1vnE,https://api.spotify.com/v1/audio-analysis/2CUwpTA4gOSouCTyRN1vnE,205000,3
ואיך שלא,0.671,0.44,2,-8.386,1,0.0331,0.773,2.06e-06,0.342,0.308,109.858,audio_features,0SMDtYt5HghaTMFc61nCnP,spotify:track:0SMDtYt5HghaTMFc61nCnP,https://api.spotify.com/v1/tracks/0SMDtYt5HghaTMFc61nCnP,https://api.spotify.com/v1/audio-analysis/0SMDtYt5HghaTMFc61nCnP,204075,4
איפה אתה,0.326,0.458,4,-8.914,0,0.0462,0.848,0.0,0.107,0.121,171.815,audio_features,1dkljZlzg37FoGtUJ1EsxQ,spotify:track:1dkljZlzg37FoGtUJ1EsxQ,https://api.spotify.com/v1/tracks/1dkljZlzg37FoGtUJ1EsxQ,https://api.spotify.com/v1/audio-analysis/1dkljZlzg37FoGtUJ1EsxQ,218178,3
גן עדן של משוגעים,0.536,0.59,0,-8.768,0,0.0358,0.0822,0.0,0.234,0.678,159.943,audio_features,16HcSqHWoJn7Be4T2MOCZ4,spotify:track:16HcSqHWoJn7Be4T2MOCZ4,https://api.spotify.com/v1/tracks/16HcSqHWoJn7Be4T2MOCZ4,https://api.spotify.com/v1/audio-analysis/16HcSqHWoJn7Be4T2MOCZ4,162905,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
אקדח,0.504,0.579,4,-6.883,0,0.145,0.0937,0.0,0.26,0.211,159.541,audio_features,1O0VUtEP7oVZKAXOMl0QLY,spotify:track:1O0VUtEP7oVZKAXOMl0QLY,https://api.spotify.com/v1/tracks/1O0VUtEP7oVZKAXOMl0QLY,https://api.spotify.com/v1/audio-analysis/1O0VUtEP7oVZKAXOMl0QLY,261375,4
יהיה טוב,0.604,0.423,11,-11.237,0,0.202,0.725,0.000569,0.108,0.303,104.238,audio_features,6nSQvSGrFykSmDIOetK94r,spotify:track:6nSQvSGrFykSmDIOetK94r,https://api.spotify.com/v1/tracks/6nSQvSGrFykSmDIOetK94r,https://api.spotify.com/v1/audio-analysis/6nSQvSGrFykSmDIOetK94r,196549,4
ככה וככה,0.701,0.629,1,-9.208,0,0.05,0.326,3.87e-06,0.179,0.34,125.965,audio_features,3QCWA9RzAPb4Xw4BagADFq,spotify:track:3QCWA9RzAPb4Xw4BagADFq,https://api.spotify.com/v1/tracks/3QCWA9RzAPb4Xw4BagADFq,https://api.spotify.com/v1/audio-analysis/3QCWA9RzAPb4Xw4BagADFq,219048,4
עזבת ת'בית,0.725,0.633,10,-6.421,0,0.0465,0.436,3.96e-06,0.0931,0.571,140.069,audio_features,4wEFTT1fmFfsLY1K7Y40Cy,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,https://api.spotify.com/v1/tracks/4wEFTT1fmFfsLY1K7Y40Cy,https://api.spotify.com/v1/audio-analysis/4wEFTT1fmFfsLY1K7Y40Cy,228235,4
