name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
L'ULTIMA POESIA,0.437,0.623,6,-6.34,0,0.073,0.426,0.0,0.116,0.299,149.758,audio_features,0vjcqQVb6nhk1A4lvW6ytN,spotify:track:0vjcqQVb6nhk1A4lvW6ytN,https://api.spotify.com/v1/tracks/0vjcqQVb6nhk1A4lvW6ytN,https://api.spotify.com/v1/audio-analysis/0vjcqQVb6nhk1A4lvW6ytN,226955,4
100 MESSAGGI,0.664,0.564,0,-5.864,1,0.0424,0.345,0.0,0.13,0.542,79.951,audio_features,5bXgMzxuNymWhpwkgvYn4O,spotify:track:5bXgMzxuNymWhpwkgvYn4O,https://api.spotify.com/v1/tracks/5bXgMzxuNymWhpwkgvYn4O,https://api.spotify.com/v1/audio-analysis/5bXgMzxuNymWhpwkgvYn4O,244096,3
COME UN TUONO (feat. Guè),0.783,0.572,2,-4.572,1,0.095,0.66,0.0,0.151,0.839,140.059,audio_features,0lXVWzLwDnKB7Ro5p0AJPg,spotify:track:0lXVWzLwDnKB7Ro5p0AJPg,https://api.spotify.com/v1/tracks/0lXVWzLwDnKB7Ro5p0AJPg,https://api.spotify.com/v1/audio-analysis/0lXVWzLwDnKB7Ro5p0AJPg,175298,4
"I P’ ME, TU P’ TE",0.639,0.767,9,-5.988,0,0.215,0.115,0.0,0.0689,0.469,118.055,audio_features,3j1453KrdHjw7y4gnBj7nF,spotify:track:3j1453KrdHjw7y4gnBj7nF,https://api.spotify.com/v1/tracks/3j1453KrdHjw7y4gnBj7nF,https://api.spotify.com/v1/audio-analysis/3j1453KrdHjw7y4gnBj7nF,187881,4
TUTA GOLD,0.743,0.743,9,-6.917,0,0.0473,0.623,0.000728,0.165,0.759,123.031,audio_features,371l4ekF9cDC2D5WuuabU6,spotify:track:371l4ekF9cDC2D5WuuabU6,https://api.spotify.com/v1/tracks/371l4ekF9cDC2D5WuuabU6,https://api.spotify.com/v1/audio-analysis/371l4ekF9cDC2D5WuuabU6,178468,4
Eva (feat. Tedua),0.702,0.754,1,-5.297,0,0.216,0.264,0.0,0.142,0.375,91.121,audio_features,29nqe5lhK8JmNcVXum7UuA,spotify:track:29nqe5lhK8JmNcVXum7UuA,https://api.spotify.com/v1/tracks/29nqe5lhK8JmNcVXum7UuA,https://api.spotify.com/v1/audio-analysis/29nqe5lhK8JmNcVXum7UuA,160496,4
PILLOLE (feat. Sfera Ebbasta & Geolier),0.691,0.74,0,-4.122,0,0.173,0.196,0.0,0.101,0.154,94.976,audio_features,5wU2NUt1pSAeTIWfXnRRkQ,spotify:track:5wU2NUt1pSAeTIWfXnRRkQ,https://api.spotify.com/v1/tracks/5wU2NUt1pSAeTIWfXnRRkQ,https://api.spotify.com/v1/audio-analysis/5wU2NUt1pSAeTIWfXnRRkQ,147426,4
DOPO LE 4 (feat. Bresh & Tedua),0.68,0.766,2,-4.347,1,0.239,0.206,0.0,0.0265,0.216,92.419,audio_features,2mU3I4jfQp1K14JO2PmmQA,spotify:track:2mU3I4jfQp1K14JO2PmmQA,https://api.spotify.com/v1/tracks/2mU3I4jfQp1K14JO2PmmQA,https://api.spotify.com/v1/audio-analysis/2mU3I4jfQp1K14JO2PmmQA,182907,4
Sinceramente,0.73,0.803,3,-3.056,0,0.04,0.036,0.0,0.14,0.406,126.049,audio_features,60QN1JrgYM7jcfW8pdQFqT,spotify:track:60QN1JrgYM7jcfW8pdQFqT,https://api.spotify.com/v1/tracks/60QN1JrgYM7jcfW8pdQFqT,https://api.spotify.com/v1/audio-analysis/60QN1JrgYM7jcfW8pdQFqT,215714,4
La noia,0.68,0.871,2,-3.349,0,0.0851,0.131,4.85e-05,0.056,0.677,112.094,audio_features,49R1F3rIdSzuPk7AcHi6d1,spotify:track:49R1F3rIdSzuPk7AcHi6d1,https://api.spotify.com/v1/tracks/49R1F3rIdSzuPk7AcHi6d1,https://api.spotify.com/v1/audio-analysis/49R1F3rIdSzuPk7AcHi6d1,189125,4
