name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bling-Bang-Bang-Born,0.853,0.822,6,-6.836,0,0.246,0.0841,0.00985,0.166,0.746,157.013,audio_features,0kdqcbwei4MDWFEX5f33yG,spotify:track:0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/tracks/0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/audio-analysis/0kdqcbwei4MDWFEX5f33yG,168136,4
幾億光年,0.558,0.79,6,-4.372,1,0.0411,0.0138,0.0,0.224,0.543,95.607,audio_features,4dmruTsdHIOjfOIeaFitXK,spotify:track:4dmruTsdHIOjfOIeaFitXK,https://api.spotify.com/v1/tracks/4dmruTsdHIOjfOIeaFitXK,https://api.spotify.com/v1/audio-analysis/4dmruTsdHIOjfOIeaFitXK,276918,4
Michi Teyu Ku (Overflowing),0.565,0.591,9,-7.91,1,0.0336,0.473,0.0523,0.107,0.429,143.99,audio_features,4hsEFcCA7AL5hlKG4PRp2Z,spotify:track:4hsEFcCA7AL5hlKG4PRp2Z,https://api.spotify.com/v1/tracks/4hsEFcCA7AL5hlKG4PRp2Z,https://api.spotify.com/v1/audio-analysis/4hsEFcCA7AL5hlKG4PRp2Z,310997,4
晩餐歌,0.649,0.641,8,-4.665,1,0.0251,0.433,0.0,0.11,0.63,102.983,audio_features,2cxcqKwQtfKq7giphxjzOu,spotify:track:2cxcqKwQtfKq7giphxjzOu,https://api.spotify.com/v1/tracks/2cxcqKwQtfKq7giphxjzOu,https://api.spotify.com/v1/audio-analysis/2cxcqKwQtfKq7giphxjzOu,215853,4
タイムパラドックス,0.829,0.514,2,-5.333,1,0.0531,0.439,1.45e-06,0.231,0.757,82.05,audio_features,3jNwPOqdPvQIr5dRT0hzgY,spotify:track:3jNwPOqdPvQIr5dRT0hzgY,https://api.spotify.com/v1/tracks/3jNwPOqdPvQIr5dRT0hzgY,https://api.spotify.com/v1/audio-analysis/3jNwPOqdPvQIr5dRT0hzgY,226558,4
アイドル,0.457,0.941,10,-2.692,0,0.0917,0.105,1.38e-06,0.437,0.876,165.783,audio_features,1hAloWiinXLPQUJxrJReb1,spotify:track:1hAloWiinXLPQUJxrJReb1,https://api.spotify.com/v1/tracks/1hAloWiinXLPQUJxrJReb1,https://api.spotify.com/v1/audio-analysis/1hAloWiinXLPQUJxrJReb1,211733,4
ケセラセラ,0.756,0.578,6,-4.575,0,0.0327,0.0306,0.0,0.0534,0.677,115.004,audio_features,0teqQ0PYqVDyyXJuPOyMhu,spotify:track:0teqQ0PYqVDyyXJuPOyMhu,https://api.spotify.com/v1/tracks/0teqQ0PYqVDyyXJuPOyMhu,https://api.spotify.com/v1/audio-analysis/0teqQ0PYqVDyyXJuPOyMhu,272227,4
オレンジ,0.402,0.878,2,-4.367,1,0.0846,0.000242,0.0,0.173,0.358,100.267,audio_features,6M6ZNRplLNspFEn6Ab3mOv,spotify:track:6M6ZNRplLNspFEn6Ab3mOv,https://api.spotify.com/v1/tracks/6M6ZNRplLNspFEn6Ab3mOv,https://api.spotify.com/v1/audio-analysis/6M6ZNRplLNspFEn6Ab3mOv,235200,4
ダンスホール,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,audio_features,5LkmpgQYtwHtuvASgnLBe1,spotify:track:5LkmpgQYtwHtuvASgnLBe1,https://api.spotify.com/v1/tracks/5LkmpgQYtwHtuvASgnLBe1,https://api.spotify.com/v1/audio-analysis/5LkmpgQYtwHtuvASgnLBe1,203150,4
晴る,0.695,0.571,11,-6.249,0,0.111,0.032,3.58e-06,0.118,0.726,101.955,audio_features,5eY7692tmgHB9dbmq6wa2M,spotify:track:5eY7692tmgHB9dbmq6wa2M,https://api.spotify.com/v1/tracks/5eY7692tmgHB9dbmq6wa2M,https://api.spotify.com/v1/audio-analysis/5eY7692tmgHB9dbmq6wa2M,270705,4
鬼ノ宴,0.804,0.536,6,-7.003,1,0.0427,0.0141,6.91e-06,0.0376,0.978,130.017,audio_features,096KHkONhQm4MQNH35mU22,spotify:track:096KHkONhQm4MQNH35mU22,https://api.spotify.com/v1/tracks/096KHkONhQm4MQNH35mU22,https://api.spotify.com/v1/audio-analysis/096KHkONhQm4MQNH35mU22,175998,4
Kaiju no Hanauta,0.335,0.943,2,-3.176,1,0.067,0.00334,0.0,0.324,0.64,75.093,audio_features,3gQ19Wo6CbBpdHYmt2GVt0,spotify:track:3gQ19Wo6CbBpdHYmt2GVt0,https://api.spotify.com/v1/tracks/3gQ19Wo6CbBpdHYmt2GVt0,https://api.spotify.com/v1/audio-analysis/3gQ19Wo6CbBpdHYmt2GVt0,224805,4
Magic,0.671,0.758,7,-3.793,1,0.0474,0.0604,0.0,0.332,0.537,117.51,audio_features,170XOP1T4MvY9TLTgPw07D,spotify:track:170XOP1T4MvY9TLTgPw07D,https://api.spotify.com/v1/tracks/170XOP1T4MvY9TLTgPw07D,https://api.spotify.com/v1/audio-analysis/170XOP1T4MvY9TLTgPw07D,263107,4
唱,0.616,0.975,10,-0.425,0,0.208,0.172,1.62e-06,0.143,0.742,132.054,audio_features,7o0TPSw494RG2Q4iWmd1v6,spotify:track:7o0TPSw494RG2Q4iWmd1v6,https://api.spotify.com/v1/tracks/7o0TPSw494RG2Q4iWmd1v6,https://api.spotify.com/v1/audio-analysis/7o0TPSw494RG2Q4iWmd1v6,189773,4
Seven (feat. Latto) (Explicit Ver.),0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,audio_features,2HRgqmZQC0MC7GeNuDIXHN,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,183551,4
GOAT,0.665,0.903,9,-2.846,1,0.313,0.0299,2.01e-06,0.185,0.726,179.929,audio_features,18mkDTCwDfZyTJNYieHxhQ,spotify:track:18mkDTCwDfZyTJNYieHxhQ,https://api.spotify.com/v1/tracks/18mkDTCwDfZyTJNYieHxhQ,https://api.spotify.com/v1/audio-analysis/18mkDTCwDfZyTJNYieHxhQ,157200,4
春愁,0.719,0.436,10,-4.903,1,0.0401,0.0121,0.0,0.123,0.748,130.016,audio_features,0OeTb9sIQTNq313HQHv9TM,spotify:track:0OeTb9sIQTNq313HQHv9TM,https://api.spotify.com/v1/tracks/0OeTb9sIQTNq313HQHv9TM,https://api.spotify.com/v1/audio-analysis/0OeTb9sIQTNq313HQHv9TM,183800,4
Soranji,0.48,0.669,5,-5.168,1,0.0431,0.0693,0.0,0.149,0.378,155.89,audio_features,3YML5IHoqWbw9c9vJJvrvM,spotify:track:3YML5IHoqWbw9c9vJJvrvM,https://api.spotify.com/v1/tracks/3YML5IHoqWbw9c9vJJvrvM,https://api.spotify.com/v1/audio-analysis/3YML5IHoqWbw9c9vJJvrvM,343253,4
二度寝,0.655,0.888,2,-6.978,1,0.14,0.0478,0.0233,0.11,0.201,175.932,audio_features,38Ypb7FJIGVovqqQO2Yu5S,spotify:track:38Ypb7FJIGVovqqQO2Yu5S,https://api.spotify.com/v1/tracks/38Ypb7FJIGVovqqQO2Yu5S,https://api.spotify.com/v1/audio-analysis/38Ypb7FJIGVovqqQO2Yu5S,207187,4
ただ君に晴れ,0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,audio_features,3wJHCry960drNlAUGrJLmz,spotify:track:3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,198971,4
勇者,0.655,0.907,5,-3.868,1,0.0488,0.0351,1.37e-05,0.15,0.506,103.968,audio_features,0YTM7bCx451c6LQbkddy4Q,spotify:track:0YTM7bCx451c6LQbkddy4Q,https://api.spotify.com/v1/tracks/0YTM7bCx451c6LQbkddy4Q,https://api.spotify.com/v1/audio-analysis/0YTM7bCx451c6LQbkddy4Q,194267,4
青と夏,0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,audio_features,5BC6kr6etk2Y9J62AyI4i3,spotify:track:5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/tracks/5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/audio-analysis/5BC6kr6etk2Y9J62AyI4i3,270027,4
Perfect Night,0.697,0.82,5,-4.502,1,0.0308,0.1,0.0,0.0631,0.502,136.054,audio_features,74X2u8JMVooG2QbjRxXwR8,spotify:track:74X2u8JMVooG2QbjRxXwR8,https://api.spotify.com/v1/tracks/74X2u8JMVooG2QbjRxXwR8,https://api.spotify.com/v1/audio-analysis/74X2u8JMVooG2QbjRxXwR8,159080,4
SPECIALZ,0.566,0.85,6,-4.431,0,0.0599,0.0663,0.0,0.319,0.722,117.048,audio_features,0GWNtMohuYUEHVZ40tcnHF,spotify:track:0GWNtMohuYUEHVZ40tcnHF,https://api.spotify.com/v1/tracks/0GWNtMohuYUEHVZ40tcnHF,https://api.spotify.com/v1/audio-analysis/0GWNtMohuYUEHVZ40tcnHF,238987,4
ナハトムジーク,0.479,0.641,8,-5.31,1,0.0415,0.0896,0.0,0.0666,0.275,146.354,audio_features,7sditHCsoFw3nHnjFv1BHV,spotify:track:7sditHCsoFw3nHnjFv1BHV,https://api.spotify.com/v1/tracks/7sditHCsoFw3nHnjFv1BHV,https://api.spotify.com/v1/audio-analysis/7sditHCsoFw3nHnjFv1BHV,262984,4
高嶺の花子さん,0.54,0.923,9,-2.838,1,0.0623,0.066,0.0,0.124,0.343,137.977,audio_features,2jdbZGFp8KVTuk0YxDNL4l,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,294813,4
冬と春,0.47,0.768,3,-4.039,1,0.0403,0.0407,0.0,0.352,0.522,152.105,audio_features,6nIoYpfSvie3Ln46dyi8FC,spotify:track:6nIoYpfSvie3Ln46dyi8FC,https://api.spotify.com/v1/tracks/6nIoYpfSvie3Ln46dyi8FC,https://api.spotify.com/v1/audio-analysis/6nIoYpfSvie3Ln46dyi8FC,256787,4
ビリミリオン,0.364,0.628,10,-6.142,1,0.0319,0.238,0.0,0.0931,0.612,93.792,audio_features,7M0dIdZWN1FDcveRdoOzbZ,spotify:track:7M0dIdZWN1FDcveRdoOzbZ,https://api.spotify.com/v1/tracks/7M0dIdZWN1FDcveRdoOzbZ,https://api.spotify.com/v1/audio-analysis/7M0dIdZWN1FDcveRdoOzbZ,228760,3
水平線,0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,audio_features,3RvdkNMcSy71m0aT6UF9Uf,spotify:track:3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/tracks/3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/audio-analysis/3RvdkNMcSy71m0aT6UF9Uf,288013,4
美しい鰭,0.545,0.913,1,-3.565,1,0.0298,0.0107,0.00029,0.245,0.747,98.047,audio_features,1H3qOzheTPhE7aVvJOWfvA,spotify:track:1H3qOzheTPhE7aVvJOWfvA,https://api.spotify.com/v1/tracks/1H3qOzheTPhE7aVvJOWfvA,https://api.spotify.com/v1/audio-analysis/1H3qOzheTPhE7aVvJOWfvA,211920,4
花になって - Be a flower,0.569,0.953,10,-2.018,0,0.109,0.166,5.78e-06,0.071,0.477,96.047,audio_features,2EmkTBTh964LQen4Vz0svg,spotify:track:2EmkTBTh964LQen4Vz0svg,https://api.spotify.com/v1/tracks/2EmkTBTh964LQen4Vz0svg,https://api.spotify.com/v1/audio-analysis/2EmkTBTh964LQen4Vz0svg,199333,3
EASY,0.744,0.7,0,-5.154,1,0.0507,0.189,2.74e-06,0.114,0.602,165.004,audio_features,2O4Bb2WCkjlTPO827OnBMI,spotify:track:2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/tracks/2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/audio-analysis/2O4Bb2WCkjlTPO827OnBMI,164545,4
ロマンチシズム,0.598,0.878,10,-3.144,1,0.0634,0.0038,0.0,0.0468,0.901,125.529,audio_features,0JcI7OdALbpSFkyKoufRYs,spotify:track:0JcI7OdALbpSFkyKoufRYs,https://api.spotify.com/v1/tracks/0JcI7OdALbpSFkyKoufRYs,https://api.spotify.com/v1/audio-analysis/0JcI7OdALbpSFkyKoufRYs,213613,4
Hana,0.769,0.716,5,-8.203,0,0.0429,0.118,0.00659,0.158,0.66,123.031,audio_features,02tNuntKQsoou5T4O8meyh,spotify:track:02tNuntKQsoou5T4O8meyh,https://api.spotify.com/v1/tracks/02tNuntKQsoou5T4O8meyh,https://api.spotify.com/v1/audio-analysis/02tNuntKQsoou5T4O8meyh,246700,4
ONE SPARK,0.592,0.766,4,-4.928,0,0.0727,0.0151,0.0,0.753,0.413,169.005,audio_features,7cIn67LEvk16v6komC8znS,spotify:track:7cIn67LEvk16v6komC8znS,https://api.spotify.com/v1/tracks/7cIn67LEvk16v6komC8znS,https://api.spotify.com/v1/audio-analysis/7cIn67LEvk16v6komC8znS,183559,4
青のすみか,0.483,0.893,1,-4.842,1,0.205,0.0144,0.0,0.297,0.651,152.034,audio_features,3zbKiko8V3u2yn1RcT8xBZ,spotify:track:3zbKiko8V3u2yn1RcT8xBZ,https://api.spotify.com/v1/tracks/3zbKiko8V3u2yn1RcT8xBZ,https://api.spotify.com/v1/audio-analysis/3zbKiko8V3u2yn1RcT8xBZ,196640,4
Subtitle,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,audio_features,4zrKPIygugUDKGFEjVwpSB,spotify:track:4zrKPIygugUDKGFEjVwpSB,https://api.spotify.com/v1/tracks/4zrKPIygugUDKGFEjVwpSB,https://api.spotify.com/v1/audio-analysis/4zrKPIygugUDKGFEjVwpSB,305509,4
点描の唄,0.53,0.628,0,-4.641,1,0.0253,0.447,0.0,0.0963,0.297,76.055,audio_features,7Md0Rk4s9khBtVpSD03bWl,spotify:track:7Md0Rk4s9khBtVpSD03bWl,https://api.spotify.com/v1/tracks/7Md0Rk4s9khBtVpSD03bWl,https://api.spotify.com/v1/audio-analysis/7Md0Rk4s9khBtVpSD03bWl,307120,4
W / X / Y,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,audio_features,3cBghvTcQNDNkW98Y4eGaP,spotify:track:3cBghvTcQNDNkW98Y4eGaP,https://api.spotify.com/v1/tracks/3cBghvTcQNDNkW98Y4eGaP,https://api.spotify.com/v1/audio-analysis/3cBghvTcQNDNkW98Y4eGaP,278119,3
HAPPY BIRTHDAY,0.484,0.618,11,-4.073,1,0.0299,0.0714,0.0,0.0782,0.557,146.016,audio_features,1lyDrDkuV5HsD1vfmAxbPI,spotify:track:1lyDrDkuV5HsD1vfmAxbPI,https://api.spotify.com/v1/tracks/1lyDrDkuV5HsD1vfmAxbPI,https://api.spotify.com/v1/audio-analysis/1lyDrDkuV5HsD1vfmAxbPI,258600,4
I'm a mess,0.485,0.946,6,-3.721,0,0.11,0.0068,0.0,0.289,0.621,130.059,audio_features,5m21ZR5lO6U0tp9KENxuCc,spotify:track:5m21ZR5lO6U0tp9KENxuCc,https://api.spotify.com/v1/tracks/5m21ZR5lO6U0tp9KENxuCc,https://api.spotify.com/v1/audio-analysis/5m21ZR5lO6U0tp9KENxuCc,251333,4
Any angle,0.467,0.933,11,-4.133,0,0.249,0.15,0.0,0.121,0.854,175.846,audio_features,4KiY8v1cM2S8BS8ob2IGVg,spotify:track:4KiY8v1cM2S8BS8ob2IGVg,https://api.spotify.com/v1/tracks/4KiY8v1cM2S8BS8ob2IGVg,https://api.spotify.com/v1/audio-analysis/4KiY8v1cM2S8BS8ob2IGVg,127926,4
なんでもないよ、,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,audio_features,5W7Y92LB4jWvu9NeEQ0GZl,spotify:track:5W7Y92LB4jWvu9NeEQ0GZl,https://api.spotify.com/v1/tracks/5W7Y92LB4jWvu9NeEQ0GZl,https://api.spotify.com/v1/audio-analysis/5W7Y92LB4jWvu9NeEQ0GZl,219253,4
インフェルノ,0.533,0.918,4,-2.095,1,0.0616,0.00894,0.0,0.643,0.662,92.504,audio_features,2vOAHp8PBBFYqvQUWSoITY,spotify:track:2vOAHp8PBBFYqvQUWSoITY,https://api.spotify.com/v1/tracks/2vOAHp8PBBFYqvQUWSoITY,https://api.spotify.com/v1/audio-analysis/2vOAHp8PBBFYqvQUWSoITY,211600,4
more than words,0.566,0.796,6,-5.058,1,0.031,0.000193,0.00019,0.228,0.599,130.059,audio_features,2kXER8pkjxDVQnlagpVJJw,spotify:track:2kXER8pkjxDVQnlagpVJJw,https://api.spotify.com/v1/tracks/2kXER8pkjxDVQnlagpVJJw,https://api.spotify.com/v1/audio-analysis/2kXER8pkjxDVQnlagpVJJw,289173,4
FUJI,0.7,0.826,9,-4.74,1,0.157,0.0259,3.14e-05,0.146,0.375,98.055,audio_features,3ElzGGiQ4ehegbG7dLIka7,spotify:track:3ElzGGiQ4ehegbG7dLIka7,https://api.spotify.com/v1/tracks/3ElzGGiQ4ehegbG7dLIka7,https://api.spotify.com/v1/audio-analysis/3ElzGGiQ4ehegbG7dLIka7,162242,4
rendez-vous,0.562,0.596,2,-5.419,1,0.0292,0.127,0.0,0.214,0.295,146.039,audio_features,77mI5OSGIIPKxHXBkHOySy,spotify:track:77mI5OSGIIPKxHXBkHOySy,https://api.spotify.com/v1/tracks/77mI5OSGIIPKxHXBkHOySy,https://api.spotify.com/v1/audio-analysis/77mI5OSGIIPKxHXBkHOySy,238507,4
SOULSOUP,0.507,0.939,11,-4.299,0,0.0882,0.00104,0.0,0.279,0.618,144.046,audio_features,1JrxwbZ9u0VNwemdcJwZNi,spotify:track:1JrxwbZ9u0VNwemdcJwZNi,https://api.spotify.com/v1/tracks/1JrxwbZ9u0VNwemdcJwZNi,https://api.spotify.com/v1/audio-analysis/1JrxwbZ9u0VNwemdcJwZNi,314469,4
最高到達点,0.648,0.955,6,-3.918,1,0.0465,0.0745,0.0,0.085,0.823,132.0,audio_features,2LGHS7ojlzMd2xkLrB7eTr,spotify:track:2LGHS7ojlzMd2xkLrB7eTr,https://api.spotify.com/v1/tracks/2LGHS7ojlzMd2xkLrB7eTr,https://api.spotify.com/v1/audio-analysis/2LGHS7ojlzMd2xkLrB7eTr,226440,4
Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
