name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
i like the way you kiss me,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4
Beržas (feat. Monika Liu),0.802,0.432,6,-9.566,1,0.0297,0.392,0.484,0.0754,0.545,104.042,audio_features,5GY1DG6DwtqCv7au849YRu,spotify:track:5GY1DG6DwtqCv7au849YRu,https://api.spotify.com/v1/tracks/5GY1DG6DwtqCv7au849YRu,https://api.spotify.com/v1/audio-analysis/5GY1DG6DwtqCv7au849YRu,265424,4
Anglys,0.816,0.457,10,-8.442,0,0.053,0.0886,0.0999,0.286,0.478,130.022,audio_features,5KFfyKZiV1fLf2zMsqaJWC,spotify:track:5KFfyKZiV1fLf2zMsqaJWC,https://api.spotify.com/v1/tracks/5KFfyKZiV1fLf2zMsqaJWC,https://api.spotify.com/v1/audio-analysis/5KFfyKZiV1fLf2zMsqaJWC,200021,4
Luktelk,0.761,0.953,11,-5.937,0,0.0536,0.43,0.000397,0.0825,0.375,139.999,audio_features,4ZBe9Plh2adT70U4PDxve1,spotify:track:4ZBe9Plh2adT70U4PDxve1,https://api.spotify.com/v1/tracks/4ZBe9Plh2adT70U4PDxve1,https://api.spotify.com/v1/audio-analysis/4ZBe9Plh2adT70U4PDxve1,161143,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
Chemija,0.785,0.49,2,-13.191,1,0.0515,0.139,0.706,0.107,0.847,143.985,audio_features,0EsDrNiAvx4UQIsvnFtfAm,spotify:track:0EsDrNiAvx4UQIsvnFtfAm,https://api.spotify.com/v1/tracks/0EsDrNiAvx4UQIsvnFtfAm,https://api.spotify.com/v1/audio-analysis/0EsDrNiAvx4UQIsvnFtfAm,203776,4
Polish Escape,0.839,0.441,9,-9.32,0,0.0443,0.0647,0.176,0.0813,0.613,121.985,audio_features,7gm6N3YXhRy9k7kC6dpRqf,spotify:track:7gm6N3YXhRy9k7kC6dpRqf,https://api.spotify.com/v1/tracks/7gm6N3YXhRy9k7kC6dpRqf,https://api.spotify.com/v1/audio-analysis/7gm6N3YXhRy9k7kC6dpRqf,299016,4
Apkabink,0.836,0.613,9,-6.94,1,0.033,0.292,9.78e-06,0.134,0.905,109.939,audio_features,0hcY1gJD8yQWdgi2oGVZCG,spotify:track:0hcY1gJD8yQWdgi2oGVZCG,https://api.spotify.com/v1/tracks/0hcY1gJD8yQWdgi2oGVZCG,https://api.spotify.com/v1/audio-analysis/0hcY1gJD8yQWdgi2oGVZCG,134126,4
Vienas,0.687,0.688,11,-8.163,0,0.0584,0.0213,0.00867,0.0944,0.393,140.003,audio_features,7bi0RIjwiZ0r6HlW0Lb4eq,spotify:track:7bi0RIjwiZ0r6HlW0Lb4eq,https://api.spotify.com/v1/tracks/7bi0RIjwiZ0r6HlW0Lb4eq,https://api.spotify.com/v1/audio-analysis/7bi0RIjwiZ0r6HlW0Lb4eq,253714,4
Like That,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
Grubiai,0.646,0.317,9,-12.348,1,0.033,0.742,0.502,0.178,0.18,125.039,audio_features,53Xr7Bnm4PzmX1WPTZskoC,spotify:track:53Xr7Bnm4PzmX1WPTZskoC,https://api.spotify.com/v1/tracks/53Xr7Bnm4PzmX1WPTZskoC,https://api.spotify.com/v1/audio-analysis/53Xr7Bnm4PzmX1WPTZskoC,291845,4
Plastika,0.71,0.507,2,-10.785,1,0.0638,0.213,0.211,0.11,0.534,80.473,audio_features,0LKxFXuYZCcUFd8L5RTf0Q,spotify:track:0LKxFXuYZCcUFd8L5RTf0Q,https://api.spotify.com/v1/tracks/0LKxFXuYZCcUFd8L5RTf0Q,https://api.spotify.com/v1/audio-analysis/0LKxFXuYZCcUFd8L5RTf0Q,205549,4
Type Shit,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,28drn6tQo95MRvO0jQEo5C,spotify:track:28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,228267,4
Cinderella,0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052,audio_features,0hKtu53OlIFXVuYkZwcn3o,spotify:track:0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/audio-analysis/0hKtu53OlIFXVuYkZwcn3o,169840,4
Akmuo,0.741,0.558,9,-8.786,0,0.0491,0.18,0.32,0.108,0.575,85.029,audio_features,1oRnqEgjFPgezATqJvvbfa,spotify:track:1oRnqEgjFPgezATqJvvbfa,https://api.spotify.com/v1/tracks/1oRnqEgjFPgezATqJvvbfa,https://api.spotify.com/v1/audio-analysis/1oRnqEgjFPgezATqJvvbfa,169412,4
if u think i'm pretty,0.535,0.622,8,-5.771,1,0.0593,0.541,0.0209,0.402,0.457,143.533,audio_features,1ACA277B6f46DYCgZW8di3,spotify:track:1ACA277B6f46DYCgZW8di3,https://api.spotify.com/v1/tracks/1ACA277B6f46DYCgZW8di3,https://api.spotify.com/v1/audio-analysis/1ACA277B6f46DYCgZW8di3,128206,4
BIZNIS,0.862,0.429,3,-8.942,0,0.201,0.683,0.155,0.112,0.548,99.043,audio_features,0qVZ7rWYIjaabPOGOVipIR,spotify:track:0qVZ7rWYIjaabPOGOVipIR,https://api.spotify.com/v1/tracks/0qVZ7rWYIjaabPOGOVipIR,https://api.spotify.com/v1/audio-analysis/0qVZ7rWYIjaabPOGOVipIR,126061,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
Pasikeist Galiu,0.562,0.387,2,-9.174,1,0.041,0.102,0.125,0.11,0.317,113.006,audio_features,2vbXzm1aWIABdRHY0yeQIN,spotify:track:2vbXzm1aWIABdRHY0yeQIN,https://api.spotify.com/v1/tracks/2vbXzm1aWIABdRHY0yeQIN,https://api.spotify.com/v1/audio-analysis/2vbXzm1aWIABdRHY0yeQIN,278230,4
Lipalas,0.828,0.533,9,-9.134,1,0.1,0.393,0.0307,0.101,0.698,116.961,audio_features,4l9hif3IgXU8VQvfrzbybE,spotify:track:4l9hif3IgXU8VQvfrzbybE,https://api.spotify.com/v1/tracks/4l9hif3IgXU8VQvfrzbybE,https://api.spotify.com/v1/audio-analysis/4l9hif3IgXU8VQvfrzbybE,196923,4
We Don't Trust You,0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,audio_features,1pnDvUuAEd6z8bKEsbAjk1,spotify:track:1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/audio-analysis/1pnDvUuAEd6z8bKEsbAjk1,226213,4
Paskendę vyne,0.848,0.647,5,-8.062,0,0.21,0.0329,4.7e-05,0.113,0.822,86.015,audio_features,7hUjUlcZyl9N6zWzqyYbjs,spotify:track:7hUjUlcZyl9N6zWzqyYbjs,https://api.spotify.com/v1/tracks/7hUjUlcZyl9N6zWzqyYbjs,https://api.spotify.com/v1/audio-analysis/7hUjUlcZyl9N6zWzqyYbjs,134045,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
redrum,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,audio_features,52eIcoLUM25zbQupAZYoFh,spotify:track:52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/audio-analysis/52eIcoLUM25zbQupAZYoFh,270698,4
FE!N (feat. Playboi Carti),0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
Strangers,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,593knnQN4REEshx8th9zgK,spotify:track:593knnQN4REEshx8th9zgK,https://api.spotify.com/v1/tracks/593knnQN4REEshx8th9zgK,https://api.spotify.com/v1/audio-analysis/593knnQN4REEshx8th9zgK,172965,4
ONE CALL,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,audio_features,69phA1R4gmQsBFRQ3INW8C,spotify:track:69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/audio-analysis/69phA1R4gmQsBFRQ3INW8C,121399,4
Young Metro,0.716,0.664,6,-7.297,0,0.0571,0.11,0.0,0.11,0.209,112.054,audio_features,3OxL6MuctgZp1e0zxoAZhH,spotify:track:3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/tracks/3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/audio-analysis/3OxL6MuctgZp1e0zxoAZhH,205347,4
Prada,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4
Ice Attack,0.555,0.528,11,-6.368,0,0.356,0.0373,0.0,0.16,0.456,149.723,audio_features,70ToiXlzl8N1EgfC07ZcZE,spotify:track:70ToiXlzl8N1EgfC07ZcZE,https://api.spotify.com/v1/tracks/70ToiXlzl8N1EgfC07ZcZE,https://api.spotify.com/v1/audio-analysis/70ToiXlzl8N1EgfC07ZcZE,199253,4
Melodramos,0.744,0.637,0,-6.283,0,0.0942,0.344,1.31e-05,0.132,0.643,129.924,audio_features,0RJHLXajHNw2QrvnT709yQ,spotify:track:0RJHLXajHNw2QrvnT709yQ,https://api.spotify.com/v1/tracks/0RJHLXajHNw2QrvnT709yQ,https://api.spotify.com/v1/audio-analysis/0RJHLXajHNw2QrvnT709yQ,159000,4
Pasaka,0.811,0.443,7,-8.517,0,0.045,0.593,0.0,0.124,0.466,99.947,audio_features,7CA64sreJrxXDrbkIMi8ge,spotify:track:7CA64sreJrxXDrbkIMi8ge,https://api.spotify.com/v1/tracks/7CA64sreJrxXDrbkIMi8ge,https://api.spotify.com/v1/audio-analysis/7CA64sreJrxXDrbkIMi8ge,141900,4
Seven (feat. Latto) (Explicit Ver.),0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,audio_features,2HRgqmZQC0MC7GeNuDIXHN,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,183551,4
"One Of The Girls (with JENNIE, Lily Rose Depp)",0.531,0.652,8,-6.249,1,0.0325,0.0524,1.39e-06,0.162,0.179,87.521,audio_features,1VNWdmXSbaNrnWod10WIL0,spotify:track:1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/tracks/1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/audio-analysis/1VNWdmXSbaNrnWod10WIL0,244685,4
Standing Next to You,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,audio_features,2KslE17cAJNHTsI2MI0jb2,spotify:track:2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2,206020,4
Dėl Tavęs,0.805,0.601,6,-8.3,0,0.036,0.475,9.52e-05,0.139,0.389,106.022,audio_features,0NfRszAHHTci3p02z41Gra,spotify:track:0NfRszAHHTci3p02z41Gra,https://api.spotify.com/v1/tracks/0NfRszAHHTci3p02z41Gra,https://api.spotify.com/v1/audio-analysis/0NfRszAHHTci3p02z41Gra,174340,4
Houdini,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,4OMJGnvZfDvsePyCwRGO7X,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918,4
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),0.47,0.652,2,-9.629,1,0.0561,0.0831,4.08e-05,0.175,0.104,141.981,audio_features,3ZaEs1O8BG581qYPHpQ8d6,spotify:track:3ZaEs1O8BG581qYPHpQ8d6,https://api.spotify.com/v1/tracks/3ZaEs1O8BG581qYPHpQ8d6,https://api.spotify.com/v1/audio-analysis/3ZaEs1O8BG581qYPHpQ8d6,190286,4
Nebijok,0.641,0.659,10,-6.557,0,0.0279,0.466,4.66e-05,0.112,0.332,128.034,audio_features,5soMXpvUtpNnWNDTVG013C,spotify:track:5soMXpvUtpNnWNDTVG013C,https://api.spotify.com/v1/tracks/5soMXpvUtpNnWNDTVG013C,https://api.spotify.com/v1/audio-analysis/5soMXpvUtpNnWNDTVG013C,210000,4
Kino filmai,0.475,0.451,1,-14.551,0,0.222,0.0854,2.41e-06,0.475,0.112,150.003,audio_features,6Mi0D9p19r1I5QG3ocwhp4,spotify:track:6Mi0D9p19r1I5QG3ocwhp4,https://api.spotify.com/v1/tracks/6Mi0D9p19r1I5QG3ocwhp4,https://api.spotify.com/v1/audio-analysis/6Mi0D9p19r1I5QG3ocwhp4,156000,4
Training Season,0.815,0.582,5,-4.5,0,0.0532,0.0365,1.45e-06,0.138,0.671,123.03,audio_features,6Qb7YsAqH4wWFUMbGsCpap,spotify:track:6Qb7YsAqH4wWFUMbGsCpap,https://api.spotify.com/v1/tracks/6Qb7YsAqH4wWFUMbGsCpap,https://api.spotify.com/v1/audio-analysis/6Qb7YsAqH4wWFUMbGsCpap,209488,4
Šokam Lėtai,0.755,0.616,9,-8.481,0,0.0257,0.256,6.4e-05,0.251,0.509,100.014,audio_features,149qQkZez6yujONJspKw7U,spotify:track:149qQkZez6yujONJspKw7U,https://api.spotify.com/v1/tracks/149qQkZez6yujONJspKw7U,https://api.spotify.com/v1/audio-analysis/149qQkZez6yujONJspKw7U,156000,4
Unwritten,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,audio_features,3U5JVgI2x4rDyHGObzJfNf,spotify:track:3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/tracks/3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/audio-analysis/3U5JVgI2x4rDyHGObzJfNf,259333,4
Iš Lėto Leidžiasi Saulė,0.826,0.703,9,-4.956,0,0.0398,0.00102,0.0165,0.0756,0.824,128.001,audio_features,6CiKfOUAxxTxhdeXyxd6Lw,spotify:track:6CiKfOUAxxTxhdeXyxd6Lw,https://api.spotify.com/v1/tracks/6CiKfOUAxxTxhdeXyxd6Lw,https://api.spotify.com/v1/audio-analysis/6CiKfOUAxxTxhdeXyxd6Lw,161250,4
Claustrophobic,0.681,0.607,1,-5.815,1,0.259,0.0501,1.54e-05,0.449,0.225,73.562,audio_features,57ELn9TPDIhrpl0dasS465,spotify:track:57ELn9TPDIhrpl0dasS465,https://api.spotify.com/v1/tracks/57ELn9TPDIhrpl0dasS465,https://api.spotify.com/v1/audio-analysis/57ELn9TPDIhrpl0dasS465,222053,4
Overdrive (feat. Norma Jean Martine),0.611,0.757,6,-3.546,1,0.03,0.00257,0.0,0.058,0.279,126.963,audio_features,3bK1zVFBKIzYjmptmI4NsJ,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,https://api.spotify.com/v1/tracks/3bK1zVFBKIzYjmptmI4NsJ,https://api.spotify.com/v1/audio-analysis/3bK1zVFBKIzYjmptmI4NsJ,155905,4
Make You Mine,0.514,0.658,6,-6.454,0,0.0414,0.216,0.00586,0.206,0.466,123.171,audio_features,48vIfHaK7by6x0T6ucpODL,spotify:track:48vIfHaK7by6x0T6ucpODL,https://api.spotify.com/v1/tracks/48vIfHaK7by6x0T6ucpODL,https://api.spotify.com/v1/audio-analysis/48vIfHaK7by6x0T6ucpODL,220552,4
