name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
drunk text,0.614,0.493,0,-5.356,1,0.0314,0.0676,0.0,0.113,0.176,94.784,audio_features,6EIMUjQ7Q8Zr2VtIUik4He,spotify:track:6EIMUjQ7Q8Zr2VtIUik4He,https://api.spotify.com/v1/tracks/6EIMUjQ7Q8Zr2VtIUik4He,https://api.spotify.com/v1/audio-analysis/6EIMUjQ7Q8Zr2VtIUik4He,187263,3
penjaga hati,0.509,0.359,2,-8.993,1,0.0279,0.879,0.0289,0.19,0.329,155.799,audio_features,7F4tV8SiUy6itZTdAzdafO,spotify:track:7F4tV8SiUy6itZTdAzdafO,https://api.spotify.com/v1/tracks/7F4tV8SiUy6itZTdAzdafO,https://api.spotify.com/v1/audio-analysis/7F4tV8SiUy6itZTdAzdafO,260346,4
SAH,0.497,0.438,3,-9.634,1,0.187,0.704,0.0,0.118,0.386,90.219,audio_features,6PGx1glZXYFGVppfHlCQqc,spotify:track:6PGx1glZXYFGVppfHlCQqc,https://api.spotify.com/v1/tracks/6PGx1glZXYFGVppfHlCQqc,https://api.spotify.com/v1/audio-analysis/6PGx1glZXYFGVppfHlCQqc,228056,4
"One Of The Girls (with JENNIE, Lily Rose Depp)",0.531,0.652,8,-6.249,1,0.0325,0.0524,1.39e-06,0.162,0.179,87.521,audio_features,1VNWdmXSbaNrnWod10WIL0,spotify:track:1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/tracks/1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/audio-analysis/1VNWdmXSbaNrnWod10WIL0,244685,4
Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
My Love Mine All Mine,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,3vkCueOmm7xQDoJ17W1Pm3,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4
Hasrat (OST Imaginur),0.552,0.25,7,-12.183,1,0.0264,0.395,0.0,0.234,0.211,91.965,audio_features,3Q6DYlT649Y1tgyf5We71c,spotify:track:3Q6DYlT649Y1tgyf5We71c,https://api.spotify.com/v1/tracks/3Q6DYlT649Y1tgyf5We71c,https://api.spotify.com/v1/audio-analysis/3Q6DYlT649Y1tgyf5We71c,238000,3
