name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Madonna,0.732,0.873,0,-5.965,1,0.0321,0.0449,0.000803,0.347,0.662,128.029,audio_features,5LhI8m7n8xlQmNe3b7Rwis,spotify:track:5LhI8m7n8xlQmNe3b7Rwis,https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis,https://api.spotify.com/v1/audio-analysis/5LhI8m7n8xlQmNe3b7Rwis,187088,3
La Diabla,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,audio_features,0R6NfOiLzLj4O5VbYSJAjf,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264,3
LA PEOPLE II,0.717,0.674,1,-5.269,1,0.0722,0.523,5.43e-06,0.0978,0.705,132.037,audio_features,7EWtB4NKYY3NqBl31PVip9,spotify:track:7EWtB4NKYY3NqBl31PVip9,https://api.spotify.com/v1/tracks/7EWtB4NKYY3NqBl31PVip9,https://api.spotify.com/v1/audio-analysis/7EWtB4NKYY3NqBl31PVip9,141064,3
La Víctima,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,audio_features,5XVdHRf4CAJ2Jm0uMIy5qY,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY,156346,4
Corazón de Piedra,0.834,0.763,2,-5.475,1,0.0835,0.0354,2.33e-06,0.273,0.633,134.844,audio_features,0dEAiKNbHt4mrjjoiL0loc,spotify:track:0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc,193568,3
Gata Only,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000,4
Que Onda,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,audio_features,6uIIdjYTxxpWOyWuVXrKQO,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,https://api.spotify.com/v1/tracks/6uIIdjYTxxpWOyWuVXrKQO,https://api.spotify.com/v1/audio-analysis/6uIIdjYTxxpWOyWuVXrKQO,191467,3
Regalo De Dios,0.792,0.516,4,-6.097,0,0.027,0.197,0.0,0.0855,0.916,108.939,audio_features,51qYdMBxt9mFbtZBzq1Yfi,spotify:track:51qYdMBxt9mFbtZBzq1Yfi,https://api.spotify.com/v1/tracks/51qYdMBxt9mFbtZBzq1Yfi,https://api.spotify.com/v1/audio-analysis/51qYdMBxt9mFbtZBzq1Yfi,185933,4
ROCKSTAR,0.761,0.658,11,-7.188,1,0.0429,0.292,1.55e-06,0.137,0.895,125.036,audio_features,6YOfGIE6iFxC7G8OlGGvzW,spotify:track:6YOfGIE6iFxC7G8OlGGvzW,https://api.spotify.com/v1/tracks/6YOfGIE6iFxC7G8OlGGvzW,https://api.spotify.com/v1/audio-analysis/6YOfGIE6iFxC7G8OlGGvzW,168677,3
HARLEY QUINN,0.815,0.741,1,-6.04,1,0.0569,0.0277,0.0183,0.219,0.591,125.031,audio_features,6CvTEtGagmzQvkUzzyKR9k,spotify:track:6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/tracks/6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/audio-analysis/6CvTEtGagmzQvkUzzyKR9k,143327,4
