name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
POPO,0.671,0.718,2,-6.335,1,0.118,0.538,0.0,0.196,0.792,133.975,audio_features,7B0k8YTfKzj9BGVaLYXtub,spotify:track:7B0k8YTfKzj9BGVaLYXtub,https://api.spotify.com/v1/tracks/7B0k8YTfKzj9BGVaLYXtub,https://api.spotify.com/v1/audio-analysis/7B0k8YTfKzj9BGVaLYXtub,191667,4
BLUE LOVE,0.703,0.636,11,-8.157,0,0.0621,0.0753,0.0,0.105,0.319,125.919,audio_features,0YZ2ANy2Hhf21koqFpph5F,spotify:track:0YZ2ANy2Hhf21koqFpph5F,https://api.spotify.com/v1/tracks/0YZ2ANy2Hhf21koqFpph5F,https://api.spotify.com/v1/audio-analysis/0YZ2ANy2Hhf21koqFpph5F,187827,4
MARADONA,0.802,0.694,5,-6.613,0,0.0473,0.398,0.0,0.116,0.783,121.006,audio_features,1GxUG5xWcY2R9hQ3NcE5ya,spotify:track:1GxUG5xWcY2R9hQ3NcE5ya,https://api.spotify.com/v1/tracks/1GxUG5xWcY2R9hQ3NcE5ya,https://api.spotify.com/v1/audio-analysis/1GxUG5xWcY2R9hQ3NcE5ya,160000,4
NIKEY,0.732,0.652,1,-5.258,0,0.278,0.154,0.0,0.277,0.561,164.914,audio_features,3pkKb7bj2eVQjNaHOGzYSf,spotify:track:3pkKb7bj2eVQjNaHOGzYSf,https://api.spotify.com/v1/tracks/3pkKb7bj2eVQjNaHOGzYSf,https://api.spotify.com/v1/audio-analysis/3pkKb7bj2eVQjNaHOGzYSf,273455,4
DELLALI (feat. Hamza),0.598,0.564,6,-7.633,0,0.152,0.686,0.0,0.157,0.212,95.971,audio_features,2oMCQhVDHhzKEHk5rN6T1E,spotify:track:2oMCQhVDHhzKEHk5rN6T1E,https://api.spotify.com/v1/tracks/2oMCQhVDHhzKEHk5rN6T1E,https://api.spotify.com/v1/audio-analysis/2oMCQhVDHhzKEHk5rN6T1E,182053,4
Dawk Lya,0.624,0.405,0,-11.09,0,0.0345,0.403,0.0314,0.0931,0.411,149.927,audio_features,4JaAz4mEXpAdO8CKjCDjVx,spotify:track:4JaAz4mEXpAdO8CKjCDjVx,https://api.spotify.com/v1/tracks/4JaAz4mEXpAdO8CKjCDjVx,https://api.spotify.com/v1/audio-analysis/4JaAz4mEXpAdO8CKjCDjVx,148800,4
MAGHRIBI,0.626,0.513,0,-10.593,0,0.0941,0.453,0.00124,0.108,0.41,160.028,audio_features,01GVrWU4CZgZyHFMShuQb1,spotify:track:01GVrWU4CZgZyHFMShuQb1,https://api.spotify.com/v1/tracks/01GVrWU4CZgZyHFMShuQb1,https://api.spotify.com/v1/audio-analysis/01GVrWU4CZgZyHFMShuQb1,254800,4
3DABI,0.556,0.394,8,-12.518,0,0.264,0.196,0.0,0.525,0.466,136.955,audio_features,4knNlB73rkLODZU03Xjx7x,spotify:track:4knNlB73rkLODZU03Xjx7x,https://api.spotify.com/v1/tracks/4knNlB73rkLODZU03Xjx7x,https://api.spotify.com/v1/audio-analysis/4knNlB73rkLODZU03Xjx7x,202000,4
RAZONES (feat. Morad),0.683,0.643,7,-5.23,0,0.386,0.577,0.0,0.0712,0.591,199.503,audio_features,62OmBF30kfTb0XLbGZPeTS,spotify:track:62OmBF30kfTb0XLbGZPeTS,https://api.spotify.com/v1/tracks/62OmBF30kfTb0XLbGZPeTS,https://api.spotify.com/v1/audio-analysis/62OmBF30kfTb0XLbGZPeTS,184253,3
Like Crazy,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241,4
SEYA,0.798,0.681,10,-4.818,0,0.0722,0.219,0.00197,0.137,0.434,101.005,audio_features,1Ljb1Bo6Nc9SqdtKdkXHCN,spotify:track:1Ljb1Bo6Nc9SqdtKdkXHCN,https://api.spotify.com/v1/tracks/1Ljb1Bo6Nc9SqdtKdkXHCN,https://api.spotify.com/v1/audio-analysis/1Ljb1Bo6Nc9SqdtKdkXHCN,188485,4
3ADI JIDAN,0.715,0.575,9,-6.782,1,0.184,0.558,0.0,0.109,0.707,136.082,audio_features,2wNNXprT139bOoaBGmc12V,spotify:track:2wNNXprT139bOoaBGmc12V,https://api.spotify.com/v1/tracks/2wNNXprT139bOoaBGmc12V,https://api.spotify.com/v1/audio-analysis/2wNNXprT139bOoaBGmc12V,156000,4
Corazon,0.594,0.468,0,-9.812,1,0.209,0.11,0.0,0.142,0.377,177.922,audio_features,4p7xoPQH7WpffmIEm5artb,spotify:track:4p7xoPQH7WpffmIEm5artb,https://api.spotify.com/v1/tracks/4p7xoPQH7WpffmIEm5artb,https://api.spotify.com/v1/audio-analysis/4p7xoPQH7WpffmIEm5artb,188371,4
Mimti,0.449,0.606,8,-9.08,1,0.135,0.569,0.00238,0.15,0.667,137.02,audio_features,6MZ3lIqUARBkZEDERr6tlF,spotify:track:6MZ3lIqUARBkZEDERr6tlF,https://api.spotify.com/v1/tracks/6MZ3lIqUARBkZEDERr6tlF,https://api.spotify.com/v1/audio-analysis/6MZ3lIqUARBkZEDERr6tlF,198595,4
Like That,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
BGHAWNI,0.684,0.556,4,-6.688,0,0.0518,0.337,5.01e-06,0.178,0.373,86.041,audio_features,1wrvsIADrnhWKBCw27UxZ9,spotify:track:1wrvsIADrnhWKBCw27UxZ9,https://api.spotify.com/v1/tracks/1wrvsIADrnhWKBCw27UxZ9,https://api.spotify.com/v1/audio-analysis/1wrvsIADrnhWKBCw27UxZ9,197467,4
