name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Europapa,0.708,0.943,6,-4.904,0,0.158,0.168,0.000604,0.224,0.5,160.091,audio_features,0uHrMbMv3c78398pIANDqR,spotify:track:0uHrMbMv3c78398pIANDqR,https://api.spotify.com/v1/tracks/0uHrMbMv3c78398pIANDqR,https://api.spotify.com/v1/audio-analysis/0uHrMbMv3c78398pIANDqR,160219,4
Pretty Girls,0.646,0.612,10,-5.025,0,0.107,0.0389,0.0,0.128,0.728,187.772,audio_features,4skvJoTBLEYUfS3Z1xvGjs,spotify:track:4skvJoTBLEYUfS3Z1xvGjs,https://api.spotify.com/v1/tracks/4skvJoTBLEYUfS3Z1xvGjs,https://api.spotify.com/v1/audio-analysis/4skvJoTBLEYUfS3Z1xvGjs,145572,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,7AYmToZ5y67fBjq4RLFbuq,spotify:track:7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,235636,4
Stick Season,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4
Entourage,0.838,0.801,9,-5.506,0,0.0344,0.041,0.0,0.0611,0.58,127.984,audio_features,48kxfGK5XbO1eW8Cf4Vil7,spotify:track:48kxfGK5XbO1eW8Cf4Vil7,https://api.spotify.com/v1/tracks/48kxfGK5XbO1eW8Cf4Vil7,https://api.spotify.com/v1/audio-analysis/48kxfGK5XbO1eW8Cf4Vil7,129434,4
Alles Op Gevoel,0.621,0.747,0,-5.531,1,0.145,0.117,0.0,0.367,0.567,134.951,audio_features,2hCc09htDSAQobdmbYWryY,spotify:track:2hCc09htDSAQobdmbYWryY,https://api.spotify.com/v1/tracks/2hCc09htDSAQobdmbYWryY,https://api.spotify.com/v1/audio-analysis/2hCc09htDSAQobdmbYWryY,169444,3
Stumblin' In,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,audio_features,0h3Xy4V4apMraB5NuM8U7Z,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,https://api.spotify.com/v1/tracks/0h3Xy4V4apMraB5NuM8U7Z,https://api.spotify.com/v1/audio-analysis/0h3Xy4V4apMraB5NuM8U7Z,213364,4
Stukje Van Mij,0.788,0.245,1,-10.669,0,0.0359,0.718,0.0,0.294,0.437,120.045,audio_features,3k9LdosLHcyy4kE5J6pV2p,spotify:track:3k9LdosLHcyy4kE5J6pV2p,https://api.spotify.com/v1/tracks/3k9LdosLHcyy4kE5J6pV2p,https://api.spotify.com/v1/audio-analysis/3k9LdosLHcyy4kE5J6pV2p,205521,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Waterdicht,0.689,0.328,0,-10.667,1,0.0396,0.746,0.0,0.141,0.531,119.104,audio_features,1guLggb4orDoc7Dmh2cSuL,spotify:track:1guLggb4orDoc7Dmh2cSuL,https://api.spotify.com/v1/tracks/1guLggb4orDoc7Dmh2cSuL,https://api.spotify.com/v1/audio-analysis/1guLggb4orDoc7Dmh2cSuL,171933,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Satisfyer,0.792,0.639,8,-8.471,0,0.0583,0.0274,2.03e-05,0.115,0.75,124.109,audio_features,0Uy5VFlvsosR3YZbpsxYFh,spotify:track:0Uy5VFlvsosR3YZbpsxYFh,https://api.spotify.com/v1/tracks/0Uy5VFlvsosR3YZbpsxYFh,https://api.spotify.com/v1/audio-analysis/0Uy5VFlvsosR3YZbpsxYFh,121452,4
