name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Egwu,0.878,0.722,9,-6.917,1,0.0473,0.366,0.00311,0.141,0.57,117.967,audio_features,1IMRi5UVOV77PsAgdWDvzh,spotify:track:1IMRi5UVOV77PsAgdWDvzh,https://api.spotify.com/v1/tracks/1IMRi5UVOV77PsAgdWDvzh,https://api.spotify.com/v1/audio-analysis/1IMRi5UVOV77PsAgdWDvzh,136133,4
Different Pattern,0.825,0.66,9,-5.471,0,0.0669,0.665,4.1e-06,0.165,0.965,107.982,audio_features,7FB5261Iv3MRbSz13HYP5l,spotify:track:7FB5261Iv3MRbSz13HYP5l,https://api.spotify.com/v1/tracks/7FB5261Iv3MRbSz13HYP5l,https://api.spotify.com/v1/audio-analysis/7FB5261Iv3MRbSz13HYP5l,131187,4
Romeo Must Die (RMD),0.827,0.658,6,-6.364,0,0.0603,0.299,7e-05,0.144,0.551,104.972,audio_features,10TygH7MoyZQFRMPDE2N6Z,spotify:track:10TygH7MoyZQFRMPDE2N6Z,https://api.spotify.com/v1/tracks/10TygH7MoyZQFRMPDE2N6Z,https://api.spotify.com/v1/audio-analysis/10TygH7MoyZQFRMPDE2N6Z,160000,4
Commas,0.774,0.594,1,-6.838,1,0.0392,0.0238,0.000231,0.546,0.708,100.001,audio_features,3JozQbIWMHBTKIghXKehVy,spotify:track:3JozQbIWMHBTKIghXKehVy,https://api.spotify.com/v1/tracks/3JozQbIWMHBTKIghXKehVy,https://api.spotify.com/v1/audio-analysis/3JozQbIWMHBTKIghXKehVy,157200,4
WOTOWOTO SEASONING (feat. Black Sherif),0.592,0.536,1,-8.872,0,0.344,0.641,0.0101,0.136,0.294,136.087,audio_features,2LP8KwtvzUx1onvXKQCoKR,spotify:track:2LP8KwtvzUx1onvXKQCoKR,https://api.spotify.com/v1/tracks/2LP8KwtvzUx1onvXKQCoKR,https://api.spotify.com/v1/audio-analysis/2LP8KwtvzUx1onvXKQCoKR,171089,5
Tony Montana,0.925,0.707,1,-7.058,0,0.129,0.0649,1.32e-05,0.0987,0.642,110.034,audio_features,3mARtPEP8hi1LzMctEwVN4,spotify:track:3mARtPEP8hi1LzMctEwVN4,https://api.spotify.com/v1/tracks/3mARtPEP8hi1LzMctEwVN4,https://api.spotify.com/v1/audio-analysis/3mARtPEP8hi1LzMctEwVN4,208738,4
Cast,0.91,0.844,6,-4.224,1,0.0735,0.075,1.22e-05,0.0297,0.876,113.027,audio_features,6BWgLorAwF17ofyu8361HM,spotify:track:6BWgLorAwF17ofyu8361HM,https://api.spotify.com/v1/tracks/6BWgLorAwF17ofyu8361HM,https://api.spotify.com/v1/audio-analysis/6BWgLorAwF17ofyu8361HM,129123,4
Cana,0.576,0.768,8,-3.422,1,0.129,0.124,7.75e-05,0.078,0.878,133.012,audio_features,652eb66Jp9rLJ3erEwaCio,spotify:track:652eb66Jp9rLJ3erEwaCio,https://api.spotify.com/v1/tracks/652eb66Jp9rLJ3erEwaCio,https://api.spotify.com/v1/audio-analysis/652eb66Jp9rLJ3erEwaCio,136856,5
"Tshwala Bam (feat. S.N.E, EeQue)",0.857,0.564,4,-11.427,0,0.0566,0.0103,0.178,0.0187,0.505,112.014,audio_features,54seQV7MCcppBrznALCdlT,spotify:track:54seQV7MCcppBrznALCdlT,https://api.spotify.com/v1/tracks/54seQV7MCcppBrznALCdlT,https://api.spotify.com/v1/audio-analysis/54seQV7MCcppBrznALCdlT,390000,4
BLOOD ON THE DANCE FLOOR (feat. Bloody Civilian and Wale),0.689,0.835,1,-6.364,0,0.144,0.256,1.14e-05,0.22,0.769,111.966,audio_features,35MU2MEhQMw0NhXZztAP9m,spotify:track:35MU2MEhQMw0NhXZztAP9m,https://api.spotify.com/v1/tracks/35MU2MEhQMw0NhXZztAP9m,https://api.spotify.com/v1/audio-analysis/35MU2MEhQMw0NhXZztAP9m,233571,4
Sooner,0.819,0.707,5,-5.704,1,0.165,0.664,0.0151,0.12,0.433,102.077,audio_features,6PdAiqbKP3Zmr3YHRdgT1y,spotify:track:6PdAiqbKP3Zmr3YHRdgT1y,https://api.spotify.com/v1/tracks/6PdAiqbKP3Zmr3YHRdgT1y,https://api.spotify.com/v1/audio-analysis/6PdAiqbKP3Zmr3YHRdgT1y,153941,4
Big Big Things (feat. Kizz Daniel & Seyi Vibez),0.723,0.797,10,-7.296,1,0.129,0.0806,0.0,0.185,0.362,113.041,audio_features,7MaM9JVq1UXAGZQ4JFNXMg,spotify:track:7MaM9JVq1UXAGZQ4JFNXMg,https://api.spotify.com/v1/tracks/7MaM9JVq1UXAGZQ4JFNXMg,https://api.spotify.com/v1/audio-analysis/7MaM9JVq1UXAGZQ4JFNXMg,180531,4
Aquafina,0.821,0.619,6,-9.496,0,0.102,0.0286,4.93e-06,0.118,0.388,115.949,audio_features,59sAr7NvZDeH7oYrkiyZcQ,spotify:track:59sAr7NvZDeH7oYrkiyZcQ,https://api.spotify.com/v1/tracks/59sAr7NvZDeH7oYrkiyZcQ,https://api.spotify.com/v1/audio-analysis/59sAr7NvZDeH7oYrkiyZcQ,168103,4
IDK (feat. Zlatan),0.584,0.747,10,-4.726,0,0.258,0.105,0.0013,0.149,0.798,98.111,audio_features,5KV5UXd1uNZZafWTudrVft,spotify:track:5KV5UXd1uNZZafWTudrVft,https://api.spotify.com/v1/tracks/5KV5UXd1uNZZafWTudrVft,https://api.spotify.com/v1/audio-analysis/5KV5UXd1uNZZafWTudrVft,180638,4
100 MILLION (feat. Tiwa Savage),0.641,0.599,0,-7.57,1,0.124,0.142,0.0,0.324,0.425,144.884,audio_features,455xPBUG4AFMMGiVEv91fC,spotify:track:455xPBUG4AFMMGiVEv91fC,https://api.spotify.com/v1/tracks/455xPBUG4AFMMGiVEv91fC,https://api.spotify.com/v1/audio-analysis/455xPBUG4AFMMGiVEv91fC,136000,4
Bust Down,0.827,0.819,8,-6.324,1,0.0787,0.36,3.22e-06,0.155,0.882,110.008,audio_features,3eWpfsYgd5OL2QdwcVcF6Q,spotify:track:3eWpfsYgd5OL2QdwcVcF6Q,https://api.spotify.com/v1/tracks/3eWpfsYgd5OL2QdwcVcF6Q,https://api.spotify.com/v1/audio-analysis/3eWpfsYgd5OL2QdwcVcF6Q,196364,4
Lonely At The Top,0.778,0.801,6,-7.326,0,0.106,0.692,0.000155,0.0912,0.914,104.986,audio_features,5ZtK8XAVnoaGdBXZWCEVCY,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,https://api.spotify.com/v1/tracks/5ZtK8XAVnoaGdBXZWCEVCY,https://api.spotify.com/v1/audio-analysis/5ZtK8XAVnoaGdBXZWCEVCY,157714,4
Only Me,0.831,0.761,7,-6.574,1,0.137,0.269,0.00215,0.12,0.797,114.062,audio_features,0GeZh7YiQRqYwHS2IdEskL,spotify:track:0GeZh7YiQRqYwHS2IdEskL,https://api.spotify.com/v1/tracks/0GeZh7YiQRqYwHS2IdEskL,https://api.spotify.com/v1/audio-analysis/0GeZh7YiQRqYwHS2IdEskL,154985,4
Happiness (feat. Asake & Gunna),0.804,0.744,10,-5.39,0,0.0395,0.184,0.388,0.104,0.775,104.981,audio_features,6rOqLUy3kp0PVQQEtNPpbQ,spotify:track:6rOqLUy3kp0PVQQEtNPpbQ,https://api.spotify.com/v1/tracks/6rOqLUy3kp0PVQQEtNPpbQ,https://api.spotify.com/v1/audio-analysis/6rOqLUy3kp0PVQQEtNPpbQ,174744,4
Twe Twe,0.53,0.844,0,-8.214,0,0.211,0.462,0.0,0.123,0.834,134.977,audio_features,2khv04F26pnJr4989Maowi,spotify:track:2khv04F26pnJr4989Maowi,https://api.spotify.com/v1/tracks/2khv04F26pnJr4989Maowi,https://api.spotify.com/v1/audio-analysis/2khv04F26pnJr4989Maowi,143111,4
Holy Ghost,0.823,0.415,5,-10.845,0,0.0637,0.471,0.0316,0.128,0.488,113.976,audio_features,0zVk3uuV9UhxAt48F3OL12,spotify:track:0zVk3uuV9UhxAt48F3OL12,https://api.spotify.com/v1/tracks/0zVk3uuV9UhxAt48F3OL12,https://api.spotify.com/v1/audio-analysis/0zVk3uuV9UhxAt48F3OL12,186154,4
OHEMA (with Crayon & Bella Shmurda),0.91,0.382,5,-12.723,0,0.0796,0.237,6.87e-06,0.0744,0.378,111.991,audio_features,7CkDjDtJjCZA7AW7RBvrvC,spotify:track:7CkDjDtJjCZA7AW7RBvrvC,https://api.spotify.com/v1/tracks/7CkDjDtJjCZA7AW7RBvrvC,https://api.spotify.com/v1/audio-analysis/7CkDjDtJjCZA7AW7RBvrvC,205714,4
American Love,0.415,0.786,0,-5.604,0,0.172,0.379,0.0,0.153,0.458,192.408,audio_features,5c1rWQAa8GX8LgCC9h3d1N,spotify:track:5c1rWQAa8GX8LgCC9h3d1N,https://api.spotify.com/v1/tracks/5c1rWQAa8GX8LgCC9h3d1N,https://api.spotify.com/v1/audio-analysis/5c1rWQAa8GX8LgCC9h3d1N,189016,4
Everything,0.751,0.593,2,-9.055,1,0.0525,0.724,0.0266,0.19,0.833,97.987,audio_features,4zqRu31aWCiHeYMw9GptOO,spotify:track:4zqRu31aWCiHeYMw9GptOO,https://api.spotify.com/v1/tracks/4zqRu31aWCiHeYMw9GptOO,https://api.spotify.com/v1/audio-analysis/4zqRu31aWCiHeYMw9GptOO,166583,4
DND,0.788,0.819,5,-5.795,1,0.0327,0.0127,0.0,0.225,0.2,107.003,audio_features,4E8EciYYzTKF4REO51XQiS,spotify:track:4E8EciYYzTKF4REO51XQiS,https://api.spotify.com/v1/tracks/4E8EciYYzTKF4REO51XQiS,https://api.spotify.com/v1/audio-analysis/4E8EciYYzTKF4REO51XQiS,166000,4
Loner,0.659,0.701,1,-6.9,1,0.247,0.467,0.000776,0.129,0.611,100.16,audio_features,4VG9WzSYRAsHIVgkZXRX1C,spotify:track:4VG9WzSYRAsHIVgkZXRX1C,https://api.spotify.com/v1/tracks/4VG9WzSYRAsHIVgkZXRX1C,https://api.spotify.com/v1/audio-analysis/4VG9WzSYRAsHIVgkZXRX1C,158448,4
Showa,0.772,0.562,5,-7.431,0,0.215,0.776,7.24e-05,0.1,0.885,96.234,audio_features,4WYbYaibpIWj1FLbMUH2Yb,spotify:track:4WYbYaibpIWj1FLbMUH2Yb,https://api.spotify.com/v1/tracks/4WYbYaibpIWj1FLbMUH2Yb,https://api.spotify.com/v1/audio-analysis/4WYbYaibpIWj1FLbMUH2Yb,175637,4
Ngozi,0.903,0.428,6,-14.557,1,0.247,0.0335,6.23e-06,0.0623,0.503,115.029,audio_features,5mhM7bfzv52bzfCzlq8vH1,spotify:track:5mhM7bfzv52bzfCzlq8vH1,https://api.spotify.com/v1/tracks/5mhM7bfzv52bzfCzlq8vH1,https://api.spotify.com/v1/audio-analysis/5mhM7bfzv52bzfCzlq8vH1,217566,4
City Boys,0.808,0.634,2,-6.764,0,0.172,0.0851,0.0,0.127,0.569,100.03,audio_features,4RoKNqyZ9622tcAeNPNv5k,spotify:track:4RoKNqyZ9622tcAeNPNv5k,https://api.spotify.com/v1/tracks/4RoKNqyZ9622tcAeNPNv5k,https://api.spotify.com/v1/audio-analysis/4RoKNqyZ9622tcAeNPNv5k,153347,4
