name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
SOLDAT - RMX,0.805,0.62,1,-7.66,0,0.112,0.0463,0.0,0.262,0.871,144.942,audio_features,7MZQoikPpcwneYkKhdRvoe,spotify:track:7MZQoikPpcwneYkKhdRvoe,https://api.spotify.com/v1/tracks/7MZQoikPpcwneYkKhdRvoe,https://api.spotify.com/v1/audio-analysis/7MZQoikPpcwneYkKhdRvoe,139034,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
Bærum Bitches (Mannschaft),0.655,0.602,11,-7.736,0,0.415,0.0691,0.0,0.34,0.541,146.981,audio_features,7BPcWZDSRLdMbOybXlspcC,spotify:track:7BPcWZDSRLdMbOybXlspcC,https://api.spotify.com/v1/tracks/7BPcWZDSRLdMbOybXlspcC,https://api.spotify.com/v1/audio-analysis/7BPcWZDSRLdMbOybXlspcC,146939,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
Working,0.797,0.606,7,-7.718,1,0.173,0.0576,3.7e-06,0.154,0.685,95.023,audio_features,7LcOEDTZbvJIszhcopIPio,spotify:track:7LcOEDTZbvJIszhcopIPio,https://api.spotify.com/v1/tracks/7LcOEDTZbvJIszhcopIPio,https://api.spotify.com/v1/audio-analysis/7LcOEDTZbvJIszhcopIPio,158500,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Austin,0.75,0.671,0,-6.753,1,0.0532,0.468,3.75e-06,0.108,0.738,114.902,audio_features,6b81dy3WjbozXK6b7C1gu5,spotify:track:6b81dy3WjbozXK6b7C1gu5,https://api.spotify.com/v1/tracks/6b81dy3WjbozXK6b7C1gu5,https://api.spotify.com/v1/audio-analysis/6b81dy3WjbozXK6b7C1gu5,171783,4
TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,7AYmToZ5y67fBjq4RLFbuq,spotify:track:7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,235636,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Whatever,0.576,0.776,3,-5.678,1,0.066,0.114,0.0,0.333,0.596,107.943,audio_features,0LMwmV37RCmBO2so0szAFs,spotify:track:0LMwmV37RCmBO2so0szAFs,https://api.spotify.com/v1/tracks/0LMwmV37RCmBO2so0szAFs,https://api.spotify.com/v1/audio-analysis/0LMwmV37RCmBO2so0szAFs,178273,4
Before You Leave Me,0.702,0.84,4,-5.382,1,0.0657,0.151,0.0,0.081,0.639,120.035,audio_features,7qoxdajngC0j9VXrcnephA,spotify:track:7qoxdajngC0j9VXrcnephA,https://api.spotify.com/v1/tracks/7qoxdajngC0j9VXrcnephA,https://api.spotify.com/v1/audio-analysis/7qoxdajngC0j9VXrcnephA,176178,4
Badebussen (feat. Kjartan Lauritzen),0.752,0.786,0,-8.931,1,0.0772,0.0772,0.000294,0.12,0.651,135.036,audio_features,3LKrHeYXOEKNQQVl9auofC,spotify:track:3LKrHeYXOEKNQQVl9auofC,https://api.spotify.com/v1/tracks/3LKrHeYXOEKNQQVl9auofC,https://api.spotify.com/v1/audio-analysis/3LKrHeYXOEKNQQVl9auofC,107556,4
Amok,0.703,0.873,1,-5.068,1,0.261,0.00912,0.0,0.347,0.424,164.945,audio_features,0k3MPCBFxebrct6NxH3kCY,spotify:track:0k3MPCBFxebrct6NxH3kCY,https://api.spotify.com/v1/tracks/0k3MPCBFxebrct6NxH3kCY,https://api.spotify.com/v1/audio-analysis/0k3MPCBFxebrct6NxH3kCY,125879,4
Slow It Down,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,audio_features,6WO7IDGLakjO38lsvI2gHB,spotify:track:6WO7IDGLakjO38lsvI2gHB,https://api.spotify.com/v1/tracks/6WO7IDGLakjO38lsvI2gHB,https://api.spotify.com/v1/audio-analysis/6WO7IDGLakjO38lsvI2gHB,161831,4
VENNELØS,0.803,0.65,11,-5.605,1,0.228,0.272,0.0,0.216,0.6,85.051,audio_features,7xB3Tq8HPCM6rpJtPKCA95,spotify:track:7xB3Tq8HPCM6rpJtPKCA95,https://api.spotify.com/v1/tracks/7xB3Tq8HPCM6rpJtPKCA95,https://api.spotify.com/v1/audio-analysis/7xB3Tq8HPCM6rpJtPKCA95,114867,4
Scared To Start,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,audio_features,3Pbp7cUCx4d3OAkZSCoNvn,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn,159636,4
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
Mujaffa,0.884,0.663,9,-7.298,1,0.122,0.00244,0.0143,0.383,0.786,125.103,audio_features,29YzMPSpulZJOWMeTdtCAm,spotify:track:29YzMPSpulZJOWMeTdtCAm,https://api.spotify.com/v1/tracks/29YzMPSpulZJOWMeTdtCAm,https://api.spotify.com/v1/audio-analysis/29YzMPSpulZJOWMeTdtCAm,112545,4
Like That,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
når du slår ut håret blir jeg slått ut,0.629,0.826,11,-3.944,0,0.154,0.0726,0.0,0.184,0.434,73.356,audio_features,3Gd4Mqy5NK1kfEOQilVGCw,spotify:track:3Gd4Mqy5NK1kfEOQilVGCw,https://api.spotify.com/v1/tracks/3Gd4Mqy5NK1kfEOQilVGCw,https://api.spotify.com/v1/audio-analysis/3Gd4Mqy5NK1kfEOQilVGCw,117867,4
Jeg vil ha (Parlamentet),0.679,0.813,11,-7.528,0,0.115,0.0107,0.000699,0.413,0.323,129.985,audio_features,64wEOlCnjWxwRevRrXl3ot,spotify:track:64wEOlCnjWxwRevRrXl3ot,https://api.spotify.com/v1/tracks/64wEOlCnjWxwRevRrXl3ot,https://api.spotify.com/v1/audio-analysis/64wEOlCnjWxwRevRrXl3ot,183615,4
Stick Season,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4
