name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Ishq - From ""Lost;Found""",0.383,0.547,4,-8.862,0,0.0275,0.423,0.0466,0.147,0.236,95.068,audio_features,7hDoxkN20lLb06zifzYnD2,spotify:track:7hDoxkN20lLb06zifzYnD2,https://api.spotify.com/v1/tracks/7hDoxkN20lLb06zifzYnD2,https://api.spotify.com/v1/audio-analysis/7hDoxkN20lLb06zifzYnD2,228640,4
Sadqay,0.747,0.535,4,-8.151,0,0.0454,0.119,0.611,0.111,0.479,101.055,audio_features,2lX53kXvYnvpV8Vqfe4S7s,spotify:track:2lX53kXvYnvpV8Vqfe4S7s,https://api.spotify.com/v1/tracks/2lX53kXvYnvpV8Vqfe4S7s,https://api.spotify.com/v1/audio-analysis/2lX53kXvYnvpV8Vqfe4S7s,154455,4
Tajdar-E-Haram - Coke Studio Season 8,0.436,0.554,2,-6.635,1,0.0342,0.236,0.0,0.116,0.396,100.068,audio_features,02V7b4LNyNXke8WUFnui7G,spotify:track:02V7b4LNyNXke8WUFnui7G,https://api.spotify.com/v1/tracks/02V7b4LNyNXke8WUFnui7G,https://api.spotify.com/v1/audio-analysis/02V7b4LNyNXke8WUFnui7G,616509,4
Husn,0.527,0.376,5,-9.974,1,0.0298,0.682,0.0,0.142,0.24,151.928,audio_features,0TL0LFcwIBF5eX7arDIKxY,spotify:track:0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/tracks/0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/audio-analysis/0TL0LFcwIBF5eX7arDIKxY,217895,4
Pehle Bhi Main,0.413,0.406,10,-10.23,0,0.0353,0.768,2.22e-06,0.107,0.281,76.944,audio_features,7yDHHVKLbvDmVw1XXhDDIO,spotify:track:7yDHHVKLbvDmVw1XXhDDIO,https://api.spotify.com/v1/tracks/7yDHHVKLbvDmVw1XXhDDIO,https://api.spotify.com/v1/audio-analysis/7yDHHVKLbvDmVw1XXhDDIO,250158,4
Wishes,0.684,0.531,9,-7.037,0,0.0523,0.669,0.013,0.135,0.613,100.014,audio_features,5rpCUsEfBLIumvrxrahnKF,spotify:track:5rpCUsEfBLIumvrxrahnKF,https://api.spotify.com/v1/tracks/5rpCUsEfBLIumvrxrahnKF,https://api.spotify.com/v1/audio-analysis/5rpCUsEfBLIumvrxrahnKF,218400,4
Ve Haaniyaan,0.786,0.54,2,-5.622,1,0.0264,0.824,4.31e-05,0.123,0.82,108.032,audio_features,2C6CJGFLbisteRuY6Plb7b,spotify:track:2C6CJGFLbisteRuY6Plb7b,https://api.spotify.com/v1/tracks/2C6CJGFLbisteRuY6Plb7b,https://api.spotify.com/v1/audio-analysis/2C6CJGFLbisteRuY6Plb7b,240000,4
King Shit,0.794,0.566,11,-8.35,0,0.0602,0.301,0.000168,0.151,0.68,85.953,audio_features,1BpvuKIG7jK5EiTp2tv5z8,spotify:track:1BpvuKIG7jK5EiTp2tv5z8,https://api.spotify.com/v1/tracks/1BpvuKIG7jK5EiTp2tv5z8,https://api.spotify.com/v1/audio-analysis/1BpvuKIG7jK5EiTp2tv5z8,226933,4
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",0.763,0.587,8,-8.299,0,0.0381,0.358,6.03e-06,0.13,0.794,106.977,audio_features,0M0ANKNzmM4Odd7FNKghzW,spotify:track:0M0ANKNzmM4Odd7FNKghzW,https://api.spotify.com/v1/tracks/0M0ANKNzmM4Odd7FNKghzW,https://api.spotify.com/v1/audio-analysis/0M0ANKNzmM4Odd7FNKghzW,171147,4
Tu hai kahan,0.708,0.356,1,-9.738,1,0.075,0.437,6.54e-05,0.112,0.569,83.679,audio_features,3zSSCPpLZ5Oc8nelhhGjKz,spotify:track:3zSSCPpLZ5Oc8nelhhGjKz,https://api.spotify.com/v1/tracks/3zSSCPpLZ5Oc8nelhhGjKz,https://api.spotify.com/v1/audio-analysis/3zSSCPpLZ5Oc8nelhhGjKz,263185,4
Koi Si,0.717,0.636,5,-7.585,0,0.0577,0.813,6.13e-05,0.185,0.578,124.836,audio_features,26ku8sJ1rV2gQAEuNs38X6,spotify:track:26ku8sJ1rV2gQAEuNs38X6,https://api.spotify.com/v1/tracks/26ku8sJ1rV2gQAEuNs38X6,https://api.spotify.com/v1/audio-analysis/26ku8sJ1rV2gQAEuNs38X6,203520,4
Rahmatun Lil'Alameen,0.474,0.551,7,-4.663,0,0.0313,0.399,0.0,0.09,0.424,91.951,audio_features,4Ifu8HPmQGUnJwwaXcG2Mj,spotify:track:4Ifu8HPmQGUnJwwaXcG2Mj,https://api.spotify.com/v1/tracks/4Ifu8HPmQGUnJwwaXcG2Mj,https://api.spotify.com/v1/audio-analysis/4Ifu8HPmQGUnJwwaXcG2Mj,230720,4
You and Me,0.695,0.786,8,-6.223,0,0.037,0.109,0.0122,0.186,0.408,102.022,audio_features,4thOONDx78zsY8sHGfU1M2,spotify:track:4thOONDx78zsY8sHGfU1M2,https://api.spotify.com/v1/tracks/4thOONDx78zsY8sHGfU1M2,https://api.spotify.com/v1/audio-analysis/4thOONDx78zsY8sHGfU1M2,172067,4
One Love,0.848,0.512,7,-7.757,1,0.118,0.284,0.00645,0.101,0.881,144.926,audio_features,5ZLkihi6DVsHwDL3B8ym1t,spotify:track:5ZLkihi6DVsHwDL3B8ym1t,https://api.spotify.com/v1/tracks/5ZLkihi6DVsHwDL3B8ym1t,https://api.spotify.com/v1/audio-analysis/5ZLkihi6DVsHwDL3B8ym1t,159222,4
