name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Ya Ya,0.549,0.78,1,-6.761,1,0.354,0.196,0.0,0.12,0.446,195.679,audio_features,3F5xUtUiSC6W1CDIwC3jnc,spotify:track:3F5xUtUiSC6W1CDIwC3jnc,https://api.spotify.com/v1/tracks/3F5xUtUiSC6W1CDIwC3jnc,https://api.spotify.com/v1/audio-analysis/3F5xUtUiSC6W1CDIwC3jnc,160384,4
LUNA,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
PERRO NEGRO,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4
Yo Te Llamo,0.614,0.646,5,-7.086,1,0.36,0.127,0.0,0.107,0.789,199.932,audio_features,4lFnfbRhGSpTm17XKGcXs6,spotify:track:4lFnfbRhGSpTm17XKGcXs6,https://api.spotify.com/v1/tracks/4lFnfbRhGSpTm17XKGcXs6,https://api.spotify.com/v1/audio-analysis/4lFnfbRhGSpTm17XKGcXs6,153900,4
La Diabla,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,audio_features,0R6NfOiLzLj4O5VbYSJAjf,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264,3
LA FALDA,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,audio_features,7iUtQNMRB8ZkKC4AmEuCJC,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,174230,4
"VVS Switch (feat. Hades66, Luar La L & CDobleta) - Remix",0.544,0.871,0,-4.27,1,0.349,0.0494,0.0,0.346,0.638,79.997,audio_features,7kSL8RqBe9ySL8tjvSoII0,spotify:track:7kSL8RqBe9ySL8tjvSoII0,https://api.spotify.com/v1/tracks/7kSL8RqBe9ySL8tjvSoII0,https://api.spotify.com/v1/audio-analysis/7kSL8RqBe9ySL8tjvSoII0,555072,4
QLONA,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK,172798,4
Besitos,0.558,0.673,2,-4.072,1,0.162,0.494,0.0,0.179,0.332,130.133,audio_features,7yS5ru5Zte13ujlQZqVbtC,spotify:track:7yS5ru5Zte13ujlQZqVbtC,https://api.spotify.com/v1/tracks/7yS5ru5Zte13ujlQZqVbtC,https://api.spotify.com/v1/audio-analysis/7yS5ru5Zte13ujlQZqVbtC,301277,5
Tu Chacal,0.66,0.679,8,-6.01,0,0.363,0.336,1.98e-05,0.0684,0.838,120.662,audio_features,5IWsYLhoYS1kTaMh2bVnhz,spotify:track:5IWsYLhoYS1kTaMh2bVnhz,https://api.spotify.com/v1/tracks/5IWsYLhoYS1kTaMh2bVnhz,https://api.spotify.com/v1/audio-analysis/5IWsYLhoYS1kTaMh2bVnhz,171812,5
Tu Buay,0.628,0.696,9,-5.955,0,0.402,0.189,0.0,0.134,0.559,118.667,audio_features,3Nqc7BFu9MmNmFRpDTC6vJ,spotify:track:3Nqc7BFu9MmNmFRpDTC6vJ,https://api.spotify.com/v1/tracks/3Nqc7BFu9MmNmFRpDTC6vJ,https://api.spotify.com/v1/audio-analysis/3Nqc7BFu9MmNmFRpDTC6vJ,138654,5
AMARGURA,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,audio_features,505v13epFXodT9fVAJ6h8k,spotify:track:505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k,170480,4
La Niña Consentida,0.544,0.485,5,-9.316,0,0.16,0.718,0.0,0.091,0.778,127.61,audio_features,2H5lq3Gn1t7FBX5l4as2im,spotify:track:2H5lq3Gn1t7FBX5l4as2im,https://api.spotify.com/v1/tracks/2H5lq3Gn1t7FBX5l4as2im,https://api.spotify.com/v1/audio-analysis/2H5lq3Gn1t7FBX5l4as2im,299651,5
Según Quién,0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,audio_features,4bw8mcDUSRWfQo63ZTYRnU,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU,https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU,142335,3
La Bachata,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,audio_features,3tt9i3Hhzq84dPS8H7iSiJ,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ,https://api.spotify.com/v1/audio-analysis/3tt9i3Hhzq84dPS8H7iSiJ,162638,4
TU$$I (with Dei V),0.535,0.603,10,-7.393,0,0.0668,0.294,0.0,0.13,0.428,89.724,audio_features,1txhQHV26PyOJJarkYtkOn,spotify:track:1txhQHV26PyOJJarkYtkOn,https://api.spotify.com/v1/tracks/1txhQHV26PyOJJarkYtkOn,https://api.spotify.com/v1/audio-analysis/1txhQHV26PyOJJarkYtkOn,163200,4
