name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Babaero,0.866,0.494,8,-7.139,0,0.0827,0.531,0.0,0.118,0.77,121.018,audio_features,0NJAqnvbF6vzripOB7PclP,spotify:track:0NJAqnvbF6vzripOB7PclP,https://api.spotify.com/v1/tracks/0NJAqnvbF6vzripOB7PclP,https://api.spotify.com/v1/audio-analysis/0NJAqnvbF6vzripOB7PclP,175396,4
Walang Alam,0.721,0.455,3,-9.812,0,0.343,0.294,0.0,0.116,0.879,120.184,audio_features,4wZTvLi0khNRqqz4i5XhdV,spotify:track:4wZTvLi0khNRqqz4i5XhdV,https://api.spotify.com/v1/tracks/4wZTvLi0khNRqqz4i5XhdV,https://api.spotify.com/v1/audio-analysis/4wZTvLi0khNRqqz4i5XhdV,186000,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Alam Mo Ba Girl,0.549,0.848,5,-4.184,0,0.344,0.23,3.12e-06,0.397,0.524,155.824,audio_features,57Z7lSnhwx82laEb6rdZPB,spotify:track:57Z7lSnhwx82laEb6rdZPB,https://api.spotify.com/v1/tracks/57Z7lSnhwx82laEb6rdZPB,https://api.spotify.com/v1/audio-analysis/57Z7lSnhwx82laEb6rdZPB,224615,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
Makasarili Malambing (feat. Hev Abi),0.686,0.406,8,-9.076,0,0.0377,0.283,4.93e-06,0.0944,0.766,126.062,audio_features,24lbO7qor0IB4u9uu8pDw8,spotify:track:24lbO7qor0IB4u9uu8pDw8,https://api.spotify.com/v1/tracks/24lbO7qor0IB4u9uu8pDw8,https://api.spotify.com/v1/audio-analysis/24lbO7qor0IB4u9uu8pDw8,121661,4
TAKE ALL THE LOVE,0.491,0.486,5,-6.588,1,0.0347,0.285,0.0,0.0976,0.262,82.411,audio_features,2v6jmF6VQWS96x6tSg05IC,spotify:track:2v6jmF6VQWS96x6tSg05IC,https://api.spotify.com/v1/tracks/2v6jmF6VQWS96x6tSg05IC,https://api.spotify.com/v1/audio-analysis/2v6jmF6VQWS96x6tSg05IC,206182,3
Marikit Sa Dilim,0.828,0.464,8,-7.953,0,0.0495,0.194,0.0,0.081,0.848,124.932,audio_features,2n0OFvWzkojBD1kVIOeGqe,spotify:track:2n0OFvWzkojBD1kVIOeGqe,https://api.spotify.com/v1/tracks/2n0OFvWzkojBD1kVIOeGqe,https://api.spotify.com/v1/audio-analysis/2n0OFvWzkojBD1kVIOeGqe,232320,4
Sumugal,0.714,0.575,3,-8.133,0,0.0405,0.0527,0.000193,0.0939,0.903,140.055,audio_features,35Vt1L1KBP2YoWfErB0FAy,spotify:track:35Vt1L1KBP2YoWfErB0FAy,https://api.spotify.com/v1/tracks/35Vt1L1KBP2YoWfErB0FAy,https://api.spotify.com/v1/audio-analysis/35Vt1L1KBP2YoWfErB0FAy,181714,4
Get Low,0.882,0.636,2,-8.459,1,0.124,0.474,0.03,0.055,0.695,95.978,audio_features,2kbNBhtgGiTxBuZTCXiQVY,spotify:track:2kbNBhtgGiTxBuZTCXiQVY,https://api.spotify.com/v1/tracks/2kbNBhtgGiTxBuZTCXiQVY,https://api.spotify.com/v1/audio-analysis/2kbNBhtgGiTxBuZTCXiQVY,153887,4
Faded (Raw),0.694,0.689,8,-6.95,1,0.0833,0.495,0.0,0.242,0.669,77.905,audio_features,5AxEGHRwgBqFDZ20ilkCw6,spotify:track:5AxEGHRwgBqFDZ20ilkCw6,https://api.spotify.com/v1/tracks/5AxEGHRwgBqFDZ20ilkCw6,https://api.spotify.com/v1/audio-analysis/5AxEGHRwgBqFDZ20ilkCw6,175385,4
Lil Kasalanan Shortie,0.797,0.526,7,-10.404,1,0.0429,0.0813,0.0,0.167,0.896,120.051,audio_features,6zdryckXPbIeQE5npNqvNp,spotify:track:6zdryckXPbIeQE5npNqvNp,https://api.spotify.com/v1/tracks/6zdryckXPbIeQE5npNqvNp,https://api.spotify.com/v1/audio-analysis/6zdryckXPbIeQE5npNqvNp,163965,4
