name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
HERO,0.714,0.785,2,-6.341,1,0.132,0.109,1.26e-05,0.164,0.609,143.031,audio_features,5lwu9g10m5ghkp9XWl65YZ,spotify:track:5lwu9g10m5ghkp9XWl65YZ,https://api.spotify.com/v1/tracks/5lwu9g10m5ghkp9XWl65YZ,https://api.spotify.com/v1/audio-analysis/5lwu9g10m5ghkp9XWl65YZ,164895,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Ne Rozumiju,0.58,0.682,9,-7.566,0,0.0726,0.319,0.0,0.113,0.263,77.756,audio_features,3XWr2NZqYd80MB8FIq9r55,spotify:track:3XWr2NZqYd80MB8FIq9r55,https://api.spotify.com/v1/tracks/3XWr2NZqYd80MB8FIq9r55,https://api.spotify.com/v1/audio-analysis/3XWr2NZqYd80MB8FIq9r55,200769,4
ENZO,0.435,0.586,11,-10.606,0,0.0676,0.613,0.0,0.108,0.191,102.682,audio_features,5920NPsQB4nswA0mxWCddt,spotify:track:5920NPsQB4nswA0mxWCddt,https://api.spotify.com/v1/tracks/5920NPsQB4nswA0mxWCddt,https://api.spotify.com/v1/audio-analysis/5920NPsQB4nswA0mxWCddt,183925,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
Woda Księżycowa,0.573,0.753,5,-8.008,0,0.373,0.0194,0.0,0.549,0.46,138.0,audio_features,5QOdYa6XQMdIm6fMYhjHQk,spotify:track:5QOdYa6XQMdIm6fMYhjHQk,https://api.spotify.com/v1/tracks/5QOdYa6XQMdIm6fMYhjHQk,https://api.spotify.com/v1/audio-analysis/5QOdYa6XQMdIm6fMYhjHQk,191304,4
Drive,0.803,0.627,7,-8.07,1,0.328,0.365,0.0,0.12,0.427,86.992,audio_features,4kcMDgaU8xb4otoDv5c4kD,spotify:track:4kcMDgaU8xb4otoDv5c4kD,https://api.spotify.com/v1/tracks/4kcMDgaU8xb4otoDv5c4kD,https://api.spotify.com/v1/audio-analysis/4kcMDgaU8xb4otoDv5c4kD,202759,4
Młody Manson,0.601,0.851,8,-3.511,1,0.0339,0.0355,0.0,0.454,0.482,139.977,audio_features,2khnj1kS7t2uNoMGB44c3X,spotify:track:2khnj1kS7t2uNoMGB44c3X,https://api.spotify.com/v1/tracks/2khnj1kS7t2uNoMGB44c3X,https://api.spotify.com/v1/audio-analysis/2khnj1kS7t2uNoMGB44c3X,174000,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Plaster,0.43,0.797,4,-4.703,0,0.231,0.0181,0.0,0.251,0.119,178.207,audio_features,6epWbDEEEOakzBeyNr69MO,spotify:track:6epWbDEEEOakzBeyNr69MO,https://api.spotify.com/v1/tracks/6epWbDEEEOakzBeyNr69MO,https://api.spotify.com/v1/audio-analysis/6epWbDEEEOakzBeyNr69MO,155056,4
Unwritten,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,audio_features,3U5JVgI2x4rDyHGObzJfNf,spotify:track:3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/tracks/3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/audio-analysis/3U5JVgI2x4rDyHGObzJfNf,259333,4
Samolotowy tryb,0.778,0.852,9,-5.086,1,0.21,0.0554,0.00389,0.282,0.689,144.008,audio_features,0wKxfnayyQ1wa9WExvn4qF,spotify:track:0wKxfnayyQ1wa9WExvn4qF,https://api.spotify.com/v1/tracks/0wKxfnayyQ1wa9WExvn4qF,https://api.spotify.com/v1/audio-analysis/0wKxfnayyQ1wa9WExvn4qF,160994,4
RING RING,0.855,0.84,9,-4.648,0,0.142,0.177,0.0,0.256,0.889,127.931,audio_features,3VjDhZl73eK9VgvRQovsmw,spotify:track:3VjDhZl73eK9VgvRQovsmw,https://api.spotify.com/v1/tracks/3VjDhZl73eK9VgvRQovsmw,https://api.spotify.com/v1/audio-analysis/3VjDhZl73eK9VgvRQovsmw,156094,4
Type Shit,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,28drn6tQo95MRvO0jQEo5C,spotify:track:28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,228267,4
Like That,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
Dior,0.771,0.66,11,-5.49,0,0.107,0.0353,2.42e-05,0.123,0.206,100.055,audio_features,7biKWZnh8o23xCGej4xHjF,spotify:track:7biKWZnh8o23xCGej4xHjF,https://api.spotify.com/v1/tracks/7biKWZnh8o23xCGej4xHjF,https://api.spotify.com/v1/audio-analysis/7biKWZnh8o23xCGej4xHjF,127250,4
HILL BOMB,0.65,0.745,1,-5.08,1,0.298,0.234,0.0,0.168,0.401,90.013,audio_features,7wJlIeRSoYmBZFtOgOOaZF,spotify:track:7wJlIeRSoYmBZFtOgOOaZF,https://api.spotify.com/v1/tracks/7wJlIeRSoYmBZFtOgOOaZF,https://api.spotify.com/v1/audio-analysis/7wJlIeRSoYmBZFtOgOOaZF,272000,4
BFF,0.685,0.723,6,-7.159,0,0.0887,0.0293,1.83e-05,0.103,0.435,145.955,audio_features,1kuhnhugcuXf4CiNdqCRUU,spotify:track:1kuhnhugcuXf4CiNdqCRUU,https://api.spotify.com/v1/tracks/1kuhnhugcuXf4CiNdqCRUU,https://api.spotify.com/v1/audio-analysis/1kuhnhugcuXf4CiNdqCRUU,174247,4
i like the way you kiss me,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4
DAM CI PORADY,0.694,0.454,1,-10.832,1,0.307,0.274,0.0,0.0847,0.153,141.88,audio_features,4Sjv6Bty0JoFgCP63fyiAM,spotify:track:4Sjv6Bty0JoFgCP63fyiAM,https://api.spotify.com/v1/tracks/4Sjv6Bty0JoFgCP63fyiAM,https://api.spotify.com/v1/audio-analysis/4Sjv6Bty0JoFgCP63fyiAM,209577,4
NAPALONE FANKI,0.592,0.837,6,-4.502,0,0.272,0.14,0.0,0.301,0.558,178.099,audio_features,1am7ZCYTibeYENexigk6Gz,spotify:track:1am7ZCYTibeYENexigk6Gz,https://api.spotify.com/v1/tracks/1am7ZCYTibeYENexigk6Gz,https://api.spotify.com/v1/audio-analysis/1am7ZCYTibeYENexigk6Gz,187416,4
Motyle,0.611,0.467,2,-6.578,1,0.0598,0.0837,0.0,0.136,0.343,129.876,audio_features,1Eaiv6OMMwO3v4iWl4eHHY,spotify:track:1Eaiv6OMMwO3v4iWl4eHHY,https://api.spotify.com/v1/tracks/1Eaiv6OMMwO3v4iWl4eHHY,https://api.spotify.com/v1/audio-analysis/1Eaiv6OMMwO3v4iWl4eHHY,175668,4
Atlanta,0.621,0.679,11,-7.435,0,0.0796,0.271,0.0,0.109,0.177,129.838,audio_features,3ZRG2gQfGWaKGY3Ay8w5Kh,spotify:track:3ZRG2gQfGWaKGY3Ay8w5Kh,https://api.spotify.com/v1/tracks/3ZRG2gQfGWaKGY3Ay8w5Kh,https://api.spotify.com/v1/audio-analysis/3ZRG2gQfGWaKGY3Ay8w5Kh,186692,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Stan,0.822,0.667,3,-6.512,0,0.0748,0.258,0.0,0.117,0.3,121.999,audio_features,33FD8jBm5LZaQ2jJS3vXzm,spotify:track:33FD8jBm5LZaQ2jJS3vXzm,https://api.spotify.com/v1/tracks/33FD8jBm5LZaQ2jJS3vXzm,https://api.spotify.com/v1/audio-analysis/33FD8jBm5LZaQ2jJS3vXzm,181045,4
"Dzięki, że jesteś",0.661,0.775,0,-5.647,1,0.0508,0.0666,0.0,0.198,0.694,128.001,audio_features,5Qw74vxmtJzAEYjy1wfVCk,spotify:track:5Qw74vxmtJzAEYjy1wfVCk,https://api.spotify.com/v1/tracks/5Qw74vxmtJzAEYjy1wfVCk,https://api.spotify.com/v1/audio-analysis/5Qw74vxmtJzAEYjy1wfVCk,150938,3
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
FE!N (feat. Playboi Carti),0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
Cinderella,0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052,audio_features,0hKtu53OlIFXVuYkZwcn3o,spotify:track:0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/audio-analysis/0hKtu53OlIFXVuYkZwcn3o,169840,4
suma wszystkich strachów,0.69,0.834,7,-4.267,0,0.0893,0.222,0.0,0.484,0.442,142.014,audio_features,23S56j5Ct9eCT2ZQ0h2djm,spotify:track:23S56j5Ct9eCT2ZQ0h2djm,https://api.spotify.com/v1/tracks/23S56j5Ct9eCT2ZQ0h2djm,https://api.spotify.com/v1/audio-analysis/23S56j5Ct9eCT2ZQ0h2djm,182958,4
Stumblin' In,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,audio_features,0h3Xy4V4apMraB5NuM8U7Z,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,https://api.spotify.com/v1/tracks/0h3Xy4V4apMraB5NuM8U7Z,https://api.spotify.com/v1/audio-analysis/0h3Xy4V4apMraB5NuM8U7Z,213364,4
