name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Tata,0.571,0.718,5,-4.836,1,0.425,0.771,0.0298,0.104,0.491,92.023,audio_features,0fPOFtS7ZylYKcC9b64cSj,spotify:track:0fPOFtS7ZylYKcC9b64cSj,https://api.spotify.com/v1/tracks/0fPOFtS7ZylYKcC9b64cSj,https://api.spotify.com/v1/audio-analysis/0fPOFtS7ZylYKcC9b64cSj,159751,4
Qual é seu desejo?,0.843,0.539,5,-4.376,0,0.0405,0.476,0.0,0.115,0.729,133.014,audio_features,2HzLEPWKXcfpwfmEIUURHo,spotify:track:2HzLEPWKXcfpwfmEIUURHo,https://api.spotify.com/v1/tracks/2HzLEPWKXcfpwfmEIUURHo,https://api.spotify.com/v1/audio-analysis/2HzLEPWKXcfpwfmEIUURHo,153429,4
Habibi,0.726,0.499,11,-6.722,1,0.068,0.745,0.000193,0.124,0.67,98.034,audio_features,31w82iq7jsYmPAsM8YChIy,spotify:track:31w82iq7jsYmPAsM8YChIy,https://api.spotify.com/v1/tracks/31w82iq7jsYmPAsM8YChIy,https://api.spotify.com/v1/audio-analysis/31w82iq7jsYmPAsM8YChIy,204490,4
Alô,0.686,0.511,9,-9.011,0,0.0807,0.621,0.0471,0.316,0.792,93.014,audio_features,6vBuEFImAx36hDYiYqBtkZ,spotify:track:6vBuEFImAx36hDYiYqBtkZ,https://api.spotify.com/v1/tracks/6vBuEFImAx36hDYiYqBtkZ,https://api.spotify.com/v1/audio-analysis/6vBuEFImAx36hDYiYqBtkZ,144000,5
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
POCPOC,0.837,0.636,10,-4.206,0,0.0521,0.239,0.0,0.0683,0.857,129.891,audio_features,0oQCRjrWGvkqkdf82UlXI3,spotify:track:0oQCRjrWGvkqkdf82UlXI3,https://api.spotify.com/v1/tracks/0oQCRjrWGvkqkdf82UlXI3,https://api.spotify.com/v1/audio-analysis/0oQCRjrWGvkqkdf82UlXI3,127385,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Nota 100,0.865,0.554,2,-7.423,1,0.0543,0.609,0.0,0.166,0.719,119.984,audio_features,3XqGBLVhC04xNCxRXB2pvF,spotify:track:3XqGBLVhC04xNCxRXB2pvF,https://api.spotify.com/v1/tracks/3XqGBLVhC04xNCxRXB2pvF,https://api.spotify.com/v1/audio-analysis/3XqGBLVhC04xNCxRXB2pvF,168000,4
Bênção,0.568,0.534,10,-7.085,0,0.122,0.513,6.9e-05,0.202,0.283,180.009,audio_features,1hdWqiFAy5hNRxyVpDy81P,spotify:track:1hdWqiFAy5hNRxyVpDy81P,https://api.spotify.com/v1/tracks/1hdWqiFAy5hNRxyVpDy81P,https://api.spotify.com/v1/audio-analysis/1hdWqiFAy5hNRxyVpDy81P,205935,4
Carro (feat. Dillaz),0.733,0.53,3,-7.113,0,0.0338,0.66,0.0,0.142,0.47,114.972,audio_features,5yS8wgwBnmjpXwGislck0n,spotify:track:5yS8wgwBnmjpXwGislck0n,https://api.spotify.com/v1/tracks/5yS8wgwBnmjpXwGislck0n,https://api.spotify.com/v1/audio-analysis/5yS8wgwBnmjpXwGislck0n,202624,4
