name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bbejbb,0.733,0.867,2,-4.767,1,0.138,0.0415,2.96e-06,0.105,0.24,160.073,audio_features,3BQqSkF8Raj9lEzJdscmmu,spotify:track:3BQqSkF8Raj9lEzJdscmmu,https://api.spotify.com/v1/tracks/3BQqSkF8Raj9lEzJdscmmu,https://api.spotify.com/v1/audio-analysis/3BQqSkF8Raj9lEzJdscmmu,173917,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
Dovidenia,0.79,0.885,11,-4.852,0,0.303,0.601,0.0,0.577,0.649,124.077,audio_features,0aBdBSOuzJKQzV011nZUqz,spotify:track:0aBdBSOuzJKQzV011nZUqz,https://api.spotify.com/v1/tracks/0aBdBSOuzJKQzV011nZUqz,https://api.spotify.com/v1/audio-analysis/0aBdBSOuzJKQzV011nZUqz,220566,4
Unwritten,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,audio_features,3U5JVgI2x4rDyHGObzJfNf,spotify:track:3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/tracks/3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/audio-analysis/3U5JVgI2x4rDyHGObzJfNf,259333,4
Sunset,0.762,0.805,1,-6.63,1,0.386,0.237,0.0,0.11,0.271,124.977,audio_features,4WXX611x1aCtwcqVJgA3xb,spotify:track:4WXX611x1aCtwcqVJgA3xb,https://api.spotify.com/v1/tracks/4WXX611x1aCtwcqVJgA3xb,https://api.spotify.com/v1/audio-analysis/4WXX611x1aCtwcqVJgA3xb,155520,4
i like the way you kiss me,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4
Bejšíí,0.838,0.854,1,-4.148,1,0.372,0.171,0.0,0.0689,0.531,126.051,audio_features,5BOCqcH0TPqMLOo17dFscB,spotify:track:5BOCqcH0TPqMLOo17dFscB,https://api.spotify.com/v1/tracks/5BOCqcH0TPqMLOo17dFscB,https://api.spotify.com/v1/audio-analysis/5BOCqcH0TPqMLOo17dFscB,182857,4
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Mám ťa rád,0.763,0.826,1,-3.661,1,0.156,0.193,0.0,0.141,0.553,135.01,audio_features,4MjqKyPzValK8cxETj6mJe,spotify:track:4MjqKyPzValK8cxETj6mJe,https://api.spotify.com/v1/tracks/4MjqKyPzValK8cxETj6mJe,https://api.spotify.com/v1/audio-analysis/4MjqKyPzValK8cxETj6mJe,216826,4
Overdrive (feat. Norma Jean Martine),0.611,0.757,6,-3.546,1,0.03,0.00257,0.0,0.058,0.279,126.963,audio_features,3bK1zVFBKIzYjmptmI4NsJ,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,https://api.spotify.com/v1/tracks/3bK1zVFBKIzYjmptmI4NsJ,https://api.spotify.com/v1/audio-analysis/3bK1zVFBKIzYjmptmI4NsJ,155905,4
FE!N (feat. Playboi Carti),0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
Pussy Power (feat. Porsche Boy),0.9,0.737,6,-5.389,1,0.0731,0.0825,0.267,0.291,0.489,133.998,audio_features,7vdva8hlSprUQjNNuw0PJC,spotify:track:7vdva8hlSprUQjNNuw0PJC,https://api.spotify.com/v1/tracks/7vdva8hlSprUQjNNuw0PJC,https://api.spotify.com/v1/audio-analysis/7vdva8hlSprUQjNNuw0PJC,179557,4
Hajzlos,0.732,0.87,7,-5.607,1,0.226,0.25,0.0,0.132,0.368,102.997,audio_features,7IzZqWoAzrHBj0AKUlYIbw,spotify:track:7IzZqWoAzrHBj0AKUlYIbw,https://api.spotify.com/v1/tracks/7IzZqWoAzrHBj0AKUlYIbw,https://api.spotify.com/v1/audio-analysis/7IzZqWoAzrHBj0AKUlYIbw,158738,4
Prada,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4
RATATATA,0.576,0.513,9,-10.037,0,0.418,0.522,0.0,0.187,0.523,198.312,audio_features,2c9LFhH845hgsC2ReT6QNr,spotify:track:2c9LFhH845hgsC2ReT6QNr,https://api.spotify.com/v1/tracks/2c9LFhH845hgsC2ReT6QNr,https://api.spotify.com/v1/audio-analysis/2c9LFhH845hgsC2ReT6QNr,145667,4
ONE CALL,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,audio_features,69phA1R4gmQsBFRQ3INW8C,spotify:track:69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/audio-analysis/69phA1R4gmQsBFRQ3INW8C,121399,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Vois sur ton chemin - Techno Mix,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4
