name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Tshwala Bam (feat. S.N.E, EeQue)",0.857,0.564,4,-11.427,0,0.0566,0.0103,0.178,0.0187,0.505,112.014,audio_features,54seQV7MCcppBrznALCdlT,spotify:track:54seQV7MCcppBrznALCdlT,https://api.spotify.com/v1/tracks/54seQV7MCcppBrznALCdlT,https://api.spotify.com/v1/audio-analysis/54seQV7MCcppBrznALCdlT,390000,4
"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)",0.806,0.767,6,-9.686,0,0.112,0.179,0.00126,0.182,0.795,113.001,audio_features,6Kijtp0DB6VwcoJIw7PJ9W,spotify:track:6Kijtp0DB6VwcoJIw7PJ9W,https://api.spotify.com/v1/tracks/6Kijtp0DB6VwcoJIw7PJ9W,https://api.spotify.com/v1/audio-analysis/6Kijtp0DB6VwcoJIw7PJ9W,351201,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Made For Me,0.785,0.47,7,-6.42,0,0.0329,0.137,1.12e-06,0.131,0.0569,120.006,audio_features,0WIv5qV41y6YjjB9V1biuC,spotify:track:0WIv5qV41y6YjjB9V1biuC,https://api.spotify.com/v1/tracks/0WIv5qV41y6YjjB9V1biuC,https://api.spotify.com/v1/audio-analysis/0WIv5qV41y6YjjB9V1biuC,188000,4
Funk 55,0.895,0.438,2,-13.307,0,0.083,0.023,0.000359,0.0425,0.508,113.047,audio_features,5CD3ImPPdCW8QFQkjo5TXt,spotify:track:5CD3ImPPdCW8QFQkjo5TXt,https://api.spotify.com/v1/tracks/5CD3ImPPdCW8QFQkjo5TXt,https://api.spotify.com/v1/audio-analysis/5CD3ImPPdCW8QFQkjo5TXt,373822,4
"Amalobolo (feat. Stixx, Nia Pearl)",0.794,0.436,6,-18.272,0,0.0633,0.00775,0.699,0.654,0.353,112.997,audio_features,2pqIaYg12ziqIpVtdVESGt,spotify:track:2pqIaYg12ziqIpVtdVESGt,https://api.spotify.com/v1/tracks/2pqIaYg12ziqIpVtdVESGt,https://api.spotify.com/v1/audio-analysis/2pqIaYg12ziqIpVtdVESGt,509790,4
Masithokoze,0.603,0.501,6,-14.253,0,0.0617,0.0224,0.155,0.0154,0.355,113.006,audio_features,4tsVMjM60RNTe9EV5oQ4sQ,spotify:track:4tsVMjM60RNTe9EV5oQ4sQ,https://api.spotify.com/v1/tracks/4tsVMjM60RNTe9EV5oQ4sQ,https://api.spotify.com/v1/audio-analysis/4tsVMjM60RNTe9EV5oQ4sQ,427218,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Hit after Hit,0.645,0.792,0,-7.466,1,0.0541,0.575,0.0,0.0899,0.679,158.53,audio_features,5TY9ovYtBeJTY9s7K3ijEd,spotify:track:5TY9ovYtBeJTY9s7K3ijEd,https://api.spotify.com/v1/tracks/5TY9ovYtBeJTY9s7K3ijEd,https://api.spotify.com/v1/audio-analysis/5TY9ovYtBeJTY9s7K3ijEd,279824,4
Turn Off The Lights,0.815,0.435,2,-15.613,0,0.0605,0.044,0.755,0.113,0.331,113.992,audio_features,2fofdfhRxFVP1bRdjA1FEc,spotify:track:2fofdfhRxFVP1bRdjA1FEc,https://api.spotify.com/v1/tracks/2fofdfhRxFVP1bRdjA1FEc,https://api.spotify.com/v1/audio-analysis/2fofdfhRxFVP1bRdjA1FEc,473773,4
