name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
X'CLUSIVO - REMIX,0.813,0.552,6,-6.328,1,0.0769,0.0702,0.000195,0.0542,0.773,146.953,audio_features,62k8iliO7KTiYp7LWGPa5p,spotify:track:62k8iliO7KTiYp7LWGPa5p,https://api.spotify.com/v1/tracks/62k8iliO7KTiYp7LWGPa5p,https://api.spotify.com/v1/audio-analysis/62k8iliO7KTiYp7LWGPa5p,208133,4
FARDOS,0.785,0.897,5,-3.204,0,0.0332,0.14,0.0,0.46,0.954,121.982,audio_features,33VIvWmmCUgix6Htm1WdOJ,spotify:track:33VIvWmmCUgix6Htm1WdOJ,https://api.spotify.com/v1/tracks/33VIvWmmCUgix6Htm1WdOJ,https://api.spotify.com/v1/audio-analysis/33VIvWmmCUgix6Htm1WdOJ,183335,4
Gata Only,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000,4
1000COSAS,0.697,0.74,6,-4.717,0,0.0397,0.0132,0.000155,0.117,0.331,131.938,audio_features,6xqQDwzjswlToEEHgvA3KM,spotify:track:6xqQDwzjswlToEEHgvA3KM,https://api.spotify.com/v1/tracks/6xqQDwzjswlToEEHgvA3KM,https://api.spotify.com/v1/audio-analysis/6xqQDwzjswlToEEHgvA3KM,239482,4
LUNA,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
DESATAAA,0.832,0.871,9,-1.81,0,0.0527,0.201,0.0,0.0856,0.743,106.993,audio_features,2vh03XeMmNRwxiAztk01Pe,spotify:track:2vh03XeMmNRwxiAztk01Pe,https://api.spotify.com/v1/tracks/2vh03XeMmNRwxiAztk01Pe,https://api.spotify.com/v1/audio-analysis/2vh03XeMmNRwxiAztk01Pe,197383,4
Lo Que Tiene,0.757,0.768,1,-5.13,1,0.0379,0.345,0.000406,0.129,0.384,100.056,audio_features,6RqD0fpAaKEZvQd0QrTj7j,spotify:track:6RqD0fpAaKEZvQd0QrTj7j,https://api.spotify.com/v1/tracks/6RqD0fpAaKEZvQd0QrTj7j,https://api.spotify.com/v1/audio-analysis/6RqD0fpAaKEZvQd0QrTj7j,259200,4
LA FALDA,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,audio_features,7iUtQNMRB8ZkKC4AmEuCJC,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,174230,4
El Patio,0.704,0.758,2,-5.9,0,0.0567,0.383,0.0,0.107,0.756,156.006,audio_features,0PtLrH95CQ2lKf6pym5LmA,spotify:track:0PtLrH95CQ2lKf6pym5LmA,https://api.spotify.com/v1/tracks/0PtLrH95CQ2lKf6pym5LmA,https://api.spotify.com/v1/audio-analysis/0PtLrH95CQ2lKf6pym5LmA,232645,4
Manos Rotas,0.728,0.59,4,-5.787,0,0.204,0.386,0.0612,0.162,0.238,93.977,audio_features,3BFh8rR6aMexy7ELu2UQy3,spotify:track:3BFh8rR6aMexy7ELu2UQy3,https://api.spotify.com/v1/tracks/3BFh8rR6aMexy7ELu2UQy3,https://api.spotify.com/v1/audio-analysis/3BFh8rR6aMexy7ELu2UQy3,168594,4
Trending Remix (with Myke Towers),0.677,0.719,1,-3.489,0,0.145,0.299,0.0,0.0978,0.558,97.948,audio_features,7y8wfdPTJT94sIs6LnGDJC,spotify:track:7y8wfdPTJT94sIs6LnGDJC,https://api.spotify.com/v1/tracks/7y8wfdPTJT94sIs6LnGDJC,https://api.spotify.com/v1/audio-analysis/7y8wfdPTJT94sIs6LnGDJC,225155,4
Una Foto Remix (feat. Emilia),0.76,0.703,6,-3.667,1,0.0631,0.313,0.0,0.0784,0.739,96.033,audio_features,1kqH58eGh2ZTOHwqBIB2tM,spotify:track:1kqH58eGh2ZTOHwqBIB2tM,https://api.spotify.com/v1/tracks/1kqH58eGh2ZTOHwqBIB2tM,https://api.spotify.com/v1/audio-analysis/1kqH58eGh2ZTOHwqBIB2tM,243899,4
TU$$I (with Dei V),0.535,0.603,10,-7.393,0,0.0668,0.294,0.0,0.13,0.428,89.724,audio_features,1txhQHV26PyOJJarkYtkOn,spotify:track:1txhQHV26PyOJJarkYtkOn,https://api.spotify.com/v1/tracks/1txhQHV26PyOJJarkYtkOn,https://api.spotify.com/v1/audio-analysis/1txhQHV26PyOJJarkYtkOn,163200,4
Casanova,0.668,0.807,7,-6.147,0,0.186,0.675,2.06e-05,0.0995,0.544,132.087,audio_features,0qZhK4gFB5c1Wxsnd6WA8U,spotify:track:0qZhK4gFB5c1Wxsnd6WA8U,https://api.spotify.com/v1/tracks/0qZhK4gFB5c1Wxsnd6WA8U,https://api.spotify.com/v1/audio-analysis/0qZhK4gFB5c1Wxsnd6WA8U,243806,4
Diabólica,0.725,0.671,4,-6.409,0,0.0557,0.0661,9.08e-05,0.36,0.353,96.974,audio_features,4IJWhehNLXru5WfS71EWSx,spotify:track:4IJWhehNLXru5WfS71EWSx,https://api.spotify.com/v1/tracks/4IJWhehNLXru5WfS71EWSx,https://api.spotify.com/v1/audio-analysis/4IJWhehNLXru5WfS71EWSx,192000,4
M.A.I,0.364,0.572,10,-5.861,0,0.0341,0.758,0.0,0.229,0.514,80.363,audio_features,35ttE4t8lQZA2vuCYDg4G7,spotify:track:35ttE4t8lQZA2vuCYDg4G7,https://api.spotify.com/v1/tracks/35ttE4t8lQZA2vuCYDg4G7,https://api.spotify.com/v1/audio-analysis/35ttE4t8lQZA2vuCYDg4G7,184027,4
PERRO NEGRO,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4
No Te Quieren Conmigo,0.76,0.646,6,-5.009,1,0.068,0.361,0.000109,0.254,0.576,97.917,audio_features,3Cx4BsDd4q0GCVBJ5CAw2K,spotify:track:3Cx4BsDd4q0GCVBJ5CAw2K,https://api.spotify.com/v1/tracks/3Cx4BsDd4q0GCVBJ5CAw2K,https://api.spotify.com/v1/audio-analysis/3Cx4BsDd4q0GCVBJ5CAw2K,252040,4
La_Original.mp3,0.833,0.809,5,-2.751,0,0.0381,0.0836,0.0,0.112,0.905,128.055,audio_features,6Es8Sk3xe1HiJ2MXCfHHwR,spotify:track:6Es8Sk3xe1HiJ2MXCfHHwR,https://api.spotify.com/v1/tracks/6Es8Sk3xe1HiJ2MXCfHHwR,https://api.spotify.com/v1/audio-analysis/6Es8Sk3xe1HiJ2MXCfHHwR,140625,4
Thalía,0.753,0.682,0,-7.631,0,0.0446,0.54,0.0463,0.11,0.376,104.963,audio_features,03O0bVezEElAy8AWXGTAOo,spotify:track:03O0bVezEElAy8AWXGTAOo,https://api.spotify.com/v1/tracks/03O0bVezEElAy8AWXGTAOo,https://api.spotify.com/v1/audio-analysis/03O0bVezEElAy8AWXGTAOo,183429,4
Alucin,0.787,0.769,7,-4.681,0,0.0335,0.00331,0.00332,0.115,0.509,128.0,audio_features,6ED7qim1NAX1HjNU8039WS,spotify:track:6ED7qim1NAX1HjNU8039WS,https://api.spotify.com/v1/tracks/6ED7qim1NAX1HjNU8039WS,https://api.spotify.com/v1/audio-analysis/6ED7qim1NAX1HjNU8039WS,197114,4
Problemas Mentales,0.413,0.715,10,-6.878,1,0.149,0.298,0.0,0.23,0.402,167.684,audio_features,5LhdEc33NQUDRT3b9bdrlS,spotify:track:5LhdEc33NQUDRT3b9bdrlS,https://api.spotify.com/v1/tracks/5LhdEc33NQUDRT3b9bdrlS,https://api.spotify.com/v1/audio-analysis/5LhdEc33NQUDRT3b9bdrlS,229152,4
LA CAPI,0.77,0.907,0,-4.679,0,0.215,0.427,4.34e-06,0.132,0.696,149.997,audio_features,68OXeY9CUQebrOAAh3b3Jw,spotify:track:68OXeY9CUQebrOAAh3b3Jw,https://api.spotify.com/v1/tracks/68OXeY9CUQebrOAAh3b3Jw,https://api.spotify.com/v1/audio-analysis/68OXeY9CUQebrOAAh3b3Jw,202361,4
Narcotics (with Bryant Myers),0.711,0.718,1,-5.671,1,0.0994,0.379,0.0,0.119,0.689,159.953,audio_features,0p0cOpBujR114Wirv5AM7W,spotify:track:0p0cOpBujR114Wirv5AM7W,https://api.spotify.com/v1/tracks/0p0cOpBujR114Wirv5AM7W,https://api.spotify.com/v1/audio-analysis/0p0cOpBujR114Wirv5AM7W,173991,4
"VVS Switch (feat. Hades66, Luar La L & CDobleta) - Remix",0.544,0.871,0,-4.27,1,0.349,0.0494,0.0,0.346,0.638,79.997,audio_features,7kSL8RqBe9ySL8tjvSoII0,spotify:track:7kSL8RqBe9ySL8tjvSoII0,https://api.spotify.com/v1/tracks/7kSL8RqBe9ySL8tjvSoII0,https://api.spotify.com/v1/audio-analysis/7kSL8RqBe9ySL8tjvSoII0,555072,4
La Bachata,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,audio_features,3tt9i3Hhzq84dPS8H7iSiJ,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ,https://api.spotify.com/v1/audio-analysis/3tt9i3Hhzq84dPS8H7iSiJ,162638,4
Columbia,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,audio_features,6XbtvPmIpyCbjuT0e8cQtp,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/tracks/6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/audio-analysis/6XbtvPmIpyCbjuT0e8cQtp,186000,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
A 300,0.792,0.725,1,-5.821,0,0.171,0.0927,0.0,0.0702,0.68,138.867,audio_features,18W8cuvcub2B9NQzm5rZxf,spotify:track:18W8cuvcub2B9NQzm5rZxf,https://api.spotify.com/v1/tracks/18W8cuvcub2B9NQzm5rZxf,https://api.spotify.com/v1/audio-analysis/18W8cuvcub2B9NQzm5rZxf,169209,4
PERREO LENTO,0.903,0.745,5,-3.074,1,0.144,0.323,4.41e-05,0.0936,0.887,95.068,audio_features,5WoC5tREb1zyxfmLu3RyQ7,spotify:track:5WoC5tREb1zyxfmLu3RyQ7,https://api.spotify.com/v1/tracks/5WoC5tREb1zyxfmLu3RyQ7,https://api.spotify.com/v1/audio-analysis/5WoC5tREb1zyxfmLu3RyQ7,156640,4
MODELITO,0.711,0.752,7,-7.574,0,0.2,0.191,0.0106,0.338,0.528,145.047,audio_features,559YUIWxUc8Mx4lsla13Ff,spotify:track:559YUIWxUc8Mx4lsla13Ff,https://api.spotify.com/v1/tracks/559YUIWxUc8Mx4lsla13Ff,https://api.spotify.com/v1/audio-analysis/559YUIWxUc8Mx4lsla13Ff,190497,4
