name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
VEM FAN E DU?,0.743,0.861,9,-6.677,1,0.319,0.037,1.25e-06,0.244,0.409,149.992,audio_features,4BliCq54T5TbxmaLdXJGEK,spotify:track:4BliCq54T5TbxmaLdXJGEK,https://api.spotify.com/v1/tracks/4BliCq54T5TbxmaLdXJGEK,https://api.spotify.com/v1/audio-analysis/4BliCq54T5TbxmaLdXJGEK,152000,4
Que Sera,0.554,0.86,8,-6.362,0,0.0489,0.00293,0.0,0.225,0.419,128.193,audio_features,4kqkGUxHHAqJMtpsHMvLTQ,spotify:track:4kqkGUxHHAqJMtpsHMvLTQ,https://api.spotify.com/v1/tracks/4kqkGUxHHAqJMtpsHMvLTQ,https://api.spotify.com/v1/audio-analysis/4kqkGUxHHAqJMtpsHMvLTQ,166880,4
Unforgettable,0.602,0.851,1,-5.401,0,0.0506,0.042,0.0,0.0835,0.342,117.001,audio_features,5L8C1PZGCpZf8STcN79H5j,spotify:track:5L8C1PZGCpZf8STcN79H5j,https://api.spotify.com/v1/tracks/5L8C1PZGCpZf8STcN79H5j,https://api.spotify.com/v1/audio-analysis/5L8C1PZGCpZf8STcN79H5j,168845,4
Dör För Dig - Acoustic,0.586,0.308,8,-14.811,1,0.107,0.741,0.000719,0.101,0.482,87.131,audio_features,3yAP1AKORlEgS8JFjUDbLK,spotify:track:3yAP1AKORlEgS8JFjUDbLK,https://api.spotify.com/v1/tracks/3yAP1AKORlEgS8JFjUDbLK,https://api.spotify.com/v1/audio-analysis/3yAP1AKORlEgS8JFjUDbLK,135172,4
Hålla mig,0.682,0.673,7,-7.117,1,0.0814,0.101,0.0,0.118,0.37,127.11,audio_features,2FImFbdIGJEnlftYDmwU6f,spotify:track:2FImFbdIGJEnlftYDmwU6f,https://api.spotify.com/v1/tracks/2FImFbdIGJEnlftYDmwU6f,https://api.spotify.com/v1/audio-analysis/2FImFbdIGJEnlftYDmwU6f,186162,4
PERSON I NÖDEN,0.543,0.685,8,-4.29,1,0.0634,0.244,0.0,0.274,0.835,82.912,audio_features,0n2qnn5LOpxXNeTyj7YDYK,spotify:track:0n2qnn5LOpxXNeTyj7YDYK,https://api.spotify.com/v1/tracks/0n2qnn5LOpxXNeTyj7YDYK,https://api.spotify.com/v1/audio-analysis/0n2qnn5LOpxXNeTyj7YDYK,140244,4
UNGA & FRIA,0.613,0.755,5,-7.398,1,0.092,0.0765,0.0,0.0907,0.57,144.906,audio_features,2ArX0SzCSHXytmAg36BIev,spotify:track:2ArX0SzCSHXytmAg36BIev,https://api.spotify.com/v1/tracks/2ArX0SzCSHXytmAg36BIev,https://api.spotify.com/v1/audio-analysis/2ArX0SzCSHXytmAg36BIev,182897,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,7AYmToZ5y67fBjq4RLFbuq,spotify:track:7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,235636,4
