name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
離開的一路上,0.597,0.506,2,-8.05,1,0.0267,0.0611,0.0,0.119,0.322,126.026,audio_features,1NoDTQhJsrd5rnpb6PQthK,spotify:track:1NoDTQhJsrd5rnpb6PQthK,https://api.spotify.com/v1/tracks/1NoDTQhJsrd5rnpb6PQthK,https://api.spotify.com/v1/audio-analysis/1NoDTQhJsrd5rnpb6PQthK,254961,4
EASY,0.744,0.7,0,-5.154,1,0.0507,0.189,2.74e-06,0.114,0.602,165.004,audio_features,2O4Bb2WCkjlTPO827OnBMI,spotify:track:2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/tracks/2O4Bb2WCkjlTPO827OnBMI,https://api.spotify.com/v1/audio-analysis/2O4Bb2WCkjlTPO827OnBMI,164545,4
都是weather你,0.471,0.744,1,-6.648,1,0.247,0.429,0.0,0.171,0.495,162.801,audio_features,3Sp9bi6Oj8rWmWhPXpyZ5l,spotify:track:3Sp9bi6Oj8rWmWhPXpyZ5l,https://api.spotify.com/v1/tracks/3Sp9bi6Oj8rWmWhPXpyZ5l,https://api.spotify.com/v1/audio-analysis/3Sp9bi6Oj8rWmWhPXpyZ5l,187178,4
FRI(END)S,0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4
Perfect Night,0.697,0.82,5,-4.502,1,0.0308,0.1,0.0,0.0631,0.502,136.054,audio_features,74X2u8JMVooG2QbjRxXwR8,spotify:track:74X2u8JMVooG2QbjRxXwR8,https://api.spotify.com/v1/tracks/74X2u8JMVooG2QbjRxXwR8,https://api.spotify.com/v1/audio-analysis/74X2u8JMVooG2QbjRxXwR8,159080,4
Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
Love Me Again,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,audio_features,2N0SPREDYqILVEFSsWF5N5,spotify:track:2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/tracks/2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/audio-analysis/2N0SPREDYqILVEFSsWF5N5,182293,4
Seven (feat. Latto) (Explicit Ver.),0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,audio_features,2HRgqmZQC0MC7GeNuDIXHN,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,183551,4
Smart,0.799,0.675,1,-5.474,1,0.0465,0.115,0.0,0.0833,0.594,113.076,audio_features,4lR8sYGMGZPvthF2yUfo7T,spotify:track:4lR8sYGMGZPvthF2yUfo7T,https://api.spotify.com/v1/tracks/4lR8sYGMGZPvthF2yUfo7T,https://api.spotify.com/v1/audio-analysis/4lR8sYGMGZPvthF2yUfo7T,166384,4
鲜花,0.337,0.552,4,-6.439,1,0.0312,0.00117,8.11e-06,0.312,0.255,200.017,audio_features,35XxW360SO3puJQDfuaY4r,spotify:track:35XxW360SO3puJQDfuaY4r,https://api.spotify.com/v1/tracks/35XxW360SO3puJQDfuaY4r,https://api.spotify.com/v1/audio-analysis/35XxW360SO3puJQDfuaY4r,341441,4
我会等,0.713,0.449,1,-8.288,1,0.0372,0.302,0.0,0.174,0.34,124.067,audio_features,5Rzpn60KTM11EBETHaF9Kt,spotify:track:5Rzpn60KTM11EBETHaF9Kt,https://api.spotify.com/v1/tracks/5Rzpn60KTM11EBETHaF9Kt,https://api.spotify.com/v1/audio-analysis/5Rzpn60KTM11EBETHaF9Kt,195484,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
I Hate Myself Sometimes,0.589,0.619,9,-5.651,1,0.0502,0.319,0.0,0.479,0.572,154.9,audio_features,72mpLVMCFHmrV31xiJj6Vt,spotify:track:72mpLVMCFHmrV31xiJj6Vt,https://api.spotify.com/v1/tracks/72mpLVMCFHmrV31xiJj6Vt,https://api.spotify.com/v1/audio-analysis/72mpLVMCFHmrV31xiJj6Vt,174580,4
ONE SPARK,0.592,0.766,4,-4.928,0,0.0727,0.0151,0.0,0.753,0.413,169.005,audio_features,7cIn67LEvk16v6komC8znS,spotify:track:7cIn67LEvk16v6komC8znS,https://api.spotify.com/v1/tracks/7cIn67LEvk16v6komC8znS,https://api.spotify.com/v1/audio-analysis/7cIn67LEvk16v6komC8znS,183559,4
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
Fate,0.872,0.73,0,-4.86,1,0.0998,0.227,0.0,0.374,0.812,114.956,audio_features,2vNPGH1x5ZwxTjlvzLCyc2,spotify:track:2vNPGH1x5ZwxTjlvzLCyc2,https://api.spotify.com/v1/tracks/2vNPGH1x5ZwxTjlvzLCyc2,https://api.spotify.com/v1/audio-analysis/2vNPGH1x5ZwxTjlvzLCyc2,161547,4
总会有人 (男版),0.704,0.488,7,-7.834,1,0.0464,0.492,0.0,0.181,0.376,115.067,audio_features,5T9ZeccGPOOX7J4YGGwqE3,spotify:track:5T9ZeccGPOOX7J4YGGwqE3,https://api.spotify.com/v1/tracks/5T9ZeccGPOOX7J4YGGwqE3,https://api.spotify.com/v1/audio-analysis/5T9ZeccGPOOX7J4YGGwqE3,199802,4
不是因為天氣晴朗才愛你,0.507,0.271,8,-13.185,1,0.0347,0.753,1.23e-06,0.0883,0.399,135.783,audio_features,2VEt42QSQxILgEf9B50xxm,spotify:track:2VEt42QSQxILgEf9B50xxm,https://api.spotify.com/v1/tracks/2VEt42QSQxILgEf9B50xxm,https://api.spotify.com/v1/audio-analysis/2VEt42QSQxILgEf9B50xxm,240754,4
字字句句,0.488,0.452,2,-8.957,1,0.0456,0.732,0.0,0.108,0.368,138.072,audio_features,7fAdinC2UTc0Y9GiKrkTtu,spotify:track:7fAdinC2UTc0Y9GiKrkTtu,https://api.spotify.com/v1/tracks/7fAdinC2UTc0Y9GiKrkTtu,https://api.spotify.com/v1/audio-analysis/7fAdinC2UTc0Y9GiKrkTtu,200000,4
3am - Demo Ver.,0.505,0.486,6,-10.314,1,0.0332,0.129,0.0,0.164,0.671,87.894,audio_features,70R10GZEIyNaOsltKW5kli,spotify:track:70R10GZEIyNaOsltKW5kli,https://api.spotify.com/v1/tracks/70R10GZEIyNaOsltKW5kli,https://api.spotify.com/v1/audio-analysis/70R10GZEIyNaOsltKW5kli,156416,4
To. X,0.835,0.587,8,-5.814,1,0.08,0.396,4.09e-06,0.0862,0.646,97.03,audio_features,2gyCwrOcC6JBoaJ8JGJ7T8,spotify:track:2gyCwrOcC6JBoaJ8JGJ7T8,https://api.spotify.com/v1/tracks/2gyCwrOcC6JBoaJ8JGJ7T8,https://api.spotify.com/v1/audio-analysis/2gyCwrOcC6JBoaJ8JGJ7T8,170387,4
