name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Like Crazy,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241,4
Standing Next to You,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,audio_features,2KslE17cAJNHTsI2MI0jb2,spotify:track:2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2,206020,4
FRI(END)S,0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4
Nightwalker,0.439,0.704,7,-5.162,1,0.108,0.111,3.28e-05,0.33,0.576,128.038,audio_features,4RiudH8RehvLLrk8uNgIdR,spotify:track:4RiudH8RehvLLrk8uNgIdR,https://api.spotify.com/v1/tracks/4RiudH8RehvLLrk8uNgIdR,https://api.spotify.com/v1/audio-analysis/4RiudH8RehvLLrk8uNgIdR,204373,4
รถไฟบนฟ้า,0.55,0.569,8,-6.801,1,0.0583,0.718,0.0,0.498,0.465,177.714,audio_features,6BqnE3hiqtywrLMJ3ulYDp,spotify:track:6BqnE3hiqtywrLMJ3ulYDp,https://api.spotify.com/v1/tracks/6BqnE3hiqtywrLMJ3ulYDp,https://api.spotify.com/v1/audio-analysis/6BqnE3hiqtywrLMJ3ulYDp,256180,4
Seven (feat. Latto) (Explicit Ver.),0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,audio_features,2HRgqmZQC0MC7GeNuDIXHN,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,183551,4
MORE,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,audio_features,7GARzfC1mwhDuk4t9WOACq,spotify:track:7GARzfC1mwhDuk4t9WOACq,https://api.spotify.com/v1/tracks/7GARzfC1mwhDuk4t9WOACq,https://api.spotify.com/v1/audio-analysis/7GARzfC1mwhDuk4t9WOACq,180022,4
MONEY,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,audio_features,7hU3IHwjX150XLoTVmjD0q,spotify:track:7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/tracks/7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/audio-analysis/7hU3IHwjX150XLoTVmjD0q,168228,4
LALISA,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058,audio_features,7uQZVznj0uQOGC9KhV2Mg6,spotify:track:7uQZVznj0uQOGC9KhV2Mg6,https://api.spotify.com/v1/tracks/7uQZVznj0uQOGC9KhV2Mg6,https://api.spotify.com/v1/audio-analysis/7uQZVznj0uQOGC9KhV2Mg6,200690,4
ซ่อน(ไม่)หา,0.664,0.651,2,-5.091,1,0.0401,0.696,0.0,0.158,0.4,117.913,audio_features,5nvdbRKg9fOixXotcZIQuF,spotify:track:5nvdbRKg9fOixXotcZIQuF,https://api.spotify.com/v1/tracks/5nvdbRKg9fOixXotcZIQuF,https://api.spotify.com/v1/audio-analysis/5nvdbRKg9fOixXotcZIQuF,234661,4
