name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Lan,0.406,0.622,3,-7.647,0,0.0648,0.497,1.35e-05,0.309,0.567,204.028,audio_features,1whKKdtCiFjN7MW7DrIRUH,spotify:track:1whKKdtCiFjN7MW7DrIRUH,https://api.spotify.com/v1/tracks/1whKKdtCiFjN7MW7DrIRUH,https://api.spotify.com/v1/audio-analysis/1whKKdtCiFjN7MW7DrIRUH,196075,4
DACIA X YATIYA - Remix,0.702,0.76,11,-6.182,0,0.0595,0.0909,0.0,0.31,0.397,95.949,audio_features,4RC8B7vYRcM6Kkg5x80ezG,spotify:track:4RC8B7vYRcM6Kkg5x80ezG,https://api.spotify.com/v1/tracks/4RC8B7vYRcM6Kkg5x80ezG,https://api.spotify.com/v1/audio-analysis/4RC8B7vYRcM6Kkg5x80ezG,158971,4
Kennedy'i Ben Vurdum,0.63,0.418,1,-11.514,1,0.0856,0.0553,0.00284,0.122,0.142,84.561,audio_features,3MrnZlzlrR17CCustVoya8,spotify:track:3MrnZlzlrR17CCustVoya8,https://api.spotify.com/v1/tracks/3MrnZlzlrR17CCustVoya8,https://api.spotify.com/v1/audio-analysis/3MrnZlzlrR17CCustVoya8,138364,4
Bir İmkansız Var,0.599,0.691,9,-6.349,0,0.0428,0.143,2.12e-05,0.065,0.384,150.043,audio_features,6dcYNJRora79VEpUj5S2w4,spotify:track:6dcYNJRora79VEpUj5S2w4,https://api.spotify.com/v1/tracks/6dcYNJRora79VEpUj5S2w4,https://api.spotify.com/v1/audio-analysis/6dcYNJRora79VEpUj5S2w4,152700,1
pVg,0.524,0.545,1,-9.22,0,0.191,0.388,3.86e-05,0.358,0.461,144.006,audio_features,5h4MeMaKxsJaHpUIqikkCe,spotify:track:5h4MeMaKxsJaHpUIqikkCe,https://api.spotify.com/v1/tracks/5h4MeMaKxsJaHpUIqikkCe,https://api.spotify.com/v1/audio-analysis/5h4MeMaKxsJaHpUIqikkCe,243780,4
DOĞUŞTAN BERİ HAKLIYIM (tmm),0.889,0.543,9,-5.836,0,0.0888,0.629,5.41e-06,0.0921,0.961,119.912,audio_features,2M7BEoyAzxLBKgnFQqUGmF,spotify:track:2M7BEoyAzxLBKgnFQqUGmF,https://api.spotify.com/v1/tracks/2M7BEoyAzxLBKgnFQqUGmF,https://api.spotify.com/v1/audio-analysis/2M7BEoyAzxLBKgnFQqUGmF,133755,4
ARABA,0.768,0.649,1,-8.053,0,0.0565,0.48,0.0,0.0824,0.592,89.971,audio_features,5tjWDHOCqsbKPuiivil0BM,spotify:track:5tjWDHOCqsbKPuiivil0BM,https://api.spotify.com/v1/tracks/5tjWDHOCqsbKPuiivil0BM,https://api.spotify.com/v1/audio-analysis/5tjWDHOCqsbKPuiivil0BM,133333,4
Yatıya,0.735,0.801,6,-4.714,0,0.0532,0.036,0.0,0.171,0.385,96.059,audio_features,51yVTZAAXjMuOCiBvN980F,spotify:track:51yVTZAAXjMuOCiBvN980F,https://api.spotify.com/v1/tracks/51yVTZAAXjMuOCiBvN980F,https://api.spotify.com/v1/audio-analysis/51yVTZAAXjMuOCiBvN980F,199047,4
Batık Gemi,0.529,0.811,1,-6.088,0,0.0463,0.00116,0.000598,0.105,0.443,117.821,audio_features,3Gpffv3gaD1UxQPeElIjCp,spotify:track:3Gpffv3gaD1UxQPeElIjCp,https://api.spotify.com/v1/tracks/3Gpffv3gaD1UxQPeElIjCp,https://api.spotify.com/v1/audio-analysis/3Gpffv3gaD1UxQPeElIjCp,260321,4
Yakışıklı,0.634,0.599,1,-8.913,0,0.0378,0.177,0.0,0.272,0.801,91.923,audio_features,40IbMWcOQ3eTkyYcdFSEjM,spotify:track:40IbMWcOQ3eTkyYcdFSEjM,https://api.spotify.com/v1/tracks/40IbMWcOQ3eTkyYcdFSEjM,https://api.spotify.com/v1/audio-analysis/40IbMWcOQ3eTkyYcdFSEjM,146087,4
