name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Gata Only,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000,4
HOLA PERDIDA,0.482,0.792,2,-5.861,0,0.0859,0.182,0.0,0.744,0.572,154.932,audio_features,7JKptWv4YXmievid0HajID,spotify:track:7JKptWv4YXmievid0HajID,https://api.spotify.com/v1/tracks/7JKptWv4YXmievid0HajID,https://api.spotify.com/v1/audio-analysis/7JKptWv4YXmievid0HajID,166537,4
Piel,0.646,0.907,0,-1.617,1,0.0593,0.422,0.0,0.14,0.816,168.004,audio_features,4wS0TnQzVkY9ML1BPKpOk1,spotify:track:4wS0TnQzVkY9ML1BPKpOk1,https://api.spotify.com/v1/tracks/4wS0TnQzVkY9ML1BPKpOk1,https://api.spotify.com/v1/audio-analysis/4wS0TnQzVkY9ML1BPKpOk1,141079,4
Una Foto Remix (feat. Emilia),0.76,0.703,6,-3.667,1,0.0631,0.313,0.0,0.0784,0.739,96.033,audio_features,1kqH58eGh2ZTOHwqBIB2tM,spotify:track:1kqH58eGh2ZTOHwqBIB2tM,https://api.spotify.com/v1/tracks/1kqH58eGh2ZTOHwqBIB2tM,https://api.spotify.com/v1/audio-analysis/1kqH58eGh2ZTOHwqBIB2tM,243899,4
Tal Para Cual,0.857,0.708,10,-2.632,0,0.0402,0.352,0.0,0.1,0.914,98.009,audio_features,0mJRX0WnqWlu8Boe7gpQ1P,spotify:track:0mJRX0WnqWlu8Boe7gpQ1P,https://api.spotify.com/v1/tracks/0mJRX0WnqWlu8Boe7gpQ1P,https://api.spotify.com/v1/audio-analysis/0mJRX0WnqWlu8Boe7gpQ1P,150000,4
LUNA,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
30 GRADOS,0.676,0.573,1,-3.784,1,0.338,0.0185,0.0,0.0761,0.369,98.325,audio_features,0GVPemmAwkXhFlYimhdDr3,spotify:track:0GVPemmAwkXhFlYimhdDr3,https://api.spotify.com/v1/tracks/0GVPemmAwkXhFlYimhdDr3,https://api.spotify.com/v1/audio-analysis/0GVPemmAwkXhFlYimhdDr3,151441,4
Mil Preguntas,0.555,0.555,5,-6.696,0,0.0726,0.2,0.0,0.1,0.774,99.809,audio_features,4YntVuBqggRsASIbBoWT3F,spotify:track:4YntVuBqggRsASIbBoWT3F,https://api.spotify.com/v1/tracks/4YntVuBqggRsASIbBoWT3F,https://api.spotify.com/v1/audio-analysis/4YntVuBqggRsASIbBoWT3F,177375,3
ROZE | DJ TAO Turreo Sessions #22,0.814,0.63,5,-3.69,0,0.0881,0.0805,0.0,0.101,0.702,89.974,audio_features,5wcghdKONQcc5TKx9jCcns,spotify:track:5wcghdKONQcc5TKx9jCcns,https://api.spotify.com/v1/tracks/5wcghdKONQcc5TKx9jCcns,https://api.spotify.com/v1/audio-analysis/5wcghdKONQcc5TKx9jCcns,155292,4
LA FALDA,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,audio_features,7iUtQNMRB8ZkKC4AmEuCJC,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,174230,4
